"","date","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop","estimated_cases","estimate_cases_low","estimate_cases_high","prop_cases","prop_cases_low","prop_cases_high"
"1","2020/03/22",0.00472903427255618,0.00279212730127624,0.00666594124383612,0.00482712917019965,48137.2134540569,28421.2843777476,67853.1425303662,49135.7291666667,28791.1605696895,69480.2977636439
"2","2020/03/23",0.00455211908062059,0.00201771717343746,0.00708652098780373,0.00534609038286702,46336.3797390444,20538.5025080766,72134.2569700122,54418.2763483437,28409.8723373628,80426.6803593246
"3","2020/03/24",0.00492105893185918,0.00246540087614525,0.0073767169875731,0.00590314625100318,50091.8476310502,25095.5102849517,75088.1849771486,60088.5920375152,35124.8152695183,85052.3688055122
"4","2020/03/25",0.0048799221635206,0.00258553321112358,0.00717431111591761,0.0057768888210063,49673.1132163271,26318.3468131506,73027.8796195035,58803.40768324,35459.6237411112,82147.1916253688
"5","2020/03/28",0.00633417265213279,0.00327091818327378,0.00939742712099179,0.00796827345159158,64476.0438256992,33294.9345900803,95657.153061318,81109.6849573534,49787.2432767958,112432.126637911
"6","2020/03/29",0.008684428318251,0.00561873131220782,0.0117501253242942,0.00974739924035163,88399.4819213141,57193.5099067371,119605.453935891,99219.5469120793,68210.0514509469,130229.042373212
"7","2020/03/30",0.00844794298136608,0.00549793312267879,0.0113979528400534,0.00952805986787328,85992.2789948209,55963.8955924641,116020.662397178,96986.8741118117,67189.961346949,126783.786876674
"8","2020/03/31",0.00931033931653579,0.00625627254663964,0.0123644060864319,0.0100560796833803,94770.6794198238,63683.0924977761,125858.266341872,102361.629527423,71403.4392612583,133319.819793588
"9","2020/04/01",0.00933261047130372,0.00629789971712203,0.0123673212254854,0.0100859569478391,94997.3792636278,64106.8187546628,125887.939772593,102665.752562654,71908.2107930566,133423.29433225
"10","2020/04/02",0.0093282973901938,0.00630442655266415,0.0123521682277235,0.0100799889394485,94953.4760702765,64173.255929266,125733.696211287,102605.003733772,71960.4744587579,133249.533008787
"11","2020/04/05",0.00890992623291002,0.0062215796730557,0.0115982727927643,0.00944716091332799,90694.8430089635,63329.9509968282,118059.735021099,96163.3972624777,68977.6687265624,123349.125798393
"12","2020/04/06",0.0089060959641031,0.00622645917306337,0.0115857327551428,0.00944197055451551,90655.8544001866,63379.6198128867,117932.088987487,96110.5641900872,69015.208310943,123205.920069231
"13","2020/04/07",0.00921177863809864,0.0067572080972688,0.0116663491789285,0.00956919366182343,93767.4224877185,68782.1550415388,118752.689933898,97405.57825,72559.581442194,122251.575057806
