"","date","r_c","r_r","I_c_p_w_country","I_c_p_m_country","I_r_p_w_country","I_r_p_m_country","p_w_country","p_m_country"
"1","2020/03/22",100,100,0,0,0,0,0,0
"2","2020/03/23",700,200,0,0,0,0,0,0
"3","2020/03/24",1100,200,0.00181818181818182,0.00181818181818182,0,0,0.00153846153846154,0.00153846153846154
"4","2020/03/25",1100,200,0.00181818181818182,0.00181818181818182,0,0,0.00153846153846154,0.00153846153846154
"5","2020/03/28",1140,200,0.00350877192982456,0.00583333333333333,0,0,0.00298507462686567,0.00496268656716418
"6","2020/03/29",1140,200,0.00350877192982456,0.00583333333333333,0,0,0.00298507462686567,0.00496268656716418
"7","2020/03/30",1140,200,0.00350877192982456,0.00583333333333333,0,0,0.00298507462686567,0.00496268656716418
"8","2020/03/31",1140,200,0.00350877192982456,0.00583333333333333,0,0,0.00298507462686567,0.00496268656716418
"9","2020/04/01",1240,200,0.0032258064516129,0.00538461538461539,0,0,0.00277777777777778,0.00463675213675214
"10","2020/04/02",1345,200,0.00297397769516729,0.00466666666666667,0,0,0.00258899676375405,0.00406256742179072
"11","2020/04/05",1345,200,0.00297397769516729,0.00466666666666667,0,0,0.00258899676375405,0.00406256742179072
"12","2020/04/06",1345,200,0.00297397769516729,0.00466666666666667,0,0,0.00258899676375405,0.00406256742179072
"13","2020/04/07",1495,370,0.00267558528428094,0.004375,0.000281731044501238,0.000309904148951362,0.00220066514019596,0.0035685198579689
"14","2020/04/08",1595,370,0.00250783699059561,0.00411764705882353,0.000281731044501238,0.000309904148951362,0.00208867200329031,0.00340066747782979
"15","2020/04/09",2888,1210,0.00207756232686981,0.0028125,0.00056794240400206,0.000612659453527097,0.00163182291577416,0.0021629619177081
"16","2020/04/10",3346,1520,0.00209205020920502,0.00263157894736842,0.000471550228969229,0.000498223811408985,0.00158585210604875,0.00196517948031985
"17","2020/04/11",3646,1650,0.00246845858475041,0.00292682926829268,0.000445756154399719,0.000432079892716652,0.00183827372635188,0.00214957540316798
"18","2020/04/12",3846,1825,0.00286011440457618,0.00325581395348837,0.000638572000816323,0.000611844347230217,0.00214519377561097,0.00240495087265234
"19","2020/04/13",3946,1825,0.00304105423213381,0.00340909090909091,0.000638572000816323,0.000611844347230217,0.0022813020103084,0.00252449985461235
"20","2020/04/14",4046,1825,0.00296589223924864,0.00333333333333333,0.000638572000816323,0.000611844347230217,0.00224244488187528,0.0024873586442449
"21","2020/04/15",4046,1855,0.00296589223924864,0.00333333333333333,0.000636120849945796,0.000605884652058075,0.00223352045020326,0.00247595029592178
"22","2020/04/16",4146,1855,0.00289435600578871,0.00326086956521739,0.000636120849945796,0.000605884652058075,0.00219630131255615,0.00244017351224113
"23","2020/04/17",4146,1905,0.00289435600578871,0.00326086956521739,0.000632352899578482,0.000600776341910525,0.00218222314885094,0.00242340838683372
"24","2020/04/18",4146,1905,0.00289435600578871,0.00326086956521739,0.000632352899578482,0.000600776341910525,0.00218222314885094,0.00242340838683372
"25","2020/04/19",4296,1905,0.00279329608938547,0.00319148936170213,0.000632352899578482,0.000600776341910525,0.00212943594157346,0.00239560026273374
"26","2020/04/21",4296,1905,0.00279329608938547,0.00319148936170213,0.000632352899578482,0.000600776341910525,0.00212943594157346,0.00239560026273374
"27","2020/04/23",4296,1905,0.00279329608938547,0.00319148936170213,0.000632352899578482,0.000600776341910525,0.00212943594157346,0.00239560026273374
"28","2020/04/24",4296,1905,0.00279329608938547,0.00319148936170213,0.000632352899578482,0.000600776341910525,0.00212943594157346,0.00239560026273374
"29","2020/04/25",4296,1905,0.00279329608938547,0.00319148936170213,0.000632352899578482,0.000600776341910525,0.00212943594157346,0.00239560026273374
