"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"32","FR","FR31",1268370,0.02,0.02,0,0,50,1,0.02,0.02,0,0,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"33","FR","FR32",195489,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"34","FR","FR33",1479277,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"35","FR","FR34",1062617,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"36","FR","FR35",1015470,0.05,0.05,0.005,0.005,200,1,0.05,0.05,0.005,0.005,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"37","FR","FR36",238261,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"38","FR","FR37",605819,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"39","FR","FR38",1233759,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"40","FR","FR39",271973,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"41","FR","FR40",397766,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"42","FR","FR41",340729,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"43","FR","FR42",766729,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"44","FR","FR43",231877,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"45","FR","FR44",1317685,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"46","FR","FR45",674913,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"47","FR","FR46",181232,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"48","FR","FR47",342500,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"49","FR","FR48",81281,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"50","FR","FR49",808298,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"51","FR","FR50",517121,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"52","FR","FR51",579533,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"53","FR","FR52",191004,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"54","FR","FR53",317006,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"55","FR","FR54",746502,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"56","FR","FR55",200509,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"57","FR","FR56",744663,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"58","FR","FR57",1066667,0,0,0,0,20,1,0,0,0,0,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"59","FR","FR58",226997,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"60","FR","FR59",2617939,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"61","FR","FR60",823668,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"62","FR","FR61",301421,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"63","FR","FR62",1489209,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"64","FR","FR63",649643,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"65","FR","FR64",674908,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"66","FR","FR65",237945,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"67","FR","FR66",457238,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"68","FR","FR67",1115226,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"69","FR","FR68",765634,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"70","FR","FR69",1756069,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
