"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","n_obs_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","FR","FR01",614331,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"2","FR","FR02",555094,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"3","FR","FR03",353124,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"4","FR","FR04",165155,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"5","FR","FR05",142312,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"6","FR","FR06",1094579,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"7","FR","FR07",324885,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"8","FR","FR08",291678,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"9","FR","FR09",157582,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
"10","FR","FR10",311720,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,NA,NA,0,0,0.0663237910162662,0.0606018393591218,646,0.000282375761561147,0.000282375761561147,646,0.0663237910162662,0.0606018393591218,0.000282375761561147,0.000282375761561147
