"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","prop_cases_low","prop_cases_high","prop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error","survey_twitter"
"71","Spain","ES","2020/03/10",615,23,1204,28,11200,20667.5902571879,19556.1039702669,21842.2487264563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Spain","ES","2020/03/11",435,7,1639,35,14000,25513.9844174228,24370.21662879,26711.4326789967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Spain","ES","2020/03/12",501,12,2140,47,18800,30872.1797496086,29801.8034527517,31981.0002103795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Spain","ES","2020/03/13",864,37,3004,84,33600,53472.944057094,52440.7507288811,54525.4540865744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Spain","ES","2020/03/14",1227,37,4231,121,48400,76070.4166244261,75007.4917609936,77148.4041067889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153006.340427822
"76","Spain","ES","2020/03/15",1522,15,5753,136,54400,82203.6931963558,81104.5896470476,83317.6914466588,39,0.717948717948718,150,5850,0,NA,NA,0.00176859913438212,0,0,0,NA,NA,82635.5820364874,0,223635.037948718,NA,NA,82635.5820364874,140999.455912231,306270.619985205,82635.5820364874,NA
"77","Spain","ES","2020/03/16",2000,152,7753,288,115200,166964.141182189,165853.807176739,168081.908490647,63,1.17460317460317,150,9450,0,NA,NA,0.00177715389384587,0,0,0,NA,NA,83035.2924704272,0,365879.092698413,NA,NA,83035.2924704272,282843.800227985,448914.38516884,83035.2924704272,242501.44856
"78","Spain","ES","2020/03/17",1438,21,9191,309,123600,152495.200484555,151464.676539598,153532.735830621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Spain","ES","2020/03/18",1987,182,11178,491,196400,215789.262041618,214752.119266045,216831.413685744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301724.16736
"80","Spain","ES","2020/03/19",2538,107,13716,598,239200,242848.276469217,241790.286802365,243910.895528548,95,1.87368421052632,91.3473684210526,14250,0,NA,NA,0.00298220906737559,0,0.01,0,NA,NA,139339.987929581,0,583637.005052632,NA,NA,159606.607785693,498434.690810044,668839.319295219,85202.3142425872,NA
"81","Spain","ES","2020/03/20",3431,169,17147,767,306800,300115.91232935,298969.331753977,301266.890168509,68,0.941176470588235,36.6029411764706,10200,0,NA,NA,0.00621808428555346,0,0,0,NA,NA,290532.209419044,0,293168.621176471,NA,NA,272221.841191676,221569.31670024,364767.925652701,71599.3044762306,NA
"82","Spain","ES","2020/03/21",2833,235,19980,1002,400800,357533.509792099,356333.29210671,358737.770104221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
