"","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1",0,NA,0,NA
"2",0,NA,0,NA
"3",0,NA,0,NA
"4",0,NA,0,NA
"5",0,NA,0,NA
"6",0,NA,0,NA
"7",0,NA,0,NA
"8",0.0034617285030965,0.00138746969605898,0.0017067756889818,0.0008655168103987
"9",0.0090228984935896,0.0015660739806331,0.0161029623262303,0.00266436224834331
"10",0.0274606954287764,0.00154819421617739,0.0316670294180667,0.00239516917906426
"11",0.0277751683577986,0.00156892950646429,0.0333906828066367,0.00266318566400868
"12",0.0280172630415014,0.00157823715297903,0.034234867048337,0.00247514936527499
"13",0.0359161704081913,0.00400474017240371,0.0356883078185676,0.0043544464048707
"14",0.043181251063187,0.00432924847948217,0.0443225924613942,0.00421930768015706
"15",0.0518566700814805,0.00501570369933129,0.0528280580381012,0.00427597434348932
"16",0.0520688135995751,0.00494727406714975,0.0532664121364486,0.00439196817972444
"17",0.0520803924591019,0.00493645355986815,0.0532648577709571,0.00438414383482845
"18",0.0510225329432434,0.00479891257653513,0.0520369211354664,0.00426357046532862
"19",0.0476913374173219,0.00456291742519881,0.0508147962745776,0.00414029792789065
"20",0.0476716449407476,0.0045375070678514,0.0507617946661418,0.00411805701994778
"21",0.0476396364548686,0.00449585577445122,0.0506898419212335,0.00408057425039749
"22",0.0476573016887589,0.00449008133897446,0.0506808589017106,0.00407443294884427
"23",0.0504757354437214,0.00491080520542346,0.0547383837239925,0.00430926944143883
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",NA,NA,NA,NA
"28",NA,NA,NA,NA
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",0.0602892996381574,0.00819403249152863,0.0608586564488049,0.0163991291039836
"34",0.0603793907049151,0.0116571331664335,0.0585895306603377,0.01718354029633
"35",0.0529792985752807,0.00874554866373505,0.0521568630229268,0.0142275230894542
"36",0.0538162419367302,0.00852531679824552,0.0520905365039218,0.0138933225035919
"37",0.0536199756703378,0.00872172889656864,0.0521698913214366,0.0142755699889767
"38",0.0544082520555633,0.00845183246805058,0.0528183712369715,0.0138668193953659
"39",0.0536156173148611,0.00821442592359225,0.0528772131503401,0.0139436829684024
"40",0.0531758151209241,0.00829986916888552,0.0520678349192187,0.0139859987070376
"41",0.0536968681579555,0.00824055547819385,0.0527484222175735,0.013939530406898
"42",0.0482383745210479,0.0076850723343329,0.0478278363949627,0.0105925101832994
"43",0.0490364940205572,0.00780146194766361,0.0483340498175777,0.0104265855343435
"44",0.049281990411049,0.00733304984516644,0.0479827563074324,0.00943813767263191
"45",0.0502331666482913,0.00744938438862073,0.048234907617778,0.00948846564034866
"46",0.0501812358623886,0.00584515845581746,0.0475129861049582,0.00839763512870046
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",NA,NA,NA,NA
"51",NA,NA,NA,NA
"52",NA,NA,NA,NA
"53",NA,NA,NA,NA
"54",NA,NA,NA,NA
"55",NA,NA,NA,NA
