"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1","2020/03/23",0.072463768115942,0,0.0739734299516908,0
"2","2020/03/24",0.0542285424986491,0,0.0529586059327209,0
"3","2020/03/25",0.0542285424986491,0,0.0529586059327209,0
"4","2020/03/26",0.0544084209868594,0,0.0676611979940279,0
"5","2020/03/27",0.0447782907008233,0,0.055955478508998,0
"6","2020/03/30",0.0447782907008233,0,0.055955478508998,0
"7","2020/03/31",0.0407148383788887,0,0.057542347642099,0
"8","2020/04/01",0.0407148383788887,0,0.057542347642099,0
"9","2020/04/02",0.0407148383788887,0,0.057542347642099,0
"10","2020/04/07",0.0339860205083454,0,0.0445100936467252,0
"11","2020/04/08",0.0465685522711236,0,0.0555976168010154,0
"12","2020/04/09",0.0465685522711236,0,0.0555976168010154,0
"13","2020/04/11",0.0127915726109857,0,0.0151879899997573,0
"14","2020/04/12",0.00955593029792018,0,0.0118919336706015,0
"15","2020/04/13",0.00955593029792018,0,0.0118919336706015,0
"16","2020/04/14",0.00955593029792018,0,0.0118919336706015,0
"17","2020/04/16",0.0107215299913069,0,0.0116148776044458,0
"18","2020/04/17",0.0121366073948631,0,0.0140558814832735,0
"19","2020/04/18",0.0125069483046137,0,0.0153148795186038,0
"20","2020/04/19",0.0125069483046137,0,0.0153148795186038,0
"21","2020/04/20",0.0144729655925724,0,0.0186230272179144,0
"22","2020/04/23",0.0133185349611543,0,0.0190755861860481,0
"23","2020/04/25",0.0133185349611543,0,0.0190755861860481,0
"24","2020/04/27",0.0640809443507589,0,0.0657288495652745,0
"25","2020/04/28",0.067175572519084,0,0.0679497012867485,0
"26","2020/05/01",0.0743099787685775,0,0.0718067559219477,0
"27","2020/05/06",0.0726727736296348,0,0.0634876898531731,0
"28","2020/05/08",0.058088626352808,0,0.0537037989883589,0
"29","2020/05/09",0.0618173252423472,0,0.0552570720264669,0
"30","2020/05/10",0.0576295515174857,0,0.0523823301311829,0
"31","2020/05/11",0.0607838397126602,0,0.0548444504130198,0
"32","2020/05/12",0.0650725497565167,0,0.0637170510177465,0
"33","2020/05/14",0.0607469883957631,0,0.0612307963592366,0
"34","2020/05/15",0.0657543526436333,0,0.0709550276655742,0
"35","2020/05/17",0.0570880872402297,0,0.0668976722691761,0
"36","2020/05/18",0.0591684576783289,0,0.0707180282986463,0
"37","2020/05/20",0.0580169212744957,0,0.0699069552244547,0
"38","2020/05/21",0.0560123385163543,0,0.063313476877486,0
"39","2020/05/23",0.0637667429535624,0,0.0760545384933427,0
"40","2020/05/25",0.062386612129326,0,0.0815939266609492,0
"41","2020/05/31",0.0379464285714286,0,0.06025,0
"42","2020/06/01",0.0423280423280423,0,0.0538636363636364,0
"43","2020/06/02",0.0515250678679543,0,0.0651218185142966,0
"44","2020/06/05",0.0550545241620454,0,0.0744233307563755,0
"45","2020/06/06",0.0603332375186485,0.000727272727272727,0.0692998464462445,0.000606060606060606
"46","2020/06/07",0.0560243648162261,0.00054585152838428,0.0661731021341726,0.000454876273653566
"47","2020/06/08",0.0671098922361171,0.000425350914504466,0.0819594842367239,0.000354459095420388
"48","2020/06/09",0.0687089327930165,0.000259470679813181,0.0802802762571389,0.000216225566510984
"49","2020/06/10",0.0675267923916949,0.000973478618709925,0.0788326956683922,0.00134838982082845
"50","2020/06/11",0.0681812882414329,0.000969713485070537,0.0788612705596986,0.00132842109224877
