"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"1","2020/04/01",0.00344633149936375,0,0.00500505800321883,0
"2","2020/04/02",0.0031678052637229,0,0.00293987143257418,0
"3","2020/04/03",0.0366832007541685,0,0.0365042508477841,0
"4","2020/04/04",0.0367241096376917,0,0.0365644246071282,0
"5","2020/04/05",0.0367243761180469,0,0.0365446304966612,0
"6","2020/04/06",0.0346774510449193,0,0.0348407329530236,0
"7","2020/04/07",0.0346977712367741,0,0.0348168160236955,0
"8","2020/04/08",0.0347094041401288,0,0.0348365261456858,0
"9","2020/04/09",0.0348513483778171,0,0.0350384535098771,0
"10","2020/04/10",0.0358480235173485,0,0.0359859044609861,0
"11","2020/04/11",0.0360029420470262,0,0.0360829636406828,0
"12","2020/04/12",0.0360417333703276,0,0.0361593938589733,0
"13","2020/04/13",0.0363160061157328,0,0.0365210109539439,0
"14","2020/04/14",0.0364803673287555,0,0.0366596067113692,0
"15","2020/04/15",0.0365944909692138,0,0.0365831975898795,0
"16","2020/04/16",0.0367056468458979,0,0.0366578741765072,0
"17","2020/04/17",0.0367188810198573,0,0.0364704000891401,0
"18","2020/04/19",0.0118395389581858,0,0.0115556428851566,0
"19","2020/04/20",0.0134999113480259,0,0.0129597853994854,0
"20","2020/04/22",0.0177999887730792,0,0.0163402905152414,0
"21","2020/04/23",0.0200022381298006,0,0.0191982040325169,0
"22","2020/04/24",0.0218800662940505,0,0.0209117222323949,0
"23","2020/04/25",0.0239154766520507,0,0.0230067142459374,0
"24","2020/04/27",0.0270044921139783,0,0.0263181497912583,0
"25","2020/05/02",0.0577777777777778,0,0.0577777777777778,0
"26","2020/05/09",0.0682539682539682,0,0.0733333333333333,0
"27","2020/05/15",0.056732681849499,0,0.0654607867494219,0
"28","2020/05/21",0.0853047895466819,0,0.0863927735325003,0
"29","2020/05/23",0.0853859944346073,0,0.0864414111269904,0
"30","2020/05/24",0.0781063379505022,0,0.0801741961312174,0
"31","2020/05/25",0.0738622203647224,0,0.0793172053379076,0
"32","2020/05/26",0.0739134323949235,0,0.079384811987192,0
"33","2020/05/27",0.074178328796502,0,0.0792062043078774,0
"34","2020/05/31",0.0803877022867959,0,0.0851273725168459,0
"35","2020/06/01",0.0809670092603963,0,0.0844242252067179,0
"36","2020/06/02",0.0810785050754067,0,0.0844757764469542,0
