"","date","p_cases","p_cases_recent"
"1","2020/03/22",0.0249517975855586,0
"2","2020/03/23",0.0280088429108021,0
"3","2020/03/24",0.0300572512896218,0
"4","2020/03/25",0.0342053277940848,0
"5","2020/03/26",0.0327768189033974,0
"6","2020/03/27",0.0315336769621879,0
"7","2020/03/29",0.0276485881484998,0
"8","2020/03/30",0.0243977769608802,0
"9","2020/03/31",0.0241387064485019,0
"10","2020/04/01",0.0243652008388338,0
"11","2020/04/02",0.0187465297258931,0
"12","2020/04/03",0.0193341322098126,0
"13","2020/04/04",0.0191159125666114,0
"14","2020/04/05",0.0191048463433513,0
"15","2020/04/06",0.0213195313079855,0
"16","2020/04/07",0.017062486513652,0
"17","2020/04/08",0.0153495433999701,0
"18","2020/04/09",0.0224287772755246,0
"19","2020/04/10",0.0280992580210212,0
"20","2020/04/11",0.0273326726356873,0
"21","2020/04/12",0.0279020346707746,0
"22","2020/04/13",0.0284743502419893,0
"23","2020/04/14",0.0269379112631483,0
"24","2020/04/15",0.0285001805142295,0
"25","2020/04/16",0.0309435990934508,0
"26","2020/04/17",0.0416233603604758,0
"27","2020/04/18",0.0325397492294601,0
"28","2020/04/19",0.0351123889961317,0
"29","2020/04/20",0.0347423540973051,0
"30","2020/04/21",0.0348585291810737,0
"31","2020/04/22",0.0277754062164713,0
"32","2020/04/23",0.0272040304317846,0
"33","2020/04/24",0.034475453758378,0
"34","2020/04/25",0.0332409611010932,0
"35","2020/04/26",0.0336700376584274,0
"36","2020/04/27",0.0305683887375973,0
"37","2020/04/28",0.0291170371737578,0
"38","2020/04/29",0.0301918253483148,0
"39","2020/05/01",0.02801425968674,0
"40","2020/05/03",0.0481269451513356,0
"41","2020/05/05",0.0393022750511035,0
"42","2020/05/06",0.0381193672427433,0
"43","2020/05/07",0.0417743142007063,0
"44","2020/05/08",0.0480086531538839,0
"45","2020/05/09",0.0582363200078832,0
"46","2020/05/10",0.0612952672774711,0
"47","2020/05/12",0.0450627739037261,0
"48","2020/05/13",0.0487983171664446,0
"49","2020/05/14",0.0374065290571164,0
"50","2020/05/15",0.0369233561001245,0
"51","2020/05/16",0.0417458153187923,0
"52","2020/05/18",0.018387020458331,0
"53","2020/05/20",0.0182897013144773,0
"54","2020/05/21",0.0171136255138106,0
"55","2020/05/23",0.00140378862571424,0
"56","2020/05/25",0,0
"57","2020/05/26",0.0186180557702892,0
"58","2020/05/29",0.0518354187185094,0
"59","2020/06/02",0.0591266609538334,0
"60","2020/06/03",0.0583995572106911,0
"61","2020/06/05",0.0411386375833215,0
"62","2020/06/06",0.0347285817331803,0
"63","2020/06/07",0.0438351727553387,0
"64","2020/06/08",0.0437308210843554,0
"65","2020/06/09",0.0363601800835155,0
"66","2020/06/10",0.0357544032749596,0
"67","2020/06/11",0.0350545959684393,0
"68","2020/06/12",0.0350331468122426,0
"69","2020/06/13",0.035158175063159,0
"70","2020/06/14",0.0345304290458958,0
"71","2020/06/15",0.0345304290458958,0
"72","2020/06/16",0.0345304290458958,0
"73","2020/06/17",0.0354426867962555,0.00209849906239793
"74","2020/06/18",0.035430336394559,0.00177501208392713
"75","2020/06/20",0.0355071209952084,0.00177501208392713
"76","2020/06/21",0.0370640450490529,0.00177501208392713
"77","2020/06/22",0.0355211082265747,0.00177501208392713
"78","2020/06/23",0.036881400451791,0.00177501208392713
"79","2020/06/24",0.0344391041828386,0.00177501208392713
"80","2020/06/25",0.0331548488194288,0.00177501208392713
"81","2020/06/26",0.0334350610586664,0.00215383989031918
"82","2020/06/27",0.0284262401550927,0.00215383989031918
"83","2020/06/28",0.0344066501569279,0.0142938202510702
"84","2020/06/29",0.0336164889163296,0.0150664058825028
"85","2020/06/30",0.0337831097890923,0.0150664058825028
"86","2020/07/01",0.0330336947037426,0.0150664058825028
"87","2020/07/02",0.0302863240052088,0.0140784558722982
"88","2020/07/03",0.0328191393105081,0.015450910457092
"89","2020/07/04",0.0288691371034002,0.0168848440937883
"90","2020/07/05",0.0279011298892115,0.017351123049059
"91","2020/07/06",0.0295837134264759,0.0156637064076299
"92","2020/07/07",0.0237299045541857,0.0127338466522541
"93","2020/07/08",0.0236962494334125,0.0126667995966782
"94","2020/07/09",0.0236908390079427,0.0126564071774687
"95","2020/07/10",0.0278877422459212,0.012320246082102
"96","2020/07/11",0.0309134278561435,0.00773571625734273
"97","2020/07/12",0.029566373946356,0.00734428794423965
"98","2020/07/13",0.0289217947629712,0.00695092860401248
"99","2020/07/14",0.0285870575028634,0.00635349734776858
"100","2020/07/15",0.029429783501265,0.00754014928874471
"101","2020/07/16",0.0292170755218004,0.00753538401450508
"102","2020/07/17",0.0297227226581807,0.00758319656853474
"103","2020/07/18",0.0335553800919878,0.00608480780452361
"104","2020/07/19",0.0443006068612259,0.00303922154969872
"105","2020/07/20",0.0489934324841116,0.00369635343047725
"106","2020/07/21",0.0735689772058608,0.0351199398703814
"107","2020/07/24",0.0816499118928185,0.0284905521826183
"108","2020/07/27",0.069407423416047,0.0326015884625245
"109","2020/07/28",0.055505981019937,0.0326015884625245
"110","2020/07/29",0.0536213335106834,0.0306842499241394
"111","2020/07/30",0.0292816858866996,0.00042745892575113
"112","2020/07/31",0.026433630667317,0.000462857866427971
"113","2020/08/01",0.0289678281519844,0.00479151155845568
"114","2020/08/02",0.023410333183891,0.00507631909367081
"115","2020/08/03",0.0251358660383993,0.00687775170020531
"116","2020/08/04",0.0251358660383993,0.00687775170020531
"117","2020/08/05",0.0251358660383993,0.00687775170020531
"118","2020/08/06",0.0242222654173835,0.00540033343141723
