Timestamp,Region,Reach,Cases
"2020/03/23 3:28:01 AM GMT","Viana do Castelo",500,1
"2020/03/23 3:38:59 AM GMT",Lisboa,60,
"2020/03/23 4:06:28 AM GMT",Braga,100,
"2020/03/23 4:48:54 AM GMT",Lisboa,20,
"2020/03/23 7:39:36 AM GMT",Beja,100,
"2020/03/23 9:02:08 AM GMT",Lisboa,30,
"2020/03/23 9:35:09 AM GMT","Todo o país",100,
"2020/03/23 9:39:25 AM GMT",Braga,500,
"2020/03/23 9:50:47 AM GMT",Madeira,100,
"2020/03/23 10:12:59 AM GMT","Todo o país",3000,
"2020/03/23 10:20:09 AM GMT",Braga,100,
"2020/03/23 10:37:25 AM GMT",Porto,100,
"2020/03/23 11:21:47 AM GMT",Lisboa,100,
"2020/03/23 11:33:25 AM GMT","Todo o país",100,
"2020/03/23 11:35:29 AM GMT",Beja,100,
"2020/03/23 11:41:01 AM GMT",Lisboa,100,
"2020/03/23 11:59:50 AM GMT",Braga,200,3
"2020/03/23 12:01:10 PM GMT",Lisboa,100,
"2020/03/23 12:04:31 PM GMT",Braga,100,
"2020/03/23 12:29:36 PM GMT",Lisboa,30,
"2020/03/24 12:52:32 PM GMT",Braga,2000,3
"2020/03/24 12:57:08 PM GMT",Braga,50,
"2020/03/24 1:00:31 PM GMT",Aveiro,200,
"2020/03/24 1:17:47 PM GMT","Todo o país",100,
"2020/03/24 1:20:11 PM GMT",Porto,25,1
"2020/03/24 1:22:00 PM GMT",Porto,500,
"2020/03/24 1:26:41 PM GMT",Porto,40,3
"2020/03/24 1:51:31 PM GMT","Todo o país",100,
"2020/03/24 1:58:42 PM GMT",Braga,100,1
"2020/03/24 2:07:46 PM GMT","Todo o país",100,2
"2020/03/24 2:08:22 PM GMT",Porto,60,3
"2020/03/24 2:10:01 PM GMT",Braga,100,
"2020/03/24 2:44:50 PM GMT",Braga,100,
"2020/03/24 2:53:17 PM GMT",Braga,50,50
"2020/03/24 3:00:04 PM GMT",Braga,20,
"2020/03/24 3:08:27 PM GMT",Porto,1000,
"2020/03/24 3:53:48 PM GMT",Braga,5000,1
"2020/03/24 6:50:52 PM GMT",Porto,100,
"2020/03/24 7:58:47 PM GMT",Porto,100,
"2020/03/24 8:25:34 PM GMT",Porto,50,
"2020/03/24 8:47:45 PM GMT",Braga,100,1
"2020/03/24 9:34:34 PM GMT","Todo o país",100,
"2020/03/24 10:17:17 PM GMT",Porto,60,
"2020/03/24 11:53:37 PM GMT",Porto,500,1
"2020/03/25 1:39:34 AM GMT",Porto,100,1
"2020/03/25 10:53:31 AM GMT","Vila Real",5,
"2020/03/25 12:26:47 PM GMT",Braga,50,
"2020/03/25 12:59:06 PM GMT",Porto,150,1
"2020/03/25 2:34:22 PM GMT",Porto,100,
"2020/03/25 2:59:57 PM GMT",Braga,1000,2
"2020/03/25 3:02:05 PM GMT",Braga,1500,13
"2020/03/28 11:47:02 AM GMT+1",Porto,200,2
"2020/03/28 11:49:27 AM GMT+1",Aveiro,75,1
