Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/04/07,Ukraine,UA,,,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,100,8,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Львівська,UA46,,200,6,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,,,,360,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,100,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Харківська,UA63,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Закарпатська,UA21,,15,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,27,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,100,2,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,,,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/07,Ukraine,UA,Київська,UA32,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,600,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Одеська,UA51,,200,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,,,,360,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Полтавська,UA53,,200,17,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,25,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,,,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,,,,500,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Дніпропетровська,UA12,,1000,16,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,19,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Дніпропетровська,UA12,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,50,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Вінницька,UA05,,70,4,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,,,,500,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Черкаська,UA71,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,40,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,400,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,100,1,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,50,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,,,,150,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Київська,UA32,,20,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Харківська,UA63,,100,0,,,,,,,,,,,,,UA-g-sheet,,
2020/04/08,Ukraine,UA,Житомирська,UA18,,1000,0,,,,,,,,,,,,,UA-g-sheet,,
