Timestamp,Region,Reach,Cases
"2020/04/02 02:21:48 PM UTC",Αττική,15000,0
"2020/04/02 02:22:23 PM UTC",Αττική,20,0
"2020/04/02 02:23:33 PM UTC",Κρήτη,100,0
"2020/04/02 02:25:22 PM UTC","Ιόνιοι Νήσοι",90,0
"2020/04/02 02:32:05 PM UTC",Πελοπόννησος,30,0
"2020/04/02 02:32:21 PM UTC",Αττική,23,2
"2020/04/02 04:38:07 PM UTC",Αττική,150,5
"2020/04/02 05:03:20 PM UTC","Νότιο Αιγαίο",100,0
"2020/04/02 08:30:23 PM UTC",Αττική,100,1
"2020/04/02 10:15:09 PM UTC","ολόκληρη η χώρα",30,0
"2020/04/03 11:44:29 AM UTC",Αττική,25,1
"2020/04/04 01:30:06 AM UTC",Αττική,25,1
"2020/04/04 10:33:28 AM UTC",Αττική,100,20
"2020/04/04 11:31:40 AM UTC",Αττική,25,1
"2020/04/04 06:46:49 PM UTC",Αττική,10,0
"2020/04/05 10:38:08 PM UTC","ολόκληρη η χώρα",3,3
"2020/04/06 10:20:48 AM UTC",Αττική,25,1
"2020/04/06 09:18:46 PM UTC",Αττική,25,1
"2020/04/06 11:45:18 PM UTC",Αττική,50,0
"2020/04/06 11:59:27 PM UTC","ολόκληρη η χώρα",1000,2
"2020/04/07 04:03:35 AM UTC","Κεντρική Μακεδονία",30,0
"2020/04/07 04:06:29 AM UTC","ολόκληρη η χώρα",100,0
"2020/04/07 07:03:15 AM UTC",Αττική,80,0
"2020/04/07 07:40:10 AM UTC",Αττική,100,0
"2020/04/07 06:40:34 PM UTC","Βόρειο Αιγαίο",1,0
"2020/04/07 06:42:04 PM UTC","ολόκληρη η χώρα",100,0
"2020/04/07 06:43:36 PM UTC",Αττική,25,0
"2020/04/07 06:44:43 PM UTC",Αττική,30,0
"2020/04/07 06:49:15 PM UTC","Ανατολική Μακεδονία και Θράκη",30,0
"2020/04/07 06:55:04 PM UTC","Στερεά Ελλάδα",50,0
"2020/04/07 07:09:15 PM UTC",Αττική,100,0
"2020/04/07 07:09:58 PM UTC",Αττική,100,2
"2020/04/07 07:16:36 PM UTC",Αττική,20,0
"2020/04/07 07:30:32 PM UTC",Αττική,30,0
"2020/04/07 07:37:03 PM UTC",Πελοπόννησος,5,5
"2020/04/07 07:37:10 PM UTC",Αττική,50,0
"2020/04/07 07:38:58 PM UTC","Στερεά Ελλάδα",50,0
"2020/04/07 08:10:53 PM UTC",Αττική,3,3
"2020/04/07 08:12:55 PM UTC",Αττική,20,2
"2020/04/07 08:17:34 PM UTC",Αττική,40,2
"2020/04/07 08:18:48 PM UTC",Αττική,100,0
"2020/04/07 08:21:04 PM UTC","Κεντρική Μακεδονία",50,0
"2020/04/07 08:50:25 PM UTC",Αττική,20,0
"2020/04/07 08:57:48 PM UTC",Αττική,10,0
"2020/04/07 08:58:06 PM UTC","Στερεά Ελλάδα",100,0
"2020/04/07 08:58:54 PM UTC",Αττική,60,0
"2020/04/07 09:24:11 PM UTC",Αττική,100,1
"2020/04/07 10:18:17 PM UTC",Αττική,25,1
"2020/04/08 12:11:53 AM UTC","ολόκληρη η χώρα",25,0
"2020/04/08 01:06:23 AM UTC",Αττική,150,0
"2020/04/08 04:52:56 AM UTC",Αττική,500,0
