"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","n_obs_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","GB","GBENG",56286961,0.0476190476190476,0.0333333333333333,NA,NA,105,3,0.0476190476190476,0.0333333333333333,NA,NA,66796807,0.0114514743773261,0.0147732426303855,NA,NA,3493,42,0.0476190476190476,0.0333333333333333,105,0,0,0,0.0125069483046137,0.0153148795186038,0,0
"2","GB","GBNIR",1893667,NA,NA,NA,NA,0,0,NA,NA,NA,NA,66796807,0.0114514743773261,0.0147732426303855,NA,NA,3493,42,0.0476190476190476,0.0333333333333333,105,0,0,0,0.0125069483046137,0.0153148795186038,0,0
"3","GB","GBSCT",5463300,NA,NA,NA,NA,0,0,NA,NA,NA,NA,66796807,0.0114514743773261,0.0147732426303855,NA,NA,3493,42,0.0476190476190476,0.0333333333333333,105,0,0,0,0.0125069483046137,0.0153148795186038,0,0
"4","GB","GBWLS",3152879,NA,NA,NA,NA,0,0,NA,NA,NA,NA,66796807,0.0114514743773261,0.0147732426303855,NA,NA,3493,42,0.0476190476190476,0.0333333333333333,105,0,0,0,0.0125069483046137,0.0153148795186038,0,0
