"","date","estimated_cases_region_based","prop_cases_region_based","estimate_cases_world","estimate_cases_reg"
"1","2020/03/15",224644.373333333,224644.373333333,224644.373333333,0
"2","2020/03/16",367530.42031746,367530.42031746,367530.42031746,0
"3","2020/03/19",962706.12860106,1271664.35827949,962706.12860106,0
"4","2020/03/20",1206836.55765368,1056029.13,1206836.55765368,0
"5","2020/03/22",921422.155339307,946977.048705241,395633.304510746,525788.850828561
"6","2020/03/23",947099.552956459,993580.030704881,376002.644363266,571096.908593193
"7","2020/03/24",993282.376169436,1205907.78805768,141948.993745247,851333.382424189
"8","2020/03/25",1456888.6258761,1613823.77361012,129834.100561575,1327054.52531453
"9","2020/03/26",1477741.12093454,1653687.54478925,121142.722925929,1356598.39800861
"10","2020/03/27",1432457.96912251,1611330.09875362,132258.711622415,1300199.2575001
"11","2020/03/28",1545865.5122826,1691372.33404708,105914.03547922,1439951.47680338
"12","2020/03/29",1534812.74874339,1717531.43883345,122397.526852298,1412415.22189109
"13","2020/03/30",1483604.12364766,1786806.16098678,184233.007568587,1299371.11607907
"14","2020/03/31",1556732.48809159,2001760.62958642,259399.205271735,1297333.28281986
"15","2020/04/01",2042778.85444791,2305097.16816584,392960.199381548,1649818.65506636
"16","2020/04/02",2074735.36882268,2401576.0208678,434725.510435804,1640009.85838688
"17","2020/04/03",2036428.32264381,2399819.72143966,457747.528267477,1578680.79437633
"18","2020/04/04",1999461.54566631,2154127.88184252,457799.996892534,1541661.54877377
"19","2020/04/05",2011540.90495554,2207083.0858774,483285.796002757,1528255.10895278
"20","2020/04/06",1972354.62774653,2152035.36590586,492624.123183391,1479730.50456314
"21","2020/04/07",1824046.88966905,1977653.67361218,496750.925292598,1327295.96437645
"22","2020/04/08",1730926.0195683,1956416.63968449,593542.430279768,1137383.58928853
"23","2020/04/09",2209521.66238021,2485810.80743485,68788.330981717,2140733.33139849
"24","2020/04/10",2187024.20499272,2440623.11262615,82246.1489934773,2104778.05599924
"25","2020/04/11",2220642.9139078,2440759.41095302,148707.787392999,2071935.1265148
"26","2020/04/12",2119814.39677949,2211091.53193443,344815.658879377,1774998.73790012
"27","2020/04/13",2044434.89193852,2199392.5721295,393980.663780534,1650454.22815799
"28","2020/04/14",1864025.44121957,2025611.90244699,303000.860132813,1561024.58108676
"29","2020/04/15",1902524.60305838,2087056.20603985,306279.763065548,1596244.83999283
"30","2020/04/16",1900413.84633969,2129356.67001627,310566.203035877,1589847.64330381
"31","2020/04/17",1978942.39350203,2168102.35687413,355651.125902425,1623291.26759961
"32","2020/04/18",2021931.34405043,2263493.25056825,412050.21601804,1609881.12803239
"33","2020/04/19",2101329.7688027,2343606.97294179,468214.041209025,1633115.72759367
"34","2020/04/20",2095459.82514908,2336549.36029343,478070.745443065,1617389.07970601
"35","2020/04/21",2236263.06184599,2489967.60608293,491597.784368948,1744665.27747704
"36","2020/04/22",2242043.80698881,2483676.49215006,493057.412669027,1748986.39431978
"37","2020/04/23",2262780.56320704,2509849.39125329,511149.6,1751630.96320704
"38","2020/04/24",2237954.10676455,2467770.83769196,532578.890777989,1705375.21598656
"39","2020/04/25",2234499.96345971,2479821.89813859,520275.684331556,1714224.27912815
"40","2020/04/26",2301733.18798394,2523358.60592399,537390.162721824,1764343.02526211
"41","2020/04/27",2355824.77163344,2600447.80390594,523334.434942957,1832490.33669048
"42","2020/04/28",2615761.40398224,2799928.2907808,603384.207617314,2012377.19636493
"43","2020/04/29",2739842.49657164,2954919.66543121,597053.465015127,2142789.03155651
"44","2020/04/30",2766411.04340003,2970571.48692118,587489.535441658,2178921.50795837
"45","2020/05/01",2836543.2824747,3091254.61058364,619575.234566909,2216968.04790779
"46","2020/05/02",2847089.87998108,3103769.56466646,628988.350284322,2218101.52969676
"47","2020/05/03",2778551.10169828,3090962.33240399,633148.166831974,2145402.93486631
"48","2020/05/04",2769088.46925506,3073271.04083611,621318.073170732,2147770.39608433
"49","2020/05/05",2718873.56607151,3073728.32500593,608335.307462686,2110538.25860883
"50","2020/05/06",2726901.57747206,3079463.75313933,601157.309734513,2125744.26773754
"51","2020/05/07",2713786.74910937,3156942.56201066,588811.720202941,2124975.02890642
"52","2020/05/08",2793354.52924505,3294677.7998517,636195.477634822,2157159.05161023
"53","2020/05/09",2779306.77018803,3274651.67716147,614049.432527281,2165257.33766075
"54","2020/05/10",2747289.23472754,3231369.96601129,597044.986703448,2150244.24802409
"55","2020/05/11",2737383.79253332,3236464.66769214,555410.591781922,2181973.20075139
"56","2020/05/12",2752286.16352565,3208256.91329001,463934.727590824,2288351.43593483
"57","2020/05/13",2764878.35894058,3194502.22913124,436088.300589851,2328790.05835073
