"","date","estimated_cases_region_based","prop_cases_region_based","estimate_cases_world","estimate_cases_reg","I_r_est","I_c_est","r_r","r_c","I_r_prop","I_c_prop"
"1","2020/03/15",224644.373333333,224644.373333333,224644.373333333,0,0,224644.373333333,0,5850,0,224644.373333333
"2","2020/03/16",367530.42031746,367530.42031746,367530.42031746,0,0,367530.42031746,0,9450,0,367530.42031746
"3","2020/03/19",962706.12860106,1271664.35827949,962706.12860106,0,0,962706.12860106,0,8678,0,1271664.35827949
"4","2020/03/20",1206836.55765368,1056029.13,1206836.55765368,0,0,1206836.55765368,0,2489,0,1056029.13
"5","2020/03/22",921422.155339307,946977.048705241,395633.304510746,525788.850828561,774682.981398294,1231408.6602897,16362,3659,870822.855547959,1107852.78175
"6","2020/03/23",947099.552956459,993580.030704881,376002.644363266,571096.908593193,822128.516766025,1231408.6602897,17672,3659,943350.250025708,1107852.78175
"7","2020/03/24",993282.376169436,1205907.78805768,141948.993745247,851333.382424189,922021.713816811,1851508.61406844,27772,2104,1129618.94852044,2124690.76857143
"8","2020/03/25",1485944.62770076,1658005.03860684,129834.100561575,1356110.52713919,1446201.78593515,2084178.98269896,27044,1734,1613422.68362918,2329086.80300752
"9","2020/03/26",1504035.79159239,1690627.90502594,121142.722925929,1382893.06866646,1469867.47550083,2047312.0174482,29256,1834,1653369.6345963,2283034.40485714
"10","2020/03/27",1458757.74969092,1648277.63770493,132258.711622415,1326499.03806851,1409652.70911161,2242100.06369427,30955,1884,1587281.26962929,2621314.93795918
"11","2020/03/28",1568341.01675699,1724359.34146443,105914.03547922,1462426.98127777,1545756.15400015,1964705.35813953,31319,2150,1691348.02240258,2303707.991
"12","2020/03/29",1557148.43732071,1750313.24026581,122397.526852298,1434750.91046841,1525996.03416048,2046993.12149533,40469,2889,1718704.49544793,2247333.50360902
"13","2020/03/30",1529395.78719906,1840186.15735528,184233.007568587,1345162.77963047,1453862.80222687,2464116.47622985,26499,2419,1783279.00625044,2544412.15227757
"14","2020/03/31",1601606.81345044,2054071.27171903,259399.205271735,1342207.60817871,1480323.95836069,2780227.37957911,32978,3849,1970453.30353081,2866666.39847118
"15","2020/04/01",2102069.96015324,2364388.27387117,392960.199381548,1709109.76077169,1940234.92415007,3298797.46322931,23805,3685,2226731.72800423,3382322.20515038
"16","2020/04/02",2115718.21794549,2442558.86999061,434725.510435804,1680992.70750969,1948811.88463835,3163321.79934138,25330,4555,2302286.6827494,3322990.68352584
"17","2020/04/03",2077153.16835809,2440544.56715394,457747.528267477,1619405.64009062,1889306.58010572,3204232.69787234,27154,5405,2287783.3165044,3357112.07105121
"18","2020/04/04",2040227.40330981,2194893.73948602,457799.996892534,1582427.40641728,1844307.99832436,3224080.82917933,25437,4935,2004227.46334463,3347004.85489362
"19","2020/04/05",2052194.49109727,2247736.67201913,483285.796002757,1568908.69509452,1833601.87984973,3347852.51412819,29744,5804,2039639.06745176,3481187.92818211
"20","2020/04/06",2012600.35762888,2192281.09578821,492624.123183391,1519976.23444549,1794416.38788704,3221003.88235294,32855,6834,1996796.45648141,3274965.25194896
"21","2020/04/07",1824046.88966905,1977653.67361218,496750.925292598,1327295.96437645,1573921.90370315,3170174.0868673,26873,5848,1752391.51446704,3189973.65737509
"22","2020/04/08",1730926.0195683,1956416.63968449,593542.430279768,1137383.58928853,1397502.70612134,3188835.80189523,20123,5593,1701371.34143846,3071614.70848574
