"","date","cases_p_reach","cases_p_reach_prop","variance_p_reach","variance_p_reach_prop","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop_low","cases_p_reach_prop_high","estimate_cases_reach","estimate_cases_reach_low","estimate_cases_reach_high","estimate_cases_reach_prop","estimate_cases_reach_prop_low","estimate_cases_reach_prop_high"
"1","2020/03/15",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
"2","2020/03/16",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
"3","2020/03/19",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
"4","2020/03/20",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
"5","2020/03/22",0.0165055741231888,0.0185539524367373,7.10023071234432e-06,6.9043899992063e-06,0.0112829075337403,0.0217282407126374,0.0134038160675767,0.0237040888058979,774682.981398294,529559.067854499,529559.067854499,870822.855547958,629103.120912134,1112542.59018378
"6","2020/03/23",0.0175164596333015,0.0200992378170273,6.9665959169398e-06,6.71889390641667e-06,0.0123431749055376,0.0226897443610655,0.0150187552778495,0.0251797203562051,822128.516766024,579322.322530341,579322.322530341,943350.250025708,704899.691988904,1181800.80806251
"7","2020/03/24",0.0196448071095143,0.0240679216317734,6.92895661559371e-06,6.79901020007971e-06,0.0144855164863313,0.0248040977326974,0.0189572389391553,0.0291786043243915,922021.713816811,679872.327673825,679872.327673825,1129618.94852044,889750.957516369,1369486.93952451
"8","2020/03/25",0.0308131085205394,0.0343759555019628,8.45808652359577e-06,8.44657193368143e-06,0.0251128817540813,0.0365133352869975,0.0286796101173824,0.0400723008865432,1446201.78593515,1178663.76313579,1178663.76313579,1613422.68362918,1346066.83204438,1880778.53521398
"9","2020/03/26",0.0313173351560564,0.0352270744448279,8.94489658438785e-06,9.09753594400354e-06,0.0254553632422219,0.0371793070698909,0.029315298562533,0.0411388503271228,1469867.47550083,1194738.00437856,1194738.00437856,1653369.6345963,1375902.63274142,1930836.63645119
"10","2020/03/27",0.0300343854671993,0.0338189805111333,8.05689366308164e-06,8.17374853553157e-06,0.0244709905777371,0.0355977803566616,0.0282153859171162,0.0394225751051505,1409652.70911161,1148536.8395576,1148536.8395576,1587281.26962929,1324278.64189629,1850283.8973623
"11","2020/03/28",0.0329342368282998,0.0360362507273431,7.49896121657074e-06,7.66161829435305e-06,0.0275669275014976,0.038301546155102,0.0306110435571434,0.0414614578975429,1545756.15400015,1293843.48738576,1293843.48738576,1691348.02240258,1436717.94204632,1945978.10275884
"12","2020/03/29",0.0325132231613827,0.036619114046199,6.14864848748347e-06,6.24173524344863e-06,0.027653115340612,0.0373733309821534,0.0317223549025171,0.0415158731898809,1525996.03416048,1297888.68155272,1297888.68155272,1718704.49544793,1488876.92663362,1948532.06426223
"13","2020/03/30",0.0309763358990908,0.0379949534542054,9.64495608528691e-06,9.61654660591143e-06,0.0248892952965288,0.0370633765016528,0.0319168842343569,0.0440730226740538,1453862.80222687,1168169.81592473,1168169.81592473,1783279.00625044,1498007.08845861,2068550.92404228
"14","2020/03/31",0.0315401233895086,0.0419829321653686,8.73054924192293e-06,8.31832766393078e-06,0.0257488128324955,0.0373314339465217,0.0363299959766472,0.0476358683540901,1480323.95836069,1208510.9517348,1208510.9517348,1970453.30353081,1705134.84640543,2235771.76065619
"15","2020/04/01",0.04133909241062,0.0474432593351806,1.28780600753046e-05,1.23361515965033e-05,0.0343054336482623,0.0483727511729776,0.040559179151661,0.0543273395187002,1940234.92415007,1610112.76665988,1610112.76665988,2226731.72800423,1903629.98546856,2549833.47053989
"16","2020/04/02",0.0415218351072975,0.0490530506122133,1.4594696221626e-05,1.41364967815233e-05,0.0340340460474349,0.0490096241671601,0.041683738158809,0.0564223630656176,1948811.88463835,1597375.29057123,1597375.29057123,2302286.6827494,1956410.7441331,2648162.6213657
"17","2020/04/03",0.0402540013762487,0.0487440385487746,1.22904417085769e-05,1.18953299554278e-05,0.0333826870283478,0.0471253157241496,0.0419840755639077,0.0555040015336416,1889306.58010572,1566803.99731593,1566803.99731593,2287783.3165044,1970506.9685159,2605059.6644929
"18","2020/04/04",0.0392952512231345,0.0427025321974348,1.17338116047645e-05,1.18974540089801e-05,0.0325813394974069,0.0460091629488622,0.0359419657033533,0.0494630986915163,1844307.99832436,1529193.0490525,1529193.0490525,2004227.46334463,1686922.78987564,2321532.13681361
"19","2020/04/05",0.0390671441957466,0.0434570199949547,1.09997744882749e-05,1.09136559476811e-05,0.0325666262414482,0.0455676621500451,0.0369819987062938,0.0499320412836156,1833601.87984973,1528502.48785741,1528502.48785741,2039639.06745176,1735736.35197638,2343541.78292714
"20","2020/04/06",0.0382322490739042,0.0425442054527716,9.48973542472211e-06,9.37219912896068e-06,0.0321943878956713,0.0442701102521371,0.0365438521153576,0.0485445587901856,1794416.38788704,1511031.61957103,1511031.61957103,1996796.45648141,1715172.10472132,2278420.80824149
"21","2020/04/07",0.0335343427821171,0.0373368574364122,8.78271519272079e-06,8.58145566682746e-06,0.0277257561481453,0.039342929416089,0.0315952095815116,0.0430785052913128,1573921.90370315,1301298.05083191,1301298.05083191,1752391.51446704,1482909.40829028,2021873.6206438
"22","2020/04/08",0.0343401394815527,0.0384022404565795,8.3632800960967e-06,8.06802684937412e-06,0.028671949574963,0.0400083293881424,0.0328350030856247,0.0439694778275343,1611741.67203479,1345707.28733565,1345707.28733565,1802394.87019611,1541098.65520265,2063691.08518957
