Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,25,1,1,0,0,0,0,2,0,0,0,0,,Y,N,limesurvey-5849,gac7yngb8okd923hnm,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,100,4,4,0,0,0,0,,,,,,,N,N,limesurvey-5284,yvgsmpjgo6kd8ir5z2,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,6,1,1,0,0,,0,0,,0,0,0,,N,N,limesurvey-5271,tfu8pcr1fukd8imzsm,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,50,5,5,0,0,0,0,0,0,0,0,0,,Y,N,limesurvey-5768,02epy11d8lkd8xf87b,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,8,1,0,0,0,0,1,3,1,0,0,0,,Y,Y,limesurvey-5572,sigsim3v2skd8ol76u,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,18,2,2,0,0,0,0,3,1,1,1,1,,N,Y,limesurvey-5633,jqvarxx2f6kd8t8kfz,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,1,0,0,1,0,0,0,1,1,1,0,1,,Y,Y,limesurvey-5458,hh79lplv2kkd8ljo48,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,26,0,,0,,,,3,0,0,,,,N,N,limesurvey-5851,p51feo0snnkd928d1w,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,12,1,,2,0,0,0,0,,0,,,,N,N,limesurvey-5764,taehposj0hkd8x51w2,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,4,0,0,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5784,84qqkj1g70kd8y0dx6,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,100,2,2,0,0,0,0,0,0,0,0,0,,N,Y,limesurvey-5756,zj4ro69mu1kd8wo6sh,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,50,4,4,0,,0,0,6,4,2,2,1,,N,N,limesurvey-5970,ymotdngr6mkd9dutvy,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,3,12,11,1,3,1,2,13,13,6,3,3,,Y,Y,limesurvey-5881,u660uoubbykd95c2pr,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,100,4,4,0,0,0,0,20,0,0,0,0,,N,N,limesurvey-5329,knsxqdbaknkd8j9wp8,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,50,8,8,0,0,0,0,8,3,0,0,0,,Y,Y,limesurvey-5269,tplcwkyx8tkd8imx1y,
