"date","region","regionname","sample_size","reach","cases_est","cases_low","cases_high","recentcases_est","recentcases_low","recentcases_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_cases","p_cases_low","p_cases_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high","population"
"2020/07/30","ESMRC","Rivas Barrio Centro",74,1737,2760.98100172712,2308.22715088586,3213.73485256837,304.916720464816,139.862150312106,469.971290617527,24.4002686366689,0,72.2078546986868,45.443402126329,0,108.384187368233,522.762589928058,305.895258739982,739.629921116133,190.504868913858,49.7499582386647,331.259779589051,0.075993091537133,0.063531519070953,0.088454664003313,0.974789915966387,0.946624428575453,1.00295540335732,0.0151515151515152,0,0.0359903708911263,0.1015625,0.0492321387401721,0.153892861259828,0.00806451612903226,0,0.0238068137560713,0.0151515151515152,0,0.0359903708911263,0.180327868852459,0.112106616839977,0.248549120864941,0.116666666666667,0.0592294782989649,0.174103855034368,0.0614035087719298,0.017334658228842,0.105472359315018,0.108825481088255,0.0931023823071451,0.124548579869365,0.276073619631902,0.207443628155173,0.344703611108631,36332
"2020/07/31","ESMRC","Rivas Barrio Centro",92,2267,2548.20820467578,2166.26922658039,2930.14718277117,237.106425702811,108.637536612431,365.575314793191,NA,NA,NA,35.1203479942001,0,83.7702418074966,482.20112302195,298.0864743533,666.3157716906,146.753606462781,38.2587953233768,255.248417602186,0.0701367445963829,0.0596242768518219,0.0806492123409439,0.979452054794521,0.956440421033994,1.00246368855505,0.0125786163522013,0,0.0299013819415159,0.0866666666666667,0.0416427613795245,0.131690571953809,NA,NA,NA,0.0443037974683544,0.0122189518284927,0.0763886431082162,0.174496644295302,0.113555876992356,0.235437411598248,0.0958904109589041,0.0481298091182165,0.143651012799592,0.0503597122302158,0.0140049024811097,0.0867145219793219,0.0952380952380952,0.082490593492959,0.107985596983231,0.321243523316062,0.255365035753464,0.38712201087866,36332
"2020/08/01","ESMRC","Rivas Barrio Centro",99,2358,2480.68363019508,2110.8131578889,2850.55410250126,224.484790874525,102.833285946425,346.136295802625,18.0846192135391,0,53.5209988447949,33.7344475394615,0,80.4654372957829,496.241951219512,313.694322339031,678.789580099993,137.472432432432,35.8261518760557,239.118712988809,0.0682782018659881,0.0580979070210531,0.0784584967109231,0.97972972972973,0.957025846398439,1.00243361306102,0.0125,0,0.0297151835812792,0.0833333333333333,0.039962188265203,0.126704478401464,0.00662251655629139,0,0.0195593593172108,0.0125786163522013,0,0.0299013819415159,0.185430463576159,0.123441519092062,0.247419408060256,0.0952380952380952,0.0477852860904824,0.142690904385708,0.0492957746478873,0.0136890948807232,0.0849024544150515,0.0921052631578947,0.0798189309966213,0.104391595319168,0.321243523316062,0.255365035753464,0.38712201087866,36332
"2020/08/02","ESMRC","Rivas Barrio Centro",100,2332,2368.12349914237,2004.12916951443,2732.1178287703,222.475741874706,101.909615154756,343.041868594655,18.0486835568803,0,53.4146656255582,100.318453750575,20.159343511854,180.477563989296,415.025226082818,249.93468647441,580.115765691226,189.921589127026,72.5171993354802,307.325978918571,0.065180102915952,0.0551615427037992,0.0751986631281047,0.953020134228188,0.919044945286098,0.986995323170278,0.0397350993377483,0.00857905620643333,0.0708911424690634,0.0884353741496599,0.0425371202308132,0.134333628068506,0.00719424460431655,0,0.0212438922898644,0.0133333333333333,0,0.0316884461414894,0.171428571428571,0.108998956960062,0.233858185897081,0.110294117647059,0.0576465825051214,0.162941652788996,0.0763358778625954,0.0308649482881573,0.121806807437034,0.0867924528301887,0.0748083400449998,0.0987765656153776,0.25414364640884,0.190716374998363,0.317570917819316,36332
"2020/08/03","ESMRC","Rivas Barrio Centro",100,2320,2411.69310344828,2043.65311723372,2779.73308966283,225.556829035339,103.326185926158,347.78747214452,NA,NA,NA,101.817842129846,20.4623342753176,183.173349984374,400.400574988021,237.668752818731,563.132397157311,168.463678516229,58.6582251982409,278.269131834217,0.0663793103448276,0.0562493976999262,0.0765092229897289,0.960526315789474,0.929571033972365,0.991481597606583,0.0392156862745098,0.0084585967065065,0.0699727758425131,0.0849673202614379,0.0407851913183871,0.129149449204489,NA,NA,NA,0.00657894736842105,0,0.0194309611548396,0.157534246575342,0.0984413496435688,0.216627143507116,0.0985915492957746,0.0495589883172974,0.147624110274252,0.0652173913043478,0.0240222903696088,0.106412492239087,0.0953510436432638,0.0828134105460761,0.107888676740451,0.222222222222222,0.164314430421178,0.280130014023266,36332
"2020/08/04","ESMRC","Rivas Barrio Centro",100,2146,2607.23578751165,2210.50322486717,3003.96835015613,312.533333333333,160.054896905184,465.011769761483,NA,NA,NA,114.012552301255,22.92843834611,205.0966662564,381.238195173137,215.035181592098,547.441208754176,196.814734561213,75.1607914893695,318.468677633057,0.0717614165890028,0.0608417710246387,0.0826810621533669,0.960526315789474,0.929571033972365,0.991481597606583,0.0392156862745098,0.0084585967065065,0.0699727758425131,0.105263157894737,0.0564752545652051,0.154051061224269,NA,NA,NA,0,0,0,0.131578947368421,0.0778405546844343,0.185317340052408,0.087248322147651,0.0419366782337566,0.132559966061545,0.0684931506849315,0.0275210471465357,0.109465254223327,0.113725490196078,0.0999487634214448,0.127502216970712,0.25764192139738,0.200999040467457,0.314284802327303,36332
"2020/08/05","ESMRC","Rivas Barrio Centro",100,2126,2665.94167450611,2263.23584306926,3068.64750594297,77.757089352595,1.63812720756859,153.876051497621,0,0,0,96.9370330843116,12.0829647238728,181.79110144475,465.546182594768,280.489485360437,650.602879829098,257.252723311547,117.907081019947,396.598365603147,0.0733772342427093,0.0622931807516586,0.08446128773376,0.961290322580645,0.930922104944513,0.991658540216778,0.032258064516129,0.00444292930207531,0.0600731997301828,0.025974025974026,0.000852695603476027,0.0510953563445759,0,0,0,0.0194805194805195,0,0.041308628328692,0.155844155844156,0.0985587087755605,0.213129602912751,0.112582781456954,0.0621678094999333,0.162997753413974,0.0866666666666667,0.0416427613795245,0.131690571953809,0.135922330097087,0.121123196957972,0.150721463236203,0.256317689530686,0.204902525939497,0.307732853121875,36332
"2020/08/06","ESMRC","Rivas Barrio Centro",100,2088,2801.46168582375,2385.74692014775,3217.17645149976,79.6754385964912,1.68060511297451,157.670272080008,0,0,0,99.3220338983051,12.3831105697887,186.260957226821,459.645764576458,272.989434529265,646.30209462365,266.845197740113,122.322834724264,411.367560755962,0.0771072796934866,0.065665169001094,0.0885493903858792,0.9625,0.933062284575159,0.991937715424841,0.0314465408805031,0.00431979074470644,0.0585732910162998,0.0253164556962025,0.000822844671347692,0.0498100667210574,0,0,0,0.0188679245283019,0,0.0400162181296384,0.145569620253165,0.0905784118926701,0.200560828613659,0.109677419354839,0.0604831462680127,0.158871692441665,0.0844155844155844,0.0405071206877768,0.128324048143392,0.138971315529179,0.123893830370582,0.154048800687776,0.248201438848921,0.19742308875117,0.298979788946672,36332
"2020/08/07","ESMRC","Rivas Barrio Centro",97,1862,3004.9022556391,2550.36218493961,3459.44232633858,87.6525934861279,1.85830922515388,173.446877747102,0,0,0,109.897156684815,13.7156176644153,206.078695705216,439.854721549637,248.253882274288,631.455560824985,294.277881619938,134.958706459766,453.59705678011,0.0827067669172932,0.0701960306324896,0.0952175032020969,0.96078431372549,0.930027224157487,0.991541403293493,0.0328947368421053,0.00453995053331105,0.0612495231508995,0.0264900662251656,0.000876424343673046,0.0521037081066581,0,0,0,0.0197368421052632,0,0.0418492720833242,0.132450331125828,0.0783832012700414,0.186517460981614,0.114093959731544,0.0630457971608566,0.165142122302231,0.0884353741496599,0.0425371202308132,0.134333628068506,0.154788418708241,0.138060308684065,0.171516528732416,0.24,0.189522927296567,0.290477072703433,36332
"2020/08/08","ESMRC","Rivas Barrio Centro",94,1831,2996.24904423812,2538.47834133924,3454.019747137,88.9944886711574,1.8883710742445,176.10060626807,0,0,0,111.584766584767,13.9285133405401,209.241019828993,425.853177051203,235.495265859645,616.211088242761,298.93417721519,137.104584733445,460.763769696935,0.0824685963954123,0.0698689403649466,0.0950682524258781,0.96,0.928640576247359,0.991359423752641,0.0333333333333333,0.00460699933147808,0.0620596673351886,0.0268456375838926,0.000892929298988134,0.0527983458687971,0,0,0,0.02,0,0.0424042544896581,0.128378378378378,0.0744860219330675,0.182270734823689,0.115646258503401,0.0639489151743461,0.167343601832457,0.0896551724137931,0.0431549821995345,0.136155362628052,0.155807365439093,0.138887749232878,0.172726981645309,0.237226277372263,0.186858583338083,0.287593971406442,36332
