"date","region","regionname","population","sample_size","reach","cases","recentcases","fatalities","cases_est","cases_low","cases_high","p_cases","p_cases_low","p_cases_high","recentcases_est","recentcases_low","recentcases_high","p_recentcases","p_recentcases_low","p_recentcases_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high"
"2020/07/30","ESMRE","Rivas Barrio Este",17394,44,1053,88,0,1,1453.62962962963,1162.88614401465,1744.37311524461,0.0835707502374169,0.0668555906642895,0.100285909810544,0,0,0,0,0,0,NA,NA,NA,20.2020905923345,0,59.7744600584269,161.616724738676,50.1456114230054,273.087838054347,80.808362369338,1.80178718335615,159.81493755532,0.965909090909091,0.927995565185105,1.00382261663308,0.0114942528735632,0,0.0338927272190724,NA,NA,NA,0.0227272727272727,0,0.053865100075108,0.0919540229885057,0.0312345838671662,0.152673462109845,0.0804597701149425,0.0233035861239344,0.137615954105951,0.0459770114942529,0.0019683404672869,0.0899856825212189,0.122767857142857,0.10127997110011,0.144255743185604,0.190909090909091,0.117463840822796,0.264354340995386
"2020/07/31","ESMRE","Rivas Barrio Este",17394,50,1201,104,0,1,1506.22481265612,1229.56057221975,1782.88905309249,0.0865945045795171,0.0706887761423338,0.1025002330167,0,0,0,0,0,0,NA,NA,NA,18.4258474576271,0,54.5207116142057,175.87462082912,67.4208977803978,284.328343877843,73.7033898305085,1.62858288761354,145.778196773403,0.971153846153846,0.938986191595499,1.00332150071219,0.0102040816326531,0,0.0301014135466259,NA,NA,NA,0.0192307692307692,0,0.0456252526000378,0.102040816326531,0.0421099834087337,0.161971649244328,0.0714285714285714,0.0204393132494449,0.122417829607698,0.0408163265306122,0.00164187723838956,0.0799907758228349,0.121552604698672,0.101083598400289,0.142021610997055,0.218487394957983,0.144244346284488,0.292730443631478
"2020/08/01","ESMRE","Rivas Barrio Este",17394,51,1233,107,0,1,1509.45498783455,1236.13963617277,1782.77033949633,0.0867802108678021,0.0710670136928121,0.102493408042792,0,0,0,0,0,0,NA,NA,NA,17.8217213114754,0,52.7337542061802,187.398628795299,77.2533280454196,297.543929545178,89.108606557377,11.2032270763366,167.013986038417,0.97196261682243,0.940683842869431,1.00324139077543,0.0099009900990099,0,0.0292102678820743,NA,NA,NA,0.0186915887850467,0,0.0443530907421461,0.108910891089109,0.0481556669171489,0.169666115261069,0.0792079207920792,0.0265392330234782,0.13187660856068,0.0495049504950495,0.00720044245137853,0.0918094585387205,0.118694362017804,0.0987577740803118,0.138630949955296,0.225,0.150286414563206,0.299713585436794
"2020/08/02","ESMRE","Rivas Barrio Este",17394,61,1587,138,0,2,1512.52173913043,1271.3891537703,1753.65432449057,0.0869565217391304,0.0730935468420318,0.100819496636229,0,0,0,0,0,0,NA,NA,NA,26.3545454545455,0,62.8517299473294,216.628571428571,114.295034103236,318.962108753907,102.662731871838,26.8352828460057,178.490180897671,0.971014492753623,0.943023915423318,0.999005070083929,0.0151515151515152,0,0.0359903708911263,NA,NA,NA,0.0144927536231884,0,0.0344322375367966,0.128787878787879,0.071645202724816,0.185930554850942,0.0757575757575758,0.0306169983945153,0.120898153120636,0.0534351145038168,0.0149226766850196,0.091947552322614,0.111538461538462,0.0944261745240976,0.128650748552826,0.220689655172414,0.15318864090522,0.288190669439608
"2020/08/03","ESMRE","Rivas Barrio Este",17394,66,1697,145,0,2,1486.22863877431,1254.88654979893,1717.57072774968,0.0854449027695934,0.0721447941703423,0.0987450113688445,0,0,0,0,0,0,NA,NA,NA,25.2086956521739,0,60.1201976422561,216.672664359862,117.202227517396,316.143101202327,111.678972712681,34.5396521858339,188.818293239527,0.972027972027972,0.945001993299031,0.999053950756913,0.0145985401459854,0,0.034682489723271,NA,NA,NA,0.0137931034482759,0,0.0327767266094914,0.131386861313869,0.0748180603460024,0.187955662281735,0.0802919708029197,0.0347880461678093,0.12579589543803,0.0588235294117647,0.019278699967189,0.0983683588563404,0.113235294117647,0.0963940666093171,0.130076521625977,0.24025974025974,0.172781957667132,0.307737522852348
"2020/08/04","ESMRE","Rivas Barrio Este",17394,77,1934,154,0,2,1385.04446742503,1175.1827543122,1594.90618053785,0.0796277145811789,0.0675625361798435,0.0916928929825143,0,0,0,0,0,0,NA,NA,NA,22.0596068484464,0,52.6127077036053,190.677222898904,103.074603415051,278.279842382757,100.253602305475,30.9831705948186,169.524034016132,0.973684210526316,0.948236801967943,0.999131619084688,0.0136986301369863,0,0.0325531314970137,NA,NA,NA,0.012987012987013,0,0.0308685069977792,0.123287671232877,0.0699590881626112,0.176616254303142,0.0763888888888889,0.0330051961147046,0.119772581663073,0.0559440559440559,0.0182774999627565,0.0936106119253554,0.108723135271808,0.093383601777379,0.124062668766237,0.255813953488372,0.190608075991986,0.321019830984758
"2020/08/05","ESMRE","Rivas Barrio Este",17394,83,2162,166,0,2,1335.52451433858,1140.31618940324,1530.73283927391,0.0767807585568918,0.0655580193976796,0.088003497716104,0,0,0,0,0,0,NA,NA,NA,19.2731301939058,0,45.969032760911,186.032085561497,104.938592285364,267.12557883763,96.8725247524752,33.760121900278,159.984927604672,0.975609756097561,0.952001043464665,0.999218468730457,0.0126582278481013,0,0.030089928430675,NA,NA,NA,0.0120481927710843,0,0.0286449362222799,0.126582278481013,0.0747360700312154,0.17842848693081,0.0897435897435897,0.0448928734362674,0.134594306050912,0.0580645161290323,0.0212475306372499,0.0948815016208146,0.104972375690608,0.0908514054924158,0.1190933458888,0.262032085561497,0.199005574827894,0.325058596295101
"2020/08/06","ESMRE","Rivas Barrio Este",17394,89,2274,168,0,2,1285.04485488127,1098.04309637793,1472.0466133846,0.0738786279683377,0.0631276932492775,0.0846295626873979,0,0,0,0,0,0,NA,NA,NA,18.5833333333333,0,44.3242845331912,190.048907388137,109.210418333132,270.887396443143,93.0160427807487,32.4093809099084,153.622704651589,0.975903614457831,0.952575831718972,0.999231397196691,0.0125,0,0.0297151835812792,NA,NA,NA,0.0119047619047619,0,0.0283051154490187,0.132911392405063,0.0799776753612922,0.185845109448834,0.0886075949367089,0.0442969853746966,0.132918204498721,0.0573248407643312,0.0209625927364036,0.0936870887922588,0.103889184869473,0.0900859148574017,0.117692454881543,0.265625,0.203152211350351,0.328097788649649
"2020/08/07","ESMRE","Rivas Barrio Este",17394,89,2274,171,0,2,1307.99208443272,1119.46247936361,1496.52168950183,0.0751978891820581,0.0643591169002879,0.0860366614638282,0,0,0,0,0,0,NA,NA,NA,18.5833333333333,0,44.3242845331912,199.098855359001,116.379789246846,281.817921471156,93.0160427807487,32.4093809099084,153.622704651589,0.976331360946746,0.953412659784047,0.999250062109444,0.0122699386503067,0,0.0291702466801882,NA,NA,NA,0.0116959064327485,0,0.0278102372638737,0.136645962732919,0.0835907552204377,0.189701170245401,0.0869565217391304,0.0434322049941306,0.13048083848413,0.05625,0.0205492084415317,0.0919507915584683,0.107618540223761,0.0935989676707111,0.121638112776812,0.266331658291457,0.204915472824747,0.327747843758167
"2020/08/08","ESMRE","Rivas Barrio Este",17394,89,2275,171,0,2,1307.41714285714,1118.96704026907,1495.86724544521,0.0751648351648352,0.0643306335672686,0.0859990367624017,0,0,0,0,0,0,NA,NA,NA,18.5734116390817,0,44.3006270176173,198.995319812793,116.319020427634,281.671619197951,92.9608076009501,32.3900387453197,153.531576456581,0.976331360946746,0.953412659784047,0.999250062109444,0.0122699386503067,0,0.0291702466801882,NA,NA,NA,0.0116959064327485,0,0.0278102372638737,0.136645962732919,0.0835907552204377,0.189701170245401,0.0869565217391304,0.0434322049941306,0.13048083848413,0.05625,0.0205492084415317,0.0919507915584683,0.107561235356763,0.0935486780736562,0.121573792639869,0.271356783919598,0.209576577157882,0.333136990681314
"2020/08/09","ESMRE","Rivas Barrio Este",17394,90,2300,173,0,3,1308.33130434783,1120.84800000109,1495.81460869456,0.0752173913043478,0.0644387719904041,0.0859960106182915,0,0,0,0,0,0,NA,NA,NA,27.4931506849315,0,58.5794109773509,187.994853319609,108.025295456082,267.964411183136,91.6009362200117,31.9138775021201,151.287994937903,0.976608187134503,0.953954330034196,0.99926204423481,0.0181818181818182,0,0.0385682072966655,NA,NA,NA,0.0115606936416185,0,0.0274898211743735,0.132075471698113,0.0794493222014472,0.184701621194779,0.0858895705521472,0.042874183358712,0.128904957745582,0.0555555555555556,0.0202825441065359,0.0908285670045752,0.107199159222281,0.0932995790863133,0.121098739358248,0.27363184079602,0.211999057939708,0.335264623652332
"2020/08/10","ESMRE","Rivas Barrio Este",17394,90,2300,173,0,2,1308.33130434783,1120.84800000109,1495.81460869456,0.0752173913043478,0.0644387719904041,0.0859960106182915,0,0,0,0,0,0,NA,NA,NA,18.3287671232877,0,43.7172885341096,194.940397350993,113.939241621369,275.941553080618,91.6009362200117,31.9138775021201,151.287994937903,0.976608187134503,0.953954330034196,0.99926204423481,0.0121212121212121,0,0.0288179248365498,NA,NA,NA,0.0115606936416185,0,0.0274898211743735,0.133333333333333,0.081465090689455,0.185201575977212,0.0858895705521472,0.042874183358712,0.128904957745582,0.0555555555555556,0.0202825441065359,0.0908285670045752,0.107199159222281,0.0932995790863133,0.121098739358248,0.278606965174129,0.216629755515951,0.340584174832307
"2020/08/11","ESMRE","Rivas Barrio Este",17394,90,2300,173,0,2,1308.33130434783,1120.84800000109,1495.81460869456,0.0752173913043478,0.0644387719904041,0.0859960106182915,0,0,0,0,0,0,NA,NA,NA,18.3287671232877,0,43.7172885341096,194.940397350993,113.939241621369,275.941553080618,91.6009362200117,31.9138775021201,151.287994937903,0.976608187134503,0.953954330034196,0.99926204423481,0.0121212121212121,0,0.0288179248365498,NA,NA,NA,0.0115606936416185,0,0.0274898211743735,0.133333333333333,0.081465090689455,0.185201575977212,0.0858895705521472,0.042874183358712,0.128904957745582,0.0555555555555556,0.0202825441065359,0.0908285670045752,0.107199159222281,0.0932995790863133,0.121098739358248,0.278606965174129,0.216629755515951,0.340584174832307
"2020/08/12","ESMRE","Rivas Barrio Este",17394,90,2263,173,0,2,1329.7224922669,1139.30058074345,1520.14440379036,0.0764471939902784,0.0654996309499509,0.0873947570306059,0,0,0,0,0,0,NA,NA,NA,18.7334410339257,0,44.6822038231714,199.098855359001,116.379789246846,281.817921471156,91.6545667447307,31.9326549993584,151.376478490103,0.976608187134503,0.953954330034196,0.99926204423481,0.0121212121212121,0,0.0288179248365498,NA,NA,NA,0.0115606936416185,0,0.0274898211743735,0.133333333333333,0.081465090689455,0.185201575977212,0.0858895705521472,0.042874183358712,0.128904957745582,0.0555555555555556,0.0202825441065359,0.0908285670045752,0.109022556390977,0.0948662554000963,0.123178857381859,0.28,0.217773072619165,0.342226927380835
"2020/08/13","ESMRE","Rivas Barrio Este",17394,47,1224,89,0,1,1264.75980392157,1011.73193127977,1517.78767656336,0.0727124183006536,0.0581655703851773,0.0872592662161299,0,0,0,0,0,0,0,0,0,17.1538461538462,0,50.7581843590976,225.686746987952,108.236425071635,343.137068904269,100.543352601156,12.669913572357,188.416791629955,0.988505747126437,0.966107272780928,1.01090422147195,0.0121951219512195,0,0.0359509307900056,0,0,0,0,0,0,0.170731707317073,0.0892902030641821,0.252173211569964,0.0875,0.0255810532111943,0.149418946788806,0.0632911392405063,0.00959929568189194,0.116982982799121,0.0959183673469388,0.077481388168321,0.114355346525557,0.384615384615385,0.28465819473224,0.48457257449853
