"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESAL",716820,0,0,0,0,40,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"4","ES","ESAN","ESH",521870,0.05,0.05,0,0,20,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"5","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"7","ES","ESAN","ESMA",1661785,0,0,0,0,20,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,8414240,0,0,0,0,30,0.00899628509123506,0.00899628509123506,0,0,80,80,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.05,0.05,0,0,80,0,0,0,0,0,0,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,1319291,0.05,0.05,0,0,80,0,0,0,0,0,0,1.07091491096424,1.07091491096424,0,0,47026208,0.06,0.06,0,0,100,1.07091491096424,1.07091491096424,903,0,0,903,0.970125787238995,0.970125787238995,0,0
