"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"4","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"6","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0.177777777777778,0.177777777777778,0,0,45,0.00762907362789014,0.00762907362789014,0,0,100,80,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.00666666666666667,0.00666666666666667,0,0,150,0.02,0.02,0,0,50,50,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"10","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,1319291,0.00666666666666667,0.00666666666666667,0,0,150,0.02,0.02,0,0,50,50,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"11","ES","ESAR","ESHU",220461,0.02,0.02,0,0,50,1319291,0.00666666666666667,0.00666666666666667,0,0,150,0.02,0.02,0,0,50,50,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"12","ES","ESAS","ESO",1022800,NA,NA,NA,NA,0,1022800,0,0,0,0,100,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
