"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/26 12:56:10 AM GMT+1","Todo el país","200","3"
"2020/03/26 12:57:00 AM GMT+1","Andalucía","70","4"
"2020/03/26 1:02:26 AM GMT+1","Comunidad de Madrid","100","3"
"2020/03/26 1:54:58 AM GMT+1","Aragón","130","1"
"2020/03/26 3:08:03 AM GMT+1","Comunidad de Madrid","15","2"
"2020/03/26 3:55:01 AM GMT+1","Castilla-La Mancha","50","0"
"2020/03/26 3:55:45 AM GMT+1","Galicia","50","0"
"2020/03/26 3:56:13 AM GMT+1","Extremadura","100","0"
"2020/03/26 4:01:10 AM GMT+1","Comunidad de Madrid","100","7"
"2020/03/26 7:19:14 AM GMT+1","Comunidad de Madrid","50","2"
"2020/03/26 7:31:55 AM GMT+1","Andalucía","50","0"
"2020/03/26 8:41:36 AM GMT+1","Comunidad de Madrid","10","2"
"2020/03/26 8:44:02 AM GMT+1","Comunidad de Madrid","10","2"
"2020/03/26 8:54:09 AM GMT+1","Comunidad de Madrid","40","10"
"2020/03/26 9:47:32 AM GMT+1","Canarias","100","0"
"2020/03/26 9:49:24 AM GMT+1","Comunidad Valenciana","50","10"
"2020/03/26 9:55:57 AM GMT+1","Cataluña","100","20"
"2020/03/26 9:57:28 AM GMT+1","Castilla-La Mancha","100","04"
"2020/03/26 9:59:53 AM GMT+1","Andalucía","400","0"
"2020/03/26 10:11:47 AM GMT+1","Castilla-La Mancha","300","5"
"2020/03/26 10:12:26 AM GMT+1","País Vasco","600","4"
"2020/03/26 10:21:21 AM GMT+1","Comunidad Valenciana","100","4"
"2020/03/26 10:23:23 AM GMT+1","Castilla y León","8","0"
"2020/03/26 10:46:50 AM GMT+1","Aragón","5","0"
"2020/03/26 10:51:03 AM GMT+1","Cataluña","80","1"
"2020/03/26 11:01:59 AM GMT+1","País Vasco","500","3"
"2020/03/26 11:04:19 AM GMT+1","Cataluña","100","0"
"2020/03/26 11:07:45 AM GMT+1","Cataluña","200","1"
"2020/03/26 11:09:48 AM GMT+1","Cataluña","100","0"
"2020/03/26 11:16:02 AM GMT+1","Cataluña","100","0"
"2020/03/26 11:16:43 AM GMT+1","Comunidad de Madrid","50","8"
"2020/03/26 11:28:25 AM GMT+1","Galicia","12","3"
"2020/03/26 11:33:36 AM GMT+1","Cataluña","100","0"
"2020/03/26 11:41:06 AM GMT+1","Castilla-La Mancha","200","24"
"2020/03/26 11:50:36 AM GMT+1","Cataluña","100","10"
"2020/03/26 11:52:00 AM GMT+1","Comunidad de Madrid","40","10"
"2020/03/26 11:55:56 AM GMT+1","Galicia","100","1"
"2020/03/26 11:57:30 AM GMT+1","Canarias","60","0"
"2020/03/26 12:13:14 PM GMT+1","Aragón","37","3"
"2020/03/26 12:26:01 PM GMT+1","Andalucía","1","1"
"2020/03/26 12:28:20 PM GMT+1","Comunidad Valenciana","15","0"
"2020/03/26 12:54:54 PM GMT+1","Comunidad de Madrid","300","30"
"2020/03/26 1:27:23 PM GMT+1","Todo el país","100","3"
"2020/03/26 1:38:05 PM GMT+1","Andalucía","50","2"
"2020/03/26 2:10:43 PM GMT+1","Baleares","50","0"
"2020/03/26 3:02:24 PM GMT+1","País Vasco","150","2"
"2020/03/26 3:56:59 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/26 4:38:48 PM GMT+1","Aragón","60","0"
"2020/03/26 4:41:57 PM GMT+1","País Vasco","2000","050"
"2020/03/26 5:08:48 PM GMT+1","Andalucía","100","2"
"2020/03/26 7:04:00 PM GMT+1","Castilla y León","100","0"
"2020/03/26 8:35:19 PM GMT+1","País Vasco","100","4"
"2020/03/26 9:50:21 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/26 11:03:42 PM GMT+1","País Vasco","100","20"
"2020/03/27 12:55:58 AM GMT+1","Andalucía","150","8"
"2020/03/27 1:07:13 AM GMT+1","Comunidad de Madrid","100","3"
"2020/03/27 6:13:37 AM GMT+1","Comunidad Valenciana","100","0"
