"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoce en ese área geográfica cuyo estado de salud actual posiblemente conozca?","Por lo que sabe, ¿cuánta de esta gente ha sido diagnosticada con COVID-19 o ha tenido síntomas compatibles con la enfermedad (https://www.who.int/es/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses)?"
"2020/03/31 3:38:09 PM GMT+2","Todo el país","100","7"
"2020/03/31 3:41:41 PM GMT+2","Comunidad de Madrid","100","15"
"2020/03/31 3:44:14 PM GMT+2","Andalucía","50","0"
"2020/03/31 3:44:23 PM GMT+2","Comunidad de Madrid","100","11"
"2020/03/31 3:47:28 PM GMT+2","Castilla-La Mancha","30","2"
"2020/03/31 3:48:25 PM GMT+2","Comunidad de Madrid","50","15"
"2020/03/31 3:48:38 PM GMT+2","Castilla-La Mancha","3","3"
"2020/03/31 3:49:17 PM GMT+2","Comunidad de Madrid","200","21"
"2020/03/31 3:50:17 PM GMT+2","Comunidad de Madrid","20","01"
"2020/03/31 3:55:26 PM GMT+2","Comunidad de Madrid","300","20"
"2020/03/31 3:55:48 PM GMT+2","Todo el país","100","0"
"2020/03/31 3:57:35 PM GMT+2","Comunidad de Madrid","50","3"
"2020/03/31 3:59:53 PM GMT+2","Comunidad de Madrid","50","8"
"2020/03/31 4:00:58 PM GMT+2","Todo el país","100","18"
"2020/03/31 4:01:30 PM GMT+2","Comunidad de Madrid","200","10"
"2020/03/31 4:04:00 PM GMT+2","Castilla y León","200","1"
"2020/03/31 4:13:33 PM GMT+2","Cataluña","250","0"
"2020/03/31 4:17:09 PM GMT+2","Comunidad de Madrid","40","0"
"2020/03/31 4:22:34 PM GMT+2","Castilla y León","30","3"
"2020/03/31 4:28:45 PM GMT+2","Comunidad de Madrid","300","7"
"2020/03/31 4:30:49 PM GMT+2","Comunidad de Madrid","100","10"
"2020/03/31 4:31:22 PM GMT+2","Comunidad de Madrid","50","3"
"2020/03/31 4:35:22 PM GMT+2","Comunidad de Madrid","200","3"
"2020/03/31 4:38:53 PM GMT+2","Principado de Asturias","100","0"
"2020/03/31 4:39:01 PM GMT+2","Castilla-La Mancha","300","15"
"2020/03/31 4:41:08 PM GMT+2","Cataluña","10","0"
"2020/03/31 4:43:32 PM GMT+2","Galicia","100","0"
"2020/03/31 4:43:56 PM GMT+2","Comunidad de Madrid","100","7"
"2020/03/31 4:45:56 PM GMT+2","Galicia","100","6"
"2020/03/31 4:46:23 PM GMT+2","Comunidad de Madrid","35","3"
"2020/03/31 4:46:30 PM GMT+2","Todo el país","100","0"
