Timestamp,Region,"Por favor, dime con cuántas personas te relacionas directamente habitualmente (incluido contacto remoto, por teléfono, Internet y redes sociales; aproximadamente)","Por favor, dime de las anteriores cuántas sabes que tienen los síntomas del coronavirus (o la enfermedad)."
2020/03/19 8:15:00 PM GMT+1,,350,9
2020/03/19 8:15:09 PM GMT+1,,,1000
2020/03/19 8:15:16 PM GMT+1,,,
2020/03/19 8:15:21 PM GMT+1,,1,3
2020/03/19 8:15:21 PM GMT+1,,60,2
2020/03/19 8:16:47 PM GMT+1,,30,0
2020/03/19 8:18:39 PM GMT+1,,4,4
2020/03/19 8:18:52 PM GMT+1,,0,0
2020/03/19 8:19:42 PM GMT+1,,200,4
2020/03/19 8:19:44 PM GMT+1,,,15
2020/03/19 8:20:16 PM GMT+1,,100,0
2020/03/19 8:20:50 PM GMT+1,,,15
2020/03/19 8:21:31 PM GMT+1,,6,3
2020/03/19 8:22:33 PM GMT+1,,7,7
2020/03/19 8:22:51 PM GMT+1,,3,3
2020/03/19 8:23:04 PM GMT+1,,6,6
2020/03/19 8:24:21 PM GMT+1,,1,1
2020/03/19 8:26:26 PM GMT+1,,,0
2020/03/19 8:28:49 PM GMT+1,,150,0
2020/03/19 8:30:46 PM GMT+1,,0,0
2020/03/19 8:31:41 PM GMT+1,,70,0
2020/03/19 8:31:55 PM GMT+1,,,1
2020/03/19 8:33:08 PM GMT+1,,100,0
2020/03/19 8:34:03 PM GMT+1,,50,0
2020/03/19 8:35:04 PM GMT+1,,100,0
2020/03/19 8:35:30 PM GMT+1,,200,2
2020/03/19 8:35:37 PM GMT+1,,,2
2020/03/19 8:36:49 PM GMT+1,,0,0
2020/03/19 8:37:21 PM GMT+1,,3000,3
2020/03/19 8:39:23 PM GMT+1,,80,1
2020/03/19 8:41:10 PM GMT+1,,100,6
2020/03/19 8:42:41 PM GMT+1,,200,2
2020/03/19 8:44:00 PM GMT+1,,1,1
2020/03/19 8:45:33 PM GMT+1,,50,0
2020/03/19 8:46:18 PM GMT+1,,,0
2020/03/19 8:47:01 PM GMT+1,,100,0
2020/03/19 8:47:38 PM GMT+1,,,2
2020/03/19 8:49:36 PM GMT+1,,70,0
2020/03/19 8:52:33 PM GMT+1,,50,6
2020/03/19 8:52:41 PM GMT+1,,2000,0
2020/03/19 8:53:14 PM GMT+1,,0,0
2020/03/19 8:53:28 PM GMT+1,,0,0
2020/03/19 8:54:06 PM GMT+1,,200,0
2020/03/19 8:56:30 PM GMT+1,,50,1
2020/03/19 8:56:40 PM GMT+1,,50,3
2020/03/19 8:57:27 PM GMT+1,,0,0
2020/03/19 8:57:48 PM GMT+1,,1000,0
2020/03/19 9:00:02 PM GMT+1,,300,0
2020/03/19 9:00:09 PM GMT+1,,0,0
2020/03/19 9:01:12 PM GMT+1,,200,2
2020/03/19 9:02:14 PM GMT+1,,50,0
2020/03/19 9:02:14 PM GMT+1,,2,2
