"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/24 6:18:17 PM GMT+1","Comunidad de Madrid","3000","30"
"2020/03/24 6:29:47 PM GMT+1","Aragón","70","1"
"2020/03/24 6:46:38 PM GMT+1","Comunidad de Madrid","50","2"
"2020/03/24 7:03:39 PM GMT+1","Comunidad de Madrid","500","13"
"2020/03/24 7:30:10 PM GMT+1","Comunidad Valenciana","100","0"
"2020/03/24 8:23:28 PM GMT+1","Cantabria","60","0"
"2020/03/24 8:33:32 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/24 8:34:02 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/24 8:35:35 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/24 8:37:12 PM GMT+1","Comunidad de Madrid","150","26"
"2020/03/24 8:37:57 PM GMT+1","Comunidad de Madrid","200","6"
"2020/03/24 8:41:58 PM GMT+1","Todo el país","100","2"
"2020/03/24 8:44:41 PM GMT+1","Cataluña","4000","25"
"2020/03/24 8:46:52 PM GMT+1","Cataluña","100","3"
"2020/03/24 8:55:12 PM GMT+1","Comunidad Valenciana","50","1"
"2020/03/24 8:59:06 PM GMT+1","Comunidad de Madrid","500","3"
"2020/03/24 8:59:37 PM GMT+1","Comunidad de Madrid","300","3"
"2020/03/24 9:00:19 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/24 9:01:27 PM GMT+1","Comunidad de Madrid","100","20"
"2020/03/24 9:04:37 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/24 9:09:11 PM GMT+1","Todo el país","70","0"
"2020/03/24 9:14:39 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/24 9:18:03 PM GMT+1","Comunidad de Madrid","80","1"
"2020/03/24 9:19:02 PM GMT+1","Castilla-La Mancha","1000","13"
"2020/03/24 9:20:31 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/24 9:23:11 PM GMT+1","Extremadura","10000","4"
"2020/03/24 9:35:54 PM GMT+1","Comunidad de Madrid","30","1"
"2020/03/24 9:38:06 PM GMT+1","Todo el país","100","0"
"2020/03/24 9:38:35 PM GMT+1","Cataluña","40","2"
"2020/03/24 9:40:43 PM GMT+1","Cataluña","100","5"
"2020/03/24 9:41:27 PM GMT+1","Cataluña","200","6"
"2020/03/24 10:02:14 PM GMT+1","Cataluña","2000","2"
"2020/03/24 10:03:35 PM GMT+1","Comunidad de Madrid","306","6"
"2020/03/24 10:04:02 PM GMT+1","Comunidad de Madrid","30","1"
"2020/03/24 10:04:18 PM GMT+1","Comunidad de Madrid","1500","8"
"2020/03/24 10:10:12 PM GMT+1","Cataluña","500","4"
"2020/03/24 10:12:11 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/24 10:37:41 PM GMT+1","Comunidad de Madrid","60","2"
"2020/03/24 11:05:12 PM GMT+1","Comunidad de Madrid","300","1"
"2020/03/24 11:16:38 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/24 11:23:30 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/24 11:25:41 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/24 11:27:48 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/24 11:32:00 PM GMT+1","Comunidad de Madrid","120","5"
"2020/03/24 11:46:06 PM GMT+1","Castilla y León","50","4"
"2020/03/25 12:04:29 AM GMT+1","Castilla-La Mancha","150","0"
"2020/03/25 12:12:42 AM GMT+1","Comunidad de Madrid","300","1"
"2020/03/25 1:10:32 AM GMT+1","Cataluña","100","3"
"2020/03/25 7:34:43 AM GMT+1","Todo el país","100","6"
"2020/03/25 8:42:13 AM GMT+1","Comunidad de Madrid","70","7"
"2020/03/25 9:31:44 AM GMT+1","Comunidad de Madrid","100","14"
"2020/03/25 10:33:59 AM GMT+1","Comunidad de Madrid","30","3"
"2020/03/25 10:36:14 AM GMT+1","Andalucía","100","0"
"2020/03/25 10:40:26 AM GMT+1","Región de Murcia","100","0"
"2020/03/25 10:49:37 AM GMT+1","Galicia","16","0"
"2020/03/25 11:11:10 AM GMT+1","País Vasco","100","15"
