"Timestamp","Por favor, dime cuántas personas cercanas conoces que sepas que tienen los síntomas (o la enfermedad).","Si seleccionaste ""más de 4"", ¿puedes decirme cuántas personas?"
"2020/03/16 9:36:57 AM GMT+1","Ninguna",""
"2020/03/16 9:41:22 AM GMT+1","Ninguna","Pero sí sé de 6 casos en la empresa contigua a en la que yo trabajaba, porque me jubilé hace 1 año."
"2020/03/16 9:42:35 AM GMT+1","3",""
"2020/03/16 9:44:20 AM GMT+1","Ninguna",""
"2020/03/16 9:47:57 AM GMT+1","Ninguna",""
"2020/03/16 9:51:16 AM GMT+1","Ninguna",""
"2020/03/16 9:53:01 AM GMT+1","3",""
"2020/03/16 9:53:57 AM GMT+1","Ninguna",""
"2020/03/16 9:56:03 AM GMT+1","Ninguna",""
"2020/03/16 10:01:40 AM GMT+1","Ninguna",""
"2020/03/16 10:08:49 AM GMT+1","Ninguna",""
"2020/03/16 10:09:12 AM GMT+1","2",""
"2020/03/16 10:09:58 AM GMT+1","Ninguna",""
"2020/03/16 10:14:22 AM GMT+1","Ninguna",""
"2020/03/16 10:23:42 AM GMT+1","Ninguna",""
"2020/03/16 10:24:35 AM GMT+1","Ninguna",""
"2020/03/16 10:25:23 AM GMT+1","Más de 4","6"
"2020/03/16 10:26:12 AM GMT+1","Ninguna",""
"2020/03/16 10:31:39 AM GMT+1","2",""
"2020/03/16 10:35:37 AM GMT+1","Más de 4","5"
"2020/03/16 10:43:05 AM GMT+1","1",""
"2020/03/16 10:44:01 AM GMT+1","Ninguna",""
"2020/03/16 10:50:45 AM GMT+1","2",""
"2020/03/16 10:55:36 AM GMT+1","2",""
"2020/03/16 10:58:32 AM GMT+1","Ninguna",""
"2020/03/16 10:59:27 AM GMT+1","Ninguna",""
"2020/03/16 11:05:24 AM GMT+1","Ninguna",""
"2020/03/16 11:11:57 AM GMT+1","Ninguna",""
"2020/03/16 11:25:54 AM GMT+1","Ninguna",""
"2020/03/16 11:28:38 AM GMT+1","Ninguna",""
"2020/03/16 11:31:38 AM GMT+1","1",""
"2020/03/16 11:34:37 AM GMT+1","2",""
"2020/03/16 11:36:00 AM GMT+1","Ninguna",""
"2020/03/16 11:42:02 AM GMT+1","2",""
"2020/03/16 11:46:07 AM GMT+1","1",""
"2020/03/16 11:49:00 AM GMT+1","1",""
"2020/03/16 11:53:04 AM GMT+1","Ninguna",""
"2020/03/16 11:53:10 AM GMT+1","Ninguna",""
"2020/03/16 11:55:57 AM GMT+1","1",""
"2020/03/16 11:59:19 AM GMT+1","2",""
"2020/03/16 12:00:17 PM GMT+1","1",""
