"","date","sample_size","p_cases","p_cases_low","p_cases_high","p_m","p_m_low","p_m_high","p_cases_recent","p_cases_recent_low","p_cases_recent_high","p_m_recent","p_m_recent_low","p_m_recent_high","p_cases_recovered","p_cases_recovered_low","p_cases_recovered_high","p_m_recovered","p_m_recovered_low","p_m_recovered_high","p_cases_fatalities","p_cases_fatalities_low","p_cases_fatalities_high","p_m_fatalities","p_m_fatalities_high","p_cases_stillsick","p_cases_stillsick_low","p_cases_stillsick_high","p_m_stillsick","p_m_stillsick_high","p_cases_active_cases","p_cases_active_cases_low","p_cases_active_cases_high","p_m_active_cases","p_m_active_cases_high","population"
"1","2020/03/29",30,0.00463231036479444,0.00142978545455205,0.00783483527503684,0.00672222222222222,0.00286838191691295,0.0105760625275315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138969310943833,0.122654926587604,0.155283695300063,0.336740740740741,0.359029783350749,10724599
"2","2020/04/01",42,0.00786988457502623,0.0039029490626571,0.0118368200873954,0.0119444444444444,0.00706735969430928,0.0168215291945796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412381951731375,0.390282371177984,0.434481532284766,0.992106941261353,0.996079666727656,10724599
"3","2020/04/04",33,0.0280682443588332,0.0204737976714666,0.0356626910461999,0.0264229249011858,0.0190481929093288,0.0337976568930427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977435332966428,0.970606773290413,0.984263892642444,1.99870882740448,NA,10724599
"4","2020/04/08",40,0.00626398210290828,0.00299306078767193,0.00953490341814462,0.00908333333333333,0.00515009267588418,0.0130165739907825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51230425055928,NA,NA,4.56097222222222,NA,10724599
"5","2020/04/15",31,0.00773594636410521,0.00383626124914951,0.0116356314790609,0.0146466973886329,0.00929951461424033,0.0199938801630254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31046931407942,NA,NA,3.55286866359447,NA,10724599
"6","2020/06/18",30,0.0256609642301711,0.0170188670909849,0.0343030613693572,0.0501886695057427,0.0382556837796205,0.0621216552318649,0.0026246719160105,-0.00251283507443063,0.00776217890645163,0.00256410256410256,-0.00251393368614618,0.00764213881435131,0.0423387096774194,0.024617962543307,0.0600594568115317,0.0696358543417367,0.0472357423582891,0.0920359663251843,NA,NA,NA,NA,NA,0,0,0,0,0,0.349144634525661,0.323090746779984,0.375198522271337,0.949519873532069,0.961485621560909,10724599
"7","2020/07/08",55,0.0167224080267559,0.012691264142659,0.0207535519108527,0.0278538128538129,0.0226807359358646,0.0330268897717611,0.00058343057176196,-0.000224912179716136,0.00139177332324006,0.00187179487179487,0.000424856696592485,0.00331873304699726,0.0326086956521739,0.02428252744786,0.0409348638564879,0.0321067090803933,0.0238427337306639,0.0403706844301227,NA,NA,NA,NA,NA,0.000294290759270159,-0.000282423650286644,0.000871005168826962,0.00156985871271586,0.0029010042154595,0.734499614098276,0.72061706605815,0.748382162138403,1.43629803529804,NA,10724599
"8","2020/08/19",30,0.00521172638436482,0.00160967392631133,0.00881377884241831,0.00461111111111111,0.00122194317486497,0.00800027904735725,0,0,0,0,0,0,0.00458295142071494,0.000575106764766827,0.00859079607666305,0.0015625,-0.00078122240016954,0.00390622240016954,0,0,0,0,0,0,0,0,0,0,0.648208469055375,0.624319690667722,0.672097247443027,2.84927777777778,NA,10724599
