"","date","sample_size","p_w","p_w_low","p_w_high","p_m","p_m_low","p_m_high","p_w_recent","p_w_recent_low","p_w_recent_high","p_m_recent","p_m_recent_low","p_m_recent_high","p_w_recovered","p_w_recovered_low","p_w_recovered_high","p_m_recovered","p_m_recovered_low","p_m_recovered_high","p_w_fatalities","p_w_fatalities_low","p_w_fatalities_high","p_m_fatalities","p_m_fatalities_high","p_w_stillsick","p_w_stillsick_low","p_w_stillsick_high","p_m_stillsick","p_m_stillsick_high","p_w_active_cases","p_w_active_cases_low","p_w_active_cases_high","p_m_active_cases","p_m_active_cases_high","population"
"1","2020/03/23",72,0.017046944662995,0.0129382454153363,0.0211556439106537,0.0184645061728395,0.0141914702743845,0.0227375420712946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967741935483871,0.962133862952301,0.973350008015441,4.73372965768799,NA,67012883
"2","2020/03/30",31,0.0262295081967213,0.019888233647079,0.0325707827463636,0.0294086021505376,0.022704994500875,0.0361122098002002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41926229508197,NA,NA,2.40462365591398,NA,67012883
"3","2020/04/06",30,0.0317887931034483,0.0238073544935253,0.0397702317133713,0.0301111111111111,0.0223364138359463,0.0378858083862759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56573275862069,NA,NA,5.99326086956522,NA,67012883
"4","2020/04/09",40,0.0311188811188811,0.0247551428780406,0.0374826193597216,0.0296666666666667,0.023448534828956,0.0358847985043773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58461538461538,NA,NA,5.121125,NA,67012883
"5","2020/04/14",32,0.0267288926601612,0.0202174728160266,0.0332403125042958,0.0265178571428571,0.0200314902879598,0.0330042239977545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63046245226983,NA,NA,5.03636966973244,NA,67012883
"6","2020/04/16",44,0.0258016955399926,0.0198358637784211,0.0317675273015642,0.0314445634123852,0.0248776964151852,0.0380114304095852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66789531883524,NA,NA,9.74604826822864,NA,67012883
"7","2020/04/20",39,0.0462328767123288,0.0377174129653933,0.0547483404592642,0.0410014403807245,0.0329602525615035,0.0490426281999455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55008561643836,NA,NA,10.5427213137628,NA,67012883
"8","2020/04/29",30,0.0334429824561404,0.025192071244401,0.0416938936678797,0.029984126984127,0.0221575691509358,0.0378106848173182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10032894736842,NA,NA,10.6867070707071,NA,67012883
"9","2020/05/13",31,0.0230371415138693,0.0166615913412656,0.029412691686473,0.0286674347158218,0.0215758591200933,0.0357590103115503,NA,NA,NA,NA,NA,NA,0.0226364846870839,0.0119984677812661,0.0332745015929017,0.0236111111111111,0.0127519131754993,0.0344703090467229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41372825575929,NA,NA,6.84914362519201,NA,67012883
"10","2020/06/06",40,0.0559038662486938,0.0456117150899134,0.0661960174074743,0.069287605251891,0.0579110010558419,0.08066420944794,NA,NA,NA,NA,NA,NA,0.0646235842771486,0.0521857010913886,0.0770614674629085,0.0804185424964646,0.0666613141298962,0.0941757708630329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14994775339603,NA,NA,4.04733479020979,NA,67012883
"11","2020/06/09",30,0.0496389891696751,0.0368500659278427,0.0624279124115074,0.0566143790849673,0.0430066325484089,0.0702221256215258,NA,NA,NA,NA,NA,NA,0.0546955624355005,0.0403786919218738,0.0690124329491272,0.0702216538789429,0.0541333061944869,0.0863100015633989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51714801444043,NA,NA,13.384681372549,NA,67012883
