"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"21759","2019/12/31",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21758","2020/01/01",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21757","2020/01/02",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21756","2020/01/03",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21755","2020/01/04",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21754","2020/01/05",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21753","2020/01/06",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21752","2020/01/07",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21751","2020/01/08",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21750","2020/01/09",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21749","2020/01/10",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21748","2020/01/11",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21747","2020/01/12",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21746","2020/01/13",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21745","2020/01/14",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21744","2020/01/15",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21743","2020/01/16",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21742","2020/01/17",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21741","2020/01/18",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21740","2020/01/19",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21739","2020/01/20",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21738","2020/01/21",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21737","2020/01/22",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21736","2020/01/23",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21735","2020/01/24",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21734","2020/01/25",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21733","2020/01/26",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21732","2020/01/27",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21731","2020/01/28",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
"21730","2020/01/29",0,0,0,0,0,0,NA,NA,NA,0,0,0,5328212
