"","date","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop","estimated_cases","estimate_cases_low","estimate_cases_high","prop_cases","prop_cases_low","prop_cases_high"
"1","2020/03/23",0.00581547307893361,0.0020648361748565,0.00956610998301072,0.00702234582357533,702038.62963931,249265.14815743,1154812.11112119,847731.211532006,395699.475293643,1299762.94777037
"2","2020/03/24",0.0062664120315111,0.00273834322264906,0.00979448084037314,0.00703303461606045,756475.570541895,330570.307422548,1182380.83366124,849021.552855386,423402.506777134,1274640.59893364
"3","2020/03/25",0.0128212737104943,0.00779953284097885,0.0178430145800097,0.0173041575130575,1547772.52061434,941552.522587147,2153992.51864153,2088942.18280128,1495862.48304785,2682021.88255471
"4","2020/03/26",0.0128147235293555,0.00780214803003899,0.017827299028672,0.0172833321278234,1546981.78869483,941868.225835896,2152095.35155377,2086428.16120527,1494449.20744587,2678407.11496467
"5","2020/03/27",0.0138304246426979,0.00886346117101378,0.018797388114382,0.0184207935146362,1669596.30484091,1069988.98454204,2269203.62513978,2223741.46700637,1636529.79693378,2810953.13707897
"6","2020/03/28",0.013814713326405,0.00887083246726607,0.0187585941855439,0.0183842219452867,1667699.64900391,1070878.84073248,2264520.45727534,2219326.58036149,1634901.58043854,2803751.58028444
"7","2020/03/29",0.0131714600935907,0.00891773974783568,0.0174251804393457,0.0162423700246584,1590046.7028125,1076541.44505103,2103551.96057397,1960764.16130478,1448765.45226822,2472762.87034133
"8","2020/03/30",0.0131653391281533,0.00897805995443522,0.0173526183018714,0.0161901305660955,1589307.78542274,1083823.24562098,2094792.32522449,1954457.86130049,1450633.60663798,2458282.115963
"9","2020/04/01",0.0131627029973405,0.00898682600709702,0.017338579987584,0.016156699245252,1588989.55410463,1084881.47553874,2093097.63267052,1950422.06260391,1447923.1258434,2452920.99936441
"10","2020/04/02",0.0131685827122543,0.00899914442954779,0.0173380209949608,0.0161600677202247,1589699.34795024,1086368.54431187,2093030.1515886,1950828.70184403,1449123.67460701,2452533.72908105
"11","2020/04/06",0.0129247284226286,0.00881732372024101,0.0170321331250162,0.0158481788929768,1560261.47952632,1064419.31337756,2056103.64567508,1913177.76581373,1418660.97904921,2407694.55257824
"12","2020/04/07",0.0139231522796064,0.0100047997559668,0.017841504803246,0.0162105059434201,1680790.30097181,1207770.34218213,2153810.2597615,1956917.55835027,1485518.79062485,2428316.3260757
"13","2020/04/08",0.0139440571914629,0.0102204064472444,0.0176677079356815,0.0161576694047083,1683313.92294948,1233798.18618229,2132829.65971667,1950539.17937257,1501650.68243191,2399427.67631322
"14","2020/04/09",0.0186496615911498,0.0150659356217735,0.0222333875605261,0.0199536309929456,2251370.21339088,1818746.06839096,2683994.35839081,2408784.21557145,1973411.4882408,2844156.94290209
"15","2020/04/10",0.0187257139894112,0.0151785324411354,0.0222728955376869,0.0200769850682244,2260551.18985341,1832338.65418641,2688763.72552042,2423675.40753361,1992820.46877351,2854530.34629372
"16","2020/04/11",0.0183493377983568,0.0148191685158292,0.0218795070808844,0.0197523618389942,2215115.39781892,1788956.56742589,2641274.22821194,2384487.18605883,1955730.80086664,2813243.57125101
"17","2020/04/12",0.0181837791309453,0.0146576832993098,0.0217098749625807,0.0196713739313831,2195129.30581626,1769462.21871625,2620796.39291627,2374710.39938904,1946430.61524805,2802990.18353002
