"","countrycode","regioncode","provincecode","population","estprop_provs","meanprop_provs","sumreach_provs","population_region","estprop_regs","meanprop_regs","sumreach_regs","estprop_regs_rhs","meanprop_regs_rhs","sumreach_regs_rhs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","ES","ESAN","ESCO",782979,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"2","ES","ESAN","ESH",521870,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"3","ES","ESAN","ESGR",914678,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"4","ES","ESAN","ESMA",1661785,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"5","ES","ESAN","ESJ",633564,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"6","ES","ESAN","ESCA",1240155,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"7","ES","ESAN","ESAL",716820,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"8","ES","ESAN","ESSE",1942389,NA,NA,0,8414240,0.022171363181233,0.022947916045851,6991,0,0,0,0.022947916045851,0.022171363181233,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"9","ES","ESAR","ESTE",134137,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"10","ES","ESAR","ESZ",964693,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"11","ES","ESAR","ESHU",220461,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"12","ES","ESAS","ESO",1022800,NA,NA,0,1022800,0.0114099429502852,0.0123529411764706,1227,0,0,0,0.0123529411764706,0.0114099429502852,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"13","ES","ESCB","ESS",581078,NA,NA,0,581078,0.0100719424460432,0.0123076923076923,695,0,0,0,0.0123076923076923,0.0100719424460432,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"14","ES","ESCE",NA,NA,NA,NA,NA,84777,NA,NA,0,0,0,0,NA,NA,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"15","ES","ESCL","ESAV",157640,NA,NA,0,2399548,0.0430934974990381,0.0473504273504274,2599,0,0,0,0.0473504273504274,0.0430934974990381,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"16","ES","ESCL","ESSG",153129,NA,NA,0,2399548,0.0430934974990381,0.0473504273504274,2599,0,0,0,0.0473504273504274,0.0430934974990381,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"17","ES","ESCL","ESLE",460001,NA,NA,0,2399548,0.0430934974990381,0.0473504273504274,2599,0,0,0,0.0473504273504274,0.0430934974990381,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
"18","ES","ESCL","ESBU",356958,NA,NA,0,2399548,0.0430934974990381,0.0473504273504274,2599,0,0,0,0.0473504273504274,0.0430934974990381,47026208,0.0512229612947153,0.0450012348959222,19093,0.0334111500941128,0.0379394855554237,91769,0.0391556820894763,0.0364787558675347
