"","countrycode","regioncode","provincecode","population.x","estprop_provs","meanprop_provs","sumreach_provs","population_region","estprop_regs","meanprop_regs","sumreach_regs","estprop_regs_rhs","meanprop_regs_rhs","sumreach_regs_rhs","meanprop_regs_agg","estprop_regs_agg","population.y","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","ES","ESAN","ESCO",782979,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"2","ES","ESAN","ESH",521870,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"3","ES","ESAN","ESGR",914678,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"4","ES","ESAN","ESMA",1661785,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"5","ES","ESAN","ESJ",633564,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"6","ES","ESAN","ESCA",1240155,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"7","ES","ESAN","ESAL",716820,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"8","ES","ESAN","ESSE",1942389,NA,NA,0,8414240,0.0206896551724138,0.0183580413297394,4060,0,0,0,0.0183580413297394,0.0206896551724138,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"9","ES","ESAR","ESTE",134137,NA,NA,0,1319291,0.0134328358208955,0.0243690093690094,670,0,0,0,0.0243690093690094,0.0134328358208955,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
"10","ES","ESAR","ESZ",964693,NA,NA,0,1319291,0.0134328358208955,0.0243690093690094,670,0,0,0,0.0243690093690094,0.0134328358208955,47026208,0.0305467874961817,0.0305468735254704,9821,0.030199272302119,0.0314665858388731,35917,0.0312691024633445,0.0302738918027725
