"","countrycode","regioncode","provincecode","population","estprop_provs","meanprop_provs","sumreach_provs","population_region","estprop_regs","meanprop_regs","sumreach_regs","estprop_regs_rhs","meanprop_regs_rhs","sumreach_regs_rhs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","ES","ESAN","ESCO",782979,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"2","ES","ESAN","ESH",521870,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"3","ES","ESAN","ESGR",914678,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"4","ES","ESAN","ESMA",1661785,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"5","ES","ESAN","ESJ",633564,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"6","ES","ESAN","ESCA",1240155,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"7","ES","ESAN","ESAL",716820,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"8","ES","ESAN","ESSE",1942389,NA,NA,0,8414240,0.0180327868852459,0.0157407407407407,1220,0,0,0,0.0157407407407407,0.0180327868852459,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"9","ES","ESAR","ESTE",134137,NA,NA,0,1319291,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"10","ES","ESAR","ESZ",964693,NA,NA,0,1319291,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"11","ES","ESAR","ESHU",220461,NA,NA,0,1319291,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"12","ES","ESAS","ESO",1022800,NA,NA,0,1022800,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"13","ES","ESCB","ESS",581078,NA,NA,0,581078,0.01,0.01,100,0,0,0,0.01,0.01,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"14","ES","ESCE",NA,NA,NA,NA,NA,84777,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"15","ES","ESCL","ESAV",157640,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"16","ES","ESCL","ESSG",153129,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"17","ES","ESCL","ESLE",460001,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"18","ES","ESCL","ESBU",356958,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"19","ES","ESCL","ESVA",519546,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"20","ES","ESCL","ESSO",88636,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"21","ES","ESCL","ESSA",330119,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"22","ES","ESCL","ESP",160980,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"23","ES","ESCL","ESZA",172539,NA,NA,0,2399548,0.0208333333333333,0.0166666666666667,240,0,0,0,0.0166666666666667,0.0208333333333333,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"24","ES","ESCM","ESCR",495761,NA,NA,0,2032863,0.0113636363636364,0.00833333333333333,440,0,0,0,0.00833333333333333,0.0113636363636364,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"25","ES","ESCM","ESAB",388167,NA,NA,0,2032863,0.0113636363636364,0.00833333333333333,440,0,0,0,0.00833333333333333,0.0113636363636364,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"26","ES","ESCM","ESCU",196329,NA,NA,0,2032863,0.0113636363636364,0.00833333333333333,440,0,0,0,0.00833333333333333,0.0113636363636364,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"27","ES","ESCM","ESGU",257762,NA,NA,0,2032863,0.0113636363636364,0.00833333333333333,440,0,0,0,0.00833333333333333,0.0113636363636364,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"28","ES","ESCM","ESTO",694844,NA,NA,0,2032863,0.0113636363636364,0.00833333333333333,440,0,0,0,0.00833333333333333,0.0113636363636364,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"29","ES","ESCN","ESTF",1032983,NA,NA,0,2153389,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"30","ES","ESCN","ESGC",1120406,NA,NA,0,2153389,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"31","ES","ESCT","ESB",5664579,NA,NA,0,7675217,0.0253521126760563,0.0303333333333333,710,0,0,0,0.0303333333333333,0.0253521126760563,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"32","ES","ESCT","ESL",434930,NA,NA,0,7675217,0.0253521126760563,0.0303333333333333,710,0,0,0,0.0303333333333333,0.0253521126760563,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"33","ES","ESCT","EST",804664,NA,NA,0,7675217,0.0253521126760563,0.0303333333333333,710,0,0,0,0.0303333333333333,0.0253521126760563,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"34","ES","ESCT","ESGI",771044,NA,NA,0,7675217,0.0253521126760563,0.0303333333333333,710,0,0,0,0.0303333333333333,0.0253521126760563,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"35","ES","ESEX","ESCC",394151,NA,NA,0,1067710,0.0457142857142857,0.04,350,0,0,0,0.04,0.0457142857142857,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"36","ES","ESEX","ESBA",673559,NA,NA,0,1067710,0.0457142857142857,0.04,350,0,0,0,0.04,0.0457142857142857,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"37","ES","ESGA","ESC",1119596,NA,NA,0,2699499,0.0428571428571429,0.075,140,0,0,0,0.075,0.0428571428571429,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"38","ES","ESGA","ESLU",329587,NA,NA,0,2699499,0.0428571428571429,0.075,140,0,0,0,0.075,0.0428571428571429,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"39","ES","ESGA","ESPO",942665,NA,NA,0,2699499,0.0428571428571429,0.075,140,0,0,0,0.075,0.0428571428571429,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"40","ES","ESGA","ESOR",307651,NA,NA,0,2699499,0.0428571428571429,0.075,140,0,0,0,0.075,0.0428571428571429,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"41","ES","ESIB","ESPM",1149460,NA,NA,0,1149460,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"42","ES","ESMC","ESMU",1493898,NA,NA,0,1493898,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"43","ES","ESMD","ESM",6663394,NA,NA,0,6663394,0.0502702702702703,0.0524427223719677,9250,0,0,0,0.0524427223719677,0.0502702702702703,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"44","ES","ESML",NA,NA,NA,NA,NA,86487,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"45","ES","ESNC","ESNA",654214,NA,NA,0,654214,0.02,0.02,100,0,0,0,0.02,0.02,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"46","ES","ESPV","ESVI",331549,NA,NA,0,2207776,0,0,250,0,0,0,0,0,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"47","ES","ESPV","ESBI",1152651,NA,NA,0,2207776,0,0,250,0,0,0,0,0,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"48","ES","ESPV","ESSS",723576,NA,NA,0,2207776,0,0,250,0,0,0,0,0,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"49","ES","ESRI","ESLO",316798,NA,NA,0,316798,NA,NA,0,0,0,0,NA,NA,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"50","ES","ESVC","ESA",1858683,NA,NA,0,5003769,0.0110294117647059,0.00666666666666667,272,0,0,0,0.00666666666666667,0.0110294117647059,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"51","ES","ESVC","ESCS",579962,NA,NA,0,5003769,0.0110294117647059,0.00666666666666667,272,0,0,0,0.00666666666666667,0.0110294117647059,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
"52","ES","ESVC","ESV",2565124,NA,NA,0,5003769,0.0110294117647059,0.00666666666666667,272,0,0,0,0.00666666666666667,0.0110294117647059,47026208,0.0261767236082094,0.026995447081654,8137,0.0211151020813841,0.0227333903745915,13072,0.0243685620199009,0.0230570330712364
