"","countrycode","regioncode","provincecode","population.x","estprop_provs","meanprop_provs","sumreach_provs","population_region","estprop_regs","meanprop_regs","sumreach_regs","estprop_regs_rhs","meanprop_regs_rhs","sumreach_regs_rhs","meanprop_regs_agg","estprop_regs_agg","population.y","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","ES","ESAN","ESCO",782979,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"2","ES","ESAN","ESH",521870,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"3","ES","ESAN","ESGR",914678,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"4","ES","ESAN","ESMA",1661785,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"5","ES","ESAN","ESJ",633564,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"6","ES","ESAN","ESCA",1240155,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"7","ES","ESAN","ESAL",716820,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"8","ES","ESAN","ESSE",1942389,NA,NA,0,8414240,0.0222189738342348,0.0223011567589999,6841,0,0,0,0.0223011567589999,0.0222189738342348,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"9","ES","ESAR","ESTE",134137,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"10","ES","ESAR","ESZ",964693,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"11","ES","ESAR","ESHU",220461,NA,NA,0,1319291,0.0170940170940171,0.0283196218196218,1170,0,0,0,0.0283196218196218,0.0170940170940171,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"12","ES","ESAS","ESO",1022800,NA,NA,0,1022800,0.00778967867575463,0.01,1027,0,0,0,0.01,0.00778967867575463,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"13","ES","ESCB","ESS",581078,NA,NA,0,581078,0.0100719424460432,0.0123076923076923,695,0,0,0,0.0123076923076923,0.0100719424460432,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"14","ES","ESCE",NA,NA,NA,NA,NA,84777,NA,NA,0,0,0,0,NA,NA,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"15","ES","ESCL","ESAV",157640,NA,NA,0,2399548,0.0446019174656107,0.0485585585585586,2399,0,0,0,0.0485585585585586,0.0446019174656107,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"16","ES","ESCL","ESSG",153129,NA,NA,0,2399548,0.0446019174656107,0.0485585585585586,2399,0,0,0,0.0485585585585586,0.0446019174656107,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"17","ES","ESCL","ESLE",460001,NA,NA,0,2399548,0.0446019174656107,0.0485585585585586,2399,0,0,0,0.0485585585585586,0.0446019174656107,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
"18","ES","ESCL","ESBU",356958,NA,NA,0,2399548,0.0446019174656107,0.0485585585585586,2399,0,0,0,0.0485585585585586,0.0446019174656107,47026208,0.0485151426051161,0.0430113452418677,17005,0.0334084575497465,0.0374051022190022,82492,0.0383632633957596,0.0359903361929876
