"","countrycode","regioncode","provincecode","population","estprop_provs","meanprop_provs","estprop_provs2","meanprop_provs2","sumreach_provs","population_region","estprop_regs","meanprop_regs","estprop_regs2","meanprop_regs2","sumreach_regs","estprop_regs_rhs","meanprop_regs_rhs","estprop_regs_rhs2","meanprop_regs_rhs2","sumreach_regs_rhs","meanprop_regs_agg","estprop_regs_agg","meanprop_regs_agg2","estprop_regs_agg2","population_country","estprop_country","meanprop_country","estprop_country2","meanprop_country2","sumreach_country","estprop_country_rhs","meanprop_country_rhs","estprop_country_rhs2","meanprop_country_rhs2","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg","meanprop_country_agg2","estprop_country_agg2"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"4","ES","ESAN","ESMA",1661785,0.0377358490566038,0.02,0,0,53,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"6","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0.0299346603859596,0.0354903925156508,0.00363541937159179,0.00652173913043478,19743,0.0103382754027135,0.00683550296877674,0,0,133,0.0352986486884354,0.0298035314262709,0.00647809899638629,0.00361109300932465,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.039705554316306,0.0564070301026823,0.000730994152046784,0.000434782608695652,4483,0.21427118575286,0.113025230976335,0,0,102,0.0576665844078322,0.0435890209262359,0.000425110236593808,0.000714732122928186,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
"10","ES","ESAR","ESZ",964693,0.288461538461538,0.15,0,0,52,1319291,0.039705554316306,0.0564070301026823,0.000730994152046784,0.000434782608695652,4483,0.21427118575286,0.113025230976335,0,0,102,0.0576665844078322,0.0435890209262359,0.000425110236593808,0.000714732122928186,47026208,0.0621320264447587,0.0533195057713896,0.0151745068285281,0.00909090909090909,30403,0.0455016307554858,0.0524218975451987,0.00163439559396914,0.00250408939075873,212878,0.0525340722851122,0.0475799431602398,0.00332724894429424,0.0033265129474176
