Timestamp,Περιοχή,"Με πόσα περίπου άτομα έρχεστε σε επαφή τώρα (στο σπίτι, τηλέφωνο, τηλεδιάσκεψη κτλ.) ?","Πόσα από τα στενά σας πρόσωπα (συγγενείς, φίλοι, συνεργάτες) γνωρίζετε ότι έχουν προσβληθεί (ή έχουν συμπτώματα) του #COVID19 και βρίσκονται στην Κύπρο τώρα?"
2020/03/20 2:49:08 PM GMT+1,,25,0
2020/03/20 2:49:31 PM GMT+1,,15,0
2020/03/20 2:51:39 PM GMT+1,,40,0
2020/03/20 2:51:52 PM GMT+1,,20,0
2020/03/20 2:51:56 PM GMT+1,,20,0
2020/03/20 2:52:08 PM GMT+1,,6,0
2020/03/20 2:53:17 PM GMT+1,,10,0
2020/03/20 2:53:34 PM GMT+1,,5,0
2020/03/20 2:54:07 PM GMT+1,,3,0
2020/03/20 2:54:14 PM GMT+1,,5,0
2020/03/20 2:54:19 PM GMT+1,,15,0
2020/03/20 2:55:13 PM GMT+1,,50,0
2020/03/20 2:55:14 PM GMT+1,,6,0
2020/03/20 2:56:03 PM GMT+1,,3,0
2020/03/20 2:56:21 PM GMT+1,,25,0
2020/03/20 2:56:21 PM GMT+1,,10,0
2020/03/20 2:56:45 PM GMT+1,,4,0
2020/03/20 2:56:52 PM GMT+1,,70,0
2020/03/20 2:56:54 PM GMT+1,,15,0
2020/03/20 2:59:38 PM GMT+1,,10,0
2020/03/20 2:59:50 PM GMT+1,,1,2
2020/03/20 3:00:03 PM GMT+1,,100,0
2020/03/20 3:00:18 PM GMT+1,,3,0
2020/03/20 3:00:19 PM GMT+1,,50,0
2020/03/20 3:00:38 PM GMT+1,,5,0
2020/03/20 3:01:16 PM GMT+1,,10,0
2020/03/20 3:01:43 PM GMT+1,,5,0
2020/03/20 3:01:56 PM GMT+1,,20,0
2020/03/20 3:03:32 PM GMT+1,,5,0
2020/03/20 3:03:38 PM GMT+1,,7,0
2020/03/20 3:03:51 PM GMT+1,,2,0
2020/03/20 3:04:46 PM GMT+1,,100,0
2020/03/20 3:05:10 PM GMT+1,,8,0
2020/03/20 3:05:11 PM GMT+1,,10,0
2020/03/20 3:05:15 PM GMT+1,,26,0
2020/03/20 3:05:53 PM GMT+1,,7,0
2020/03/20 3:07:25 PM GMT+1,,3,3
2020/03/20 3:07:50 PM GMT+1,,6,0
2020/03/20 3:08:58 PM GMT+1,,5,0
2020/03/20 3:10:06 PM GMT+1,,5,0
2020/03/20 3:10:15 PM GMT+1,,10,0
2020/03/20 3:11:22 PM GMT+1,,5,0
2020/03/20 3:14:28 PM GMT+1,,4,0
2020/03/20 3:14:30 PM GMT+1,,7,0
2020/03/20 3:14:39 PM GMT+1,,20,2
2020/03/20 3:14:41 PM GMT+1,,10,0
2020/03/20 3:14:47 PM GMT+1,,12,0
2020/03/20 3:15:17 PM GMT+1,,40,0
2020/03/20 3:15:18 PM GMT+1,,4,0
2020/03/20 3:15:19 PM GMT+1,,60,0
2020/03/20 3:16:08 PM GMT+1,,20,2
2020/03/20 3:16:25 PM GMT+1,,6,0
