"","date","cases","deaths","cum_cases","cum_deaths","p_cases","population"
"34","2020/04/12",122,1,1560,30,0.000385827468838249,4043258
"35","2020/04/13",102,2,1662,32,0.000411054649493057,4043258
"36","2020/04/14",50,4,1712,36,0.000423420914519924,4043258
"37","2020/04/15",222,4,1934,40,0.000478327131239214,4043258
"38","2020/04/16",115,6,2049,46,0.000506769540801008,4043258
"39","2020/04/17",105,8,2154,54,0.000532738697357428,4043258
"40","2020/04/18",110,2,2264,56,0.000559944480416535,4043258
"41","2020/04/19",87,4,2351,60,0.000581461781563284,4043258
"42","2020/04/20",121,7,2472,67,0.000611388142928302,4043258
"43","2020/04/21",76,3,2548,70,0.00063018486576914,4043258
"44","2020/04/22",66,3,2614,73,0.000646508335604604,4043258
"45","2020/04/23",164,3,2778,76,0.000687069684892728,4043258
"46","2020/04/24",148,4,2926,80,0.000723673829372254,4043258
"47","2020/04/25",184,7,3110,87,0.000769181684671124,4043258
"48","2020/04/26",194,7,3304,94,0.000817162792975368,4043258
"49","2020/04/27",104,2,3408,96,0.000842884624231251,4043258
"50","2020/04/28",73,6,3481,102,0.000860939371170477,4043258
"51","2020/04/29",157,5,3638,107,0.000899769443354839,4043258
"52","2020/04/30",133,4,3771,111,0.000932663708326305,4043258
"53","2020/05/01",126,8,3897,119,0.00096382669619401,4043258
"54","2020/05/02",83,3,3980,122,0.000984354696138609,4043258
"55","2020/05/03",72,2,4052,124,0.0010021621177773,4043258
"56","2020/05/04",69,1,4121,125,0.00101922756351437,4043258
"57","2020/05/05",127,7,4248,132,0.00105063787668262,4043258
"58","2020/05/06",115,4,4363,136,0.00107908028624441,4043258
"59","2020/05/07",113,7,4476,143,0.00110702804520513,4043258
"60","2020/05/08",129,2,4605,145,0.00113893300897445,4043258
"61","2020/05/09",123,7,4728,152,0.00116935402094054,4043258
"62","2020/05/10",139,9,4867,161,0.00120373223771523,4043258
"63","2020/05/11",60,8,4927,169,0.00121857175574747,4043258
"64","2020/05/12",68,6,4995,175,0.00123538987618401,4043258
"65","2020/05/13",159,7,5154,182,0.00127471459896944,4043258
"66","2020/05/14",252,3,5406,185,0.00133704057470485,4043258
"67","2020/05/15",147,9,5553,194,0.00137339739388384,4043258
"68","2020/05/16",192,3,5745,197,0.00142088385158701,4043258
"69","2020/05/17",189,10,5934,207,0.00146762833338857,4043258
"70","2020/05/18",126,4,6060,211,0.00149879132125627,4043258
"71","2020/05/19",78,4,6138,215,0.00151808269469819,4043258
"72","2020/05/20",202,6,6340,221,0.00156804240540673,4043258
"73","2020/05/21",213,7,6553,228,0.00162072269442118,4043258
"74","2020/05/22",151,5,6704,233,0.00165806881480232,4043258
"75","2020/05/23",143,4,6847,237,0.00169343633277916,4043258
"76","2020/05/24",147,5,6994,242,0.00172979315195815,4043258
"77","2020/05/25",99,8,7093,250,0.00175427835671135,4043258
"78","2020/05/26",54,11,7147,261,0.00176763392294036,4043258
"79","2020/05/27",158,6,7305,267,0.00180671132042526,4043258
"80","2020/05/28",232,7,7537,274,0.00186409079014992,4043258
"81","2020/05/29",188,8,7725,282,0.00191058794665094,4043258
"82","2020/05/30",171,6,7896,288,0.00195288057304283,4043258
"83","2020/05/31",202,3,8098,291,0.00200284028375137,4043258
"84","2020/06/01",153,4,8251,295,0.00204068105473358,4043258
"85","2020/06/02",109,12,8360,307,0.00206763951249215,4043258
"86","2020/06/03",188,0,8548,307,0.00211413666899317,4043258
"87","2020/06/04",247,3,8795,310,0.0021752260182259,4043258
"88","2020/06/05",223,5,9018,315,0.00223037956024572,4043258
"89","2020/06/06",229,8,9247,323,0.00228701705406877,4043258
"90","2020/06/07",264,8,9511,331,0.00235231093341063,4043258
"91","2020/06/08",189,10,9700,341,0.00239905541521219,4043258
"92","2020/06/09",107,12,9807,353,0.00242551922236968,4043258
"93","2020/06/10",218,12,10025,365,0.00247943613788682,4043258
"94","2020/06/11",296,6,10321,371,0.00255264442684588,4043258
"95","2020/06/12",406,4,10727,375,0.00265305849886403,4043258
"96","2020/06/13",366,10,11093,385,0.0027435795588607,4043258
"97","2020/06/14",366,13,11459,398,0.00283410061885737,4043258
"98","2020/06/15",281,8,11740,406,0.00290359902830836,4043258
"99","2020/06/16",139,5,11879,411,0.00293797724508305,4043258
"100","2020/06/17",375,12,12254,423,0.00303072423278455,4043258
"101","2020/06/18",478,10,12732,433,0.0031489457264414,4043258
"102","2020/06/19",374,11,13106,444,0.00324144538884236,4043258
