"","date","cases_p_reach","cases_p_reach_prop","estimate_cases_reach","estimate_cases_reach_prop"
"1","2020/03/15",0,0,0,0
"2","2020/03/16",0,0,0,0
"3","2020/03/19",0,0,0,0
"4","2020/03/20",0,0,0,0
"5","2020/03/22",0.0165055741231888,0.0185539524367373,774682.981398294,870822.855547958
"6","2020/03/23",0.0175164596333015,0.0200992378170273,822128.516766024,943350.250025708
"7","2020/03/24",0.0196448071095143,0.0240679216317734,922021.713816811,1129618.94852044
"8","2020/03/25",0.0300883895148121,0.0346272316447365,1412187.36899681,1625216.23591553
"9","2020/03/26",0.030867781263938,0.0357024514427797,1448767.8308083,1675681.27715493
"10","2020/03/27",0.029678595854866,0.0343271639505167,1392953.85601048,1611132.67031251
"11","2020/03/28",0.0324547747186951,0.0364297878947872,1523252.77824576,1709818.54296074
"12","2020/03/29",0.0320687753896999,0.0368275934202216,1505136.04333112,1728489.39731335
"13","2020/03/30",0.0309763358990908,0.0379949534542054,1453862.80222687,1783279.00625044
"14","2020/03/31",0.0315198476437955,0.0419632581669776,1479372.32377822,1969529.91173506
"15","2020/04/01",0.0412711753580708,0.0473923312464905,1937047.26255382,2224341.43710681
"16","2020/04/02",0.0413688413242382,0.0489395672942753,1941631.17834415,2296960.38543778
"17","2020/04/03",0.0401026465702236,0.048634713732963,1882202.79858892,2282652.19694311
"18","2020/04/04",0.0390280469049671,0.0424989455410283,1831766.86305118,1994672.19936042
"19","2020/04/05",0.0388078835687405,0.0432602581158938,1821433.57876615,2030404.12185346
"20","2020/04/06",0.0380264698164841,0.042386509299442,1784758.21498991,1989395.04618785
"21","2020/04/07",0.0335058824637288,0.037307594905099,1572586.12924684,1751018.08844552
"22","2020/04/08",0.0343115643170668,0.0383727510881734,1610400.5073196,1801010.79766001
"23","2020/04/09",0.0491697592990697,0.0559532669147283,2307764.36155138,2626145.76802748
"24","2020/04/10",0.0483954577804968,0.054726145163843,2271422.80781732,2568551.26513897
"25","2020/04/11",0.0484290669959023,0.0541532090355584,2273000.24383975,2541660.72109017
"26","2020/04/12",0.0420802391535865,0.0460377934574395,1975020.37082462,2160766.70986575
"27","2020/04/13",0.0393495274243603,0.0448944547339,1846855.43163815,2107104.53219844
"28","2020/04/14",0.0364111894589115,0.0418451767379743,1708945.63229153,1963987.80379108
"29","2020/04/15",0.0373818703704272,0.0433779999311851,1754504.17978023,2035930.2901542
"30","2020/04/16",0.0376832806327047,0.0449494587010431,1768650.7583156,2109686.12293482
"31","2020/04/17",0.0388352527191446,0.045130435711156,1822718.13965904,2118180.21158102
"32","2020/04/18",0.0389962919771335,0.0457169658878823,1830276.45732614,2145708.78723645
"33","2020/04/19",0.0398269316526653,0.0465957135229779,1869262.22149927,2186952.48059554
"34","2020/04/20",0.0397142113824327,0.046356887929103,1863971.73754784,2175743.29019014
"35","2020/04/21",0.0432497221923287,0.050324971651867,2029909.62220029,2361983.82359092
"36","2020/04/22",0.0434882095792544,0.0502156478561904,2041102.93898834,2356852.75190929
"37","2020/04/23",0.0436378299146732,0.0503708559063944,2048125.31377246,2364137.38400823
"38","2020/04/24",0.0425854521007425,0.0489425331776781,1998732.35256017,2297099.58807198
"39","2020/04/25",0.0427356555748525,0.049383434123651,2005782.09674183,2317793.10995606
"40","2020/04/26",0.0441305378597843,0.0501655393188502,2071250.37788889,2354500.92634961
"41","2020/04/27",0.0457064686050545,0.052224297872709,2145216.10117191,2451127.99321679
"42","2020/04/28",0.0511091403193141,0.0561203393985058,2398788.48828681,2633987.25290262
"43","2020/04/29",0.0540133114650703,0.0596663878752557,2535094.68066121,2800419.71902884
