"","date","estimated_cases_region_based","prop_cases_region_based","estimate_cases_world","estimate_cases_reg","I_r_est","I_c_est","r_r","r_c","I_r_prop","I_c_prop"
"23","2020/04/09",2291825.61122843,2604419.78757462,68286.2263760111,2223539.38485242,2307764.36155138,1871042.6027027,30535,1480,2626145.76802748,2030853.90361905
"24","2020/04/10",2258907.14228108,2548867.74383504,81734.2435018167,2177172.89877926,2271422.80781732,1969795.26839378,36160,1930,2568551.26513897,2094178.40171429
"25","2020/04/11",2286436.06974467,2541966.90663382,147883.160106162,2138552.90963851,2273000.24383975,2500149.67554479,40110,3304,2541660.72109017,2546837.17043746
"26","2020/04/12",2111434.39769301,2240190.82805122,327183.039959409,1784251.3577336,1975020.37082462,3387306.76663858,25106,3561,2160766.70986575,2983039.93343289
"27","2020/04/13",2029703.96060374,2219058.22096572,372555.733423889,1657148.22717985,1846855.43163815,3626939.64009727,23647,3701,2107104.53219844,3197006.61990348
"28","2020/04/14",1857414.36091073,2044197.00926036,287680.591923851,1569733.76898688,1708945.63229153,3531527.26637555,25379,2977,1963987.80379108,2948624.94679329
"29","2020/04/15",1896078.29695505,2106688.74002931,291960.189727418,1604118.10722763,1754504.17978023,3406202.21348654,27131,3307,2035930.2901542,2861445.53869713
"30","2020/04/16",1918170.07952179,2189453.87137282,298772.549756034,1619397.52976576,1768650.7583156,3540454.714609,32370,3977,2109686.12293482,3054933.94192513
"31","2020/04/17",1996053.47777886,2222189.32225963,342974.452107883,1653079.02567097,1822718.13965904,3685151.02796768,34624,4827,2118180.21158102,3235724.91142565
"32","2020/04/18",2044773.023982,2305975.3677887,412050.21601804,1632722.80796396,1830276.45732614,3817524.06016713,21137,3590,2145708.78723645,3630531.51882353
"33","2020/04/19",2124011.13247535,2385790.92583617,468214.041209025,1655797.09126633,1869262.22149927,4100036.46896552,21637,3915,2186952.48059554,3928132.37945946
"34","2020/04/20",2118812.33478159,2377729.5742991,478070.745443065,1640741.58933852,1863971.73754784,3991890.72444959,22037,4315,2175743.29019014,3862328.7625
"35","2020/04/21",2259366.7599937,2530709.06167024,491597.784368948,1767768.97562476,2029909.62220029,3806731.56101083,19026,4155,2361983.82359092,3668522.84666667
"36","2020/04/22",2265076.04137273,2524291.92731675,493057.412669027,1772018.62870371,2041102.93898834,3740020.86195286,19546,4455,2356852.75190929,3626940.15560976
"37","2020/04/23",2285767.49609477,2550384.94098849,511149.6,1774617.89609477,2048125.31377246,3827678.4,20296,4635,2364137.38400823,3758828.39209302
"38","2020/04/24",2260894.5132859,2508224.34203871,532578.890777989,1728315.62250791,1998732.35256017,3936452.67096774,21778,5115,2297099.58807198,3857586.9
"39","2020/04/25",2257477.27239285,2520340.47682804,520275.684331556,1737201.5880613,2005782.09674183,3885463.08936971,22616,5315,2317793.10995606,3830434.08382979
"40","2020/04/26",2328741.840896,2565648.85111317,537390.162721824,1791351.67817418,2071250.37788889,3976687.2041415,23931,5795,2354500.92634961,3916995.5696
"41","2020/04/27",2382895.12838701,2642834.66519053,523334.434942957,1859560.69344406,2145216.10117191,3930138.99182652,24701,5995,2451127.99321679,3890807.51019608
"42","2020/04/28",2643912.07752362,2843712.64194963,603384.207617314,2040527.86990631,2398788.48828681,4040050.78143767,19579,5495,2633987.25290261,4038235.51
"43","2020/04/29",2757692.68913618,2983505.01287023,597563.781177276,2160128.90795891,2535094.68066121,4040050.78143767,19769,5495,2800419.71902884,4038235.51
