"","date","estimated_cases_region_based","prop_cases_region_based","estimate_cases_world","estimate_cases_reg","I_r_est","I_c_est","r_r","r_c","I_r_prop","I_c_prop"
"1","2020/03/15",224644.373333333,224644.373333333,224644.373333333,0,0,224644.373333333,0,5850,0,224644.373333333
"2","2020/03/16",367530.42031746,367530.42031746,367530.42031746,0,0,367530.42031746,0,9450,0,367530.42031746
"3","2020/03/19",966838.297093156,1274714.60038075,966838.297093156,0,0,966838.297093156,0,8738,0,1274714.60038075
"4","2020/03/20",1206836.55765368,1056029.13,1206836.55765368,0,0,1206836.55765368,0,2489,0,1056029.13
"5","2020/03/22",921422.155339307,946977.048705241,395633.304510746,525788.850828561,774682.981398294,1231408.6602897,16362,3659,870822.855547959,1107852.78175
"6","2020/03/23",947099.552956459,993580.030704881,376002.644363266,571096.908593193,822128.516766025,1231408.6602897,17672,3659,943350.250025708,1107852.78175
"7","2020/03/24",993282.376169436,1205907.78805768,141948.993745247,851333.382424189,922021.713816811,1851508.61406844,27772,2104,1129618.94852044,2124690.76857143
"8","2020/03/25",1454186.84485319,1669208.14635878,130261.186418685,1323925.65843451,1412187.36899681,2084178.98269896,27009,1734,1625216.23591553,2329086.80300752
"9","2020/03/26",1482970.35575915,1710387.17016648,116989.258139897,1365981.09761925,1448767.8308083,2047312.0174482,30531,1834,1675681.27715493,2283034.40485714
"10","2020/03/27",1441410.56894895,1668778.94102061,127945.927547771,1313464.64140118,1392953.85601048,2242100.06369427,32230,1884,1611132.67031251,2621314.93795918
"11","2020/03/28",1546305.13228721,1740831.0467748,102595.580059506,1443709.5522277,1523252.77824576,1964705.35813953,32594,2150,1709818.54296074,2303707.991
"12","2020/03/29",1536753.45835479,1758764.0031133,119442.254574174,1417311.20378061,1505136.04333112,2046993.12149533,41744,2889,1728489.39731335,2247333.50360902
"13","2020/03/30",1529395.78719906,1840186.15735528,184233.007568587,1345162.77963047,1453862.80222687,2464116.47622985,26499,2419,1783279.00625044,2544412.15227757
"14","2020/03/31",1600454.29794584,2053034.26252911,258780.114089703,1341674.18385614,1479372.32377822,2780227.37957911,33078,3849,1969529.91173506,2866666.39847118
"15","2020/04/01",2098251.33615403,2361423.27257614,390511.849229638,1707739.4869244,1937047.26255382,3298797.46322931,24005,3685,2224341.43710681,3382322.20515038
"16","2020/04/02",2108064.39337855,2436738.42604688,430945.288605928,1677119.10477263,1941631.17834415,3163321.79934138,25630,4555,2296960.38543778,3322990.68352584
"17","2020/04/03",2069549.28164245,2434915.22723116,454075.756650358,1615473.5249921,1882202.79858892,3204232.69787234,27454,5405,2282652.19694311,3357112.07105121
"18","2020/04/04",2027691.28343448,2184970.50717497,453688.020872541,1574003.26256194,1831766.86305118,3224080.82917933,25737,4935,1994672.19936042,3347004.85489362
"19","2020/04/05",2040061.29086227,2238198.6774474,479510.125721485,1560551.16514079,1821433.57876615,3347852.51412819,30044,5804,2030404.12185346,3481187.92818211
"20","2020/04/06",2002879.63643523,2184633.51201606,489171.150357339,1513708.48607789,1784758.21498991,3221003.88235294,33155,6834,1989395.04618785,3274965.25194896
"21","2020/04/07",1821502.0999809,1975217.96462435,493936.472458079,1327565.62752283,1572586.12924684,3170174.0868673,27073,5848,1751018.08844552,3189973.65737509
"22","2020/04/08",1729006.20739977,1954738.32997598,591384.09416966,1137622.11323011,1396634.29079589,3188835.80189523,20223,5593,1700449.51165456,3071614.70848574
