"","date","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","2020/03/19",0.03515625,0.0564583333333333,NA,NA
"2","2020/03/20",0.031055900621118,0.0211111111111111,NA,NA
"3","2020/03/22",0.0270206629712623,0.0271816795700285,NA,NA
"4","2020/03/23",0.0304356708194123,0.02968148525119,NA,NA
"5","2020/03/24",0.0406933481715006,0.0384841424184396,NA,NA
"6","2020/03/25",0.0348645882349287,0.0316770457014141,NA,NA
"7","2020/03/26",0.0420232933934941,0.0394618099739726,NA,NA
"8","2020/03/27",0.0243016547479665,0.0295335268548463,NA,NA
"9","2020/03/28",0.0480129862895079,0.0516678302096355,NA,NA
"10","2020/03/29",0.0372565889612597,0.0375306554794431,NA,NA
"11","2020/03/30",0.0371035918468975,0.0363692920316778,NA,NA
"12","2020/03/31",0.0577472311447512,0.0649311095495224,NA,NA
"13","2020/04/01",0.0700782634707877,0.0667354954028773,NA,NA
"14","2020/04/02",0.0466821321720475,0.04316651930195,NA,NA
"15","2020/04/03",0.0649420628290409,0.0591460442348192,NA,NA
"16","2020/04/04",0.052978978312736,0.0479037877852074,NA,NA
"17","2020/04/05",0.0608433149465355,0.0697133754593732,NA,NA
"18","2020/04/06",0.0542409354976147,0.0497692659006468,NA,NA
"19","2020/04/07",0.0311660893132616,0.0324388886403155,NA,NA
"20","2020/04/08",0.0394008314778821,0.0429906255099673,NA,NA
"21","2020/04/09",0.0812163455237579,0.0665641267705851,NA,NA
"22","2020/04/10",0.0476532055992188,0.0490100206425455,NA,NA
"23","2020/04/11",0.0659891776115894,0.0633028036351744,NA,NA
"24","2020/04/12",0.0384478690141765,0.0372020863161028,NA,NA
"25","2020/04/13",0.047303202521325,0.0451200000861872,NA,NA
"26","2020/04/14",0.0475806168775402,0.0466965302728462,NA,NA
"27","2020/04/15",0.0442618490562507,0.0463116987062814,NA,NA
"28","2020/04/16",0.0652453746025173,0.0655829501128301,NA,NA
"29","2020/04/17",0.0724533782787716,0.0742158552608205,NA,NA
"30","2020/04/18",0.0760959490968331,0.082809702341625,NA,NA
"31","2020/04/19",0.0862820151155997,0.0879034043818091,NA,NA
"32","2020/04/20",0.0737933080105258,0.0778218994346922,NA,NA
"33","2020/04/21",0.0823529214567927,0.0818801989896734,NA,NA
"34","2020/04/22",0.0470253327231304,0.0497526533578045,NA,NA
"35","2020/04/23",0.0523840442121298,0.0558004345994971,NA,NA
"36","2020/04/24",0.0575648438076965,0.0615003016967713,NA,NA
"37","2020/04/25",0.0628930322432688,0.066793130602297,NA,NA
"38","2020/04/26",0.0844173217894863,0.0831218115273387,NA,NA
"39","2020/04/27",0.0682735784063213,0.0676957366278878,NA,NA
"40","2020/04/28",0.070048177566342,0.0689016854618419,NA,NA
"41","2020/04/29",0.0942073932923645,0.0904719811769764,NA,NA
"42","2020/04/30",0.10016350616152,0.0981136919764055,NA,NA
"43","2020/05/01",0.0866975674392718,0.0857996236439116,NA,NA
"44","2020/05/02",0.0827025963403392,0.0856669804860886,NA,NA
"45","2020/05/03",0.073512799096205,0.073848770703319,NA,NA
"46","2020/05/04",0.0788702848558107,0.080421435416093,NA,NA
"47","2020/05/05",0.0811808357498548,0.0827082961934164,NA,NA
"48","2020/05/06",0.0898818020579503,0.0914092625015119,NA,NA
"49","2020/05/07",0.0916481133067004,0.103531240074135,0.0286016949152542,0.0286016949152542
"50","2020/05/08",0.0948407346968775,0.105518110024517,0.0258126195028681,0.0258126195028681
"51","2020/05/09",0.0826472286416912,0.0949507180099023,0.0246350364963504,0.0246350364963504
"52","2020/05/10",0.0836841146805753,0.0950302133856184,0.0229591836734694,0.0229591836734694
"53","2020/05/11",0.082819970605326,0.0905316107282428,0.0131426012591907,0.0116093381363851
"54","2020/05/12",0.0786937701516056,0.0744328929678167,0.00972041914136515,0.00826925985777447
"55","2020/05/13",0.0729359803140941,0.0699118306071263,0.00838239937181408,0.00716083680423048
"56","2020/05/14",0.0724666939146026,0.0664806106025196,0.00789436616828463,0.00583091195527597
"57","2020/05/15",0.0794858322753319,0.0703430194239817,0.00191760839009979,0.00180979042221715
"58","2020/05/16",0.0681000604467027,0.0563462097541042,0.00186593890685085,0.00159390383969037
"59","2020/05/17",0.0704853276387413,0.0590252913142257,0.00498728802374215,0.00430396920199073
"60","2020/05/18",0.0700569592461228,0.0558412118167421,0.00461869362492718,0.00259450784955008
"61","2020/05/19",0.0839454473857854,0.0695851858952778,0.000682250671051269,0.000682250671051269
"62","2020/05/20",0.08028317409079,0.0581622904889465,0.000662515908067335,0.000662515908067335
"63","2020/05/21",0.0826240690970752,0.0565994901770597,0.000666819649390784,0.000666819649390784
"64","2020/05/22",0.0803056620112525,0.054281083091237,0.000666819649390784,0.000666819649390784
"65","2020/05/23",0.0786617973271668,0.052976716219507,0.00067255010962272,0.00067255010962272
"66","2020/05/24",0.0784844773183528,0.0503013602828651,0.000666288078849347,0.000666288078849347
"67","2020/05/25",0.0778926665673591,0.0498739414071475,0.000666288078849347,0.000666288078849347
"68","2020/05/26",0.0763245645832865,0.0556276518558194,0.000633760985649996,0.000633760985649996
"69","2020/05/27",0.0750514582181135,0.0513881596803368,0.000620404604691901,0.000620404604691901
"70","2020/05/28",0.0620895393076904,0.0406824528710513,0.000683573801941534,0.000683573801941534
"71","2020/05/29",0.0657062271642936,0.0445568419635764,0.000637131529381171,0.000637131529381171
"72","2020/05/30",0.0708376238814689,0.050611869394979,0.000652114810163192,0.000652114810163192
"73","2020/05/31",0.0688364039841337,0.0495982740317161,0.001377990333336,0.00346569535688853
