"","date","p_w_country","p_m_country"
"1","2020/03/22",NA,NA
"2","2020/03/23",NA,NA
"3","2020/03/24",0.00154323710634454,0.00142944277404545
"4","2020/03/25",0.00167364173657787,0.00157645582284183
"5","2020/03/28",0.00607531711268506,0.00834941595742422
"6","2020/03/29",0.00684341083728887,0.00929625482153985
"7","2020/03/30",0.00476242673290851,0.00645810347924786
"8","2020/03/31",0.00852894698922067,0.0102423713211404
"9","2020/04/01",0.00906627203101459,0.0107796963629343
"10","2020/04/02",0.00866979198537294,0.010134870607601
"11","2020/04/05",0.00598326357112101,0.00691412460790387
"12","2020/04/06",0.00601197093557361,0.00693296692985608
"13","2020/04/07",0.00666300445321369,0.00706442732715579
"14","2020/04/08",0.00707787479038267,0.0120225594454183
"15","2020/04/09",0.00671198882062546,0.00385616363965053
"16","2020/04/10",0.00848369380904557,0.0078029292873719
"17","2020/04/11",0.00233635438894442,0.00183000782589838
"18","2020/04/12",0.00517211430806627,0.00440448981748014
"19","2020/04/13",0.00493532216162382,0.00433237485705832
"20","2020/04/14",0.00845602107971281,0.00612444831941227
"21","2020/04/15",0.00689128307210168,0.00523887335556755
"22","2020/04/16",0.0070829709870062,0.00523565598616688
"23","2020/04/17",0.00567135102299282,0.0038510004163903
"24","2020/04/18",0.00567134866811607,0.00386089281749782
"25","2020/04/19",0.00549880866063084,0.00406410853183342
"26","2020/04/21",0.00607123114146764,0.00472588428308398
"27","2020/04/23",0.00682682490518251,0.00548147804679885
"28","2020/04/24",0.00641976684950539,0.00569637571744973
"29","2020/04/25",0.00457335047951035,0.00462836028879686
"30","2020/04/26",0.00457335047951035,0.00462836028879686
"31","2020/04/27",0.00424277196711365,0.00428275548038213
"32","2020/04/28",0.00424277196711365,0.00428275548038213
"33","2020/04/29",0.00424277196711365,0.00428275548038213
"34","2020/04/30",0.00765866742151084,0.00777406838525314
"35","2020/05/01",0.00741029487249946,0.00745972131344597
"36","2020/05/02",0.0074025263567624,0.00745102631894438
"37","2020/05/06",0.00738714115295742,0.00743380626468714
"38","2020/05/07",0.00744345867231983,0.00741360003826358
"39","2020/05/08",0.00741225658011695,0.00737975780387651
"40","2020/05/10",0.0073969574897465,0.00736316419217703
"41","2020/05/11",0.00685192995848537,0.00693964082274513
"42","2020/05/13",0.006699904768132,0.00678157174862553
"43","2020/05/14",0.00888780684528978,0.00971436562931299
"44","2020/05/15",NA,NA
"45","2020/05/18",NA,NA
"46","2020/05/21",NA,NA
"47","2020/05/25",NA,NA
"48","2020/05/26",NA,NA
"49","2020/06/01",NA,NA
"50","2020/06/02",NA,NA
"51","2020/06/04",NA,NA
"52","2020/06/05",NA,NA
"53","2020/06/06",NA,NA
"54","2020/06/08",NA,NA
"55","2020/06/09",NA,NA
"56","2020/06/12",NA,NA
"57","2020/06/13",NA,NA
"58","2020/06/15",NA,NA
"59","2020/06/16",NA,NA
"60","2020/06/18",NA,NA
"61","2020/06/19",NA,NA
"62","2020/06/22",NA,NA
"63","2020/06/23",NA,NA
"64","2020/06/26",NA,NA
