"","date","p_w_country","p_m_country"
"1","2020/03/23",0.0125599074533135,0.0146679536679537
"2","2020/03/24",0.0138728323699422,0.0155221861471861
"3","2020/03/25",0.0143096783553026,0.019011880623421
"4","2020/03/26",0.0142767045348494,0.0188442991769593
"5","2020/03/27",0.0167888352145922,0.019867775604092
"6","2020/03/28",0.0166411515313619,0.0196487242604331
"7","2020/03/29",0.015427542357528,0.0176479913074303
"8","2020/03/30",0.0156377364270156,0.0178978079626747
"9","2020/04/01",0.0156150796569605,0.017593169221113
"10","2020/04/02",0.0156097360938025,0.0175851093587459
"11","2020/04/06",0.0156097360938025,0.0175851093587459
"12","2020/04/07",0.0157586266630798,0.0165448337938909
"13","2020/04/08",0.0194318208447414,0.0233614071991006
"14","2020/04/09",0.0245765305515118,0.0245827392347611
"15","2020/04/10",0.025588451784425,0.0252540090771016
"16","2020/04/11",0.0244216388451586,0.0249377665779695
"17","2020/04/12",0.0258823829607106,0.0256877758092793
"18","2020/04/13",0.0260203456124934,0.0258187617395314
"19","2020/04/15",0.0261385873574813,0.0251795259409505
"20","2020/04/16",0.0266090602598971,0.0250636573043809
"21","2020/04/17",0.0266090602598971,0.0250636573043809
"22","2020/04/18",0.0269305228373286,0.0244760035318223
"23","2020/04/19",0.0275837703659048,0.0256488978249787
"24","2020/04/20",0.0279676817570576,0.0261600991826915
"25","2020/04/23",NA,NA
"26","2020/04/27",NA,NA
"27","2020/04/29",NA,NA
"28","2020/05/02",NA,NA
"29","2020/05/10",NA,NA
"30","2020/05/14",NA,NA
"31","2020/05/15",NA,NA
"32","2020/05/26",NA,NA
"33","2020/05/31",NA,NA
"34","2020/06/01",NA,NA
"35","2020/06/02",NA,NA
"36","2020/06/05",NA,NA
"37","2020/06/06",NA,NA
"38","2020/06/07",NA,NA
"39","2020/06/08",NA,NA
"40","2020/06/09",NA,NA
"41","2020/06/10",NA,NA
"42","2020/06/11",NA,NA
"43","2020/06/12",NA,NA
"44","2020/06/13",NA,NA
"45","2020/06/14",NA,NA
"46","2020/06/15",NA,NA
"47","2020/06/20",NA,NA
"48","2020/06/23",NA,NA
"49","2020/06/26",NA,NA
"50","2020/07/03",NA,NA
"51","2020/07/04",NA,NA
"52","2020/07/05",NA,NA
"53","2020/07/06",NA,NA
"54","2020/07/17",NA,NA
"55","2020/07/30",NA,NA
"56","2020/07/31",NA,NA
