"","date","r_c","r_r","I_c_estprop","I_c_meanprop","I_c_estprop2","I_c_meanprop2","I_r_estprop","I_r_meanprop","I_r_estprop2","I_r_meanprop2","estprop_country_agg","meanprop_country_agg","estprop_country_agg2","meanprop_country_agg2"
"1","2020/04/16",3,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"2","2020/04/17",5,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"3","2020/04/20",8,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"4","2020/04/23",11,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"5","2020/04/28",14,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"6","2020/05/01",18,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"7","2020/05/09",22,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"8","2020/05/15",222,584,0.0045045045045045,0.000625,0,0,0.00078392373277778,0.000452389320790511,0.00039196186638889,0.000258508183308863,0.00180869908181417,0.000499932212582702,0.000284002146366144,0.000187306177484338
"9","2020/05/16",222,3780,0.0045045045045045,0.000625,0,0,0.00395494089580765,0.00829169013650979,0.00074528444336449,0.00146722026301899,0.00398542643332157,0.00786640147826262,0.000703941828065411,0.00138583023343623
"10","2020/05/17",622,5356,0.00482315112540193,0.0015,0,0,0.00386866266333304,0.0069925966595971,0.000907549468887086,0.0016072553100867,0.00396797544744259,0.00642110199210473,0.000813120601431788,0.00144002332566483
"11","2020/05/18",622,6266,0.00482315112540193,0.0015,0,0,0.00385335644525236,0.00792148812766444,0.000899815637634841,0.00176054278161557,0.00394093081967934,0.00734161507083992,0.000818560508916944,0.00160156229233495
"12","2020/05/19",622,6463,0.00482315112540193,0.0015,0,0,0.00398154815352819,0.00846354231184557,0.000978016020910569,0.00175487060529588,0.0040554334109037,0.00785220521686068,0.000892154910817926,0.00160080857050491
"13","2020/05/20",622,8705,0.00482315112540193,0.0015,0,0,0.0236657566257876,0.0235613262605314,0.00262334104477908,0.00305383374311308,0.0224091788814711,0.0220900981127829,0.00244839538917143,0.00285017934317566
"14","2020/05/21",622,10429,0.00482315112540193,0.0015,0,0,0.0336642086136213,0.0346484097106462,0.0033635916110836,0.00343773650842683,0.0320409041382189,0.0327826680727834,0.00317427354194108,0.00324424523087353
"15","2020/05/22",622,11812,0.00482315112540193,0.0015,0,0,0.034140162146514,0.0350216429771202,0.00407386095407279,0.00365732726054278,0.0326736042524226,0.0333447520384223,0.00387006961472638,0.00347437265574484
"16","2020/05/23",622,12343,0.00482315112540193,0.0015,0,0,0.0342372994185339,0.0353079407525532,0.00402094017260509,0.0037486774239283,0.0328261462956393,0.0336859940384701,0.00382803428850479,0.00356883343182006
"17","2020/05/24",622,12443,0.00482315112540193,0.0015,0,0,0.0342321056004757,0.0352907688770898,0.0040129584544037,0.00374059614587226,0.0328320007643872,0.0336820541245793,0.0038219090737195,0.00356251342082576
"18","2020/05/25",622,12817,0.00482315112540193,0.0015,0,0,0.0342966315793865,0.0351813216453762,0.0039678922247466,0.00371843685212568,0.0329325044239152,0.0336224421109299,0.00378424545312725,0.00354633567480429
"19","2020/05/26",622,13069,0.00482315112540193,0.0015,0,0,0.0313592520335726,0.0340810012417417,0.00375876365774027,0.0036078120832754,0.0301536823334132,0.0326008038294005,0.00358799811869166,0.00344390447128232
"20","2020/05/27",622,13429,0.00482315112540193,0.0015,0,0,0.0312983374839333,0.0339878928811969,0.003731957558506,0.0035842090087809,0.0301263521508605,0.032549741192911,0.00356675382913509,0.00342554571054863
"21","2020/05/28",622,13869,0.00482315112540193,0.0015,0,0,0.0312201229913796,0.0338713101866304,0.00370186417637522,0.00354676638056674,0.0300870806547129,0.0324818301689585,0.00354296834325774,0.00339452784018219
"22","2020/05/29",622,13949,0.00482315112540193,0.0015,0,0,0.031220610115459,0.0338581764562418,0.00369668010360345,0.00353954690374939,0.0300937677922269,0.032476885827199,0.0035388779606866,0.00338845238901931
