"","countrycode","regioncode","population_region","estprop_regs","meanprop_regs","estprop_regs2","meanprop_regs2","sumreach_regs","meanprop_regs_agg","estprop_regs_agg","meanprop_regs_agg2","estprop_regs_agg2","population_country","estprop_country","meanprop_country","estprop_country2","meanprop_country2","sumreach_country","estprop_country_rhs","meanprop_country_rhs","estprop_country_rhs2","meanprop_country_rhs2","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg","meanprop_country_agg2","estprop_country_agg2"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"5","BR","BRBA",15203934,NA,NA,NA,NA,20,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"6","BR","BRCE",8904459,NA,NA,NA,NA,10,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"7","BR","BRDF",2914830,0.0207852193995381,0.0165079365079365,0.00233100233100233,0.001,433,0.0165079365079365,0.0207852193995381,0.001,0.00233100233100233,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"10","BR","BRGO",6610681,0.00847457627118644,0.00333333333333333,0,0,236,0.00333333333333333,0.00847457627118644,0,0,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"11","BR","BRMA",6904241,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"12","BR","BRMG",20869101,0.00889679715302491,0.00571428571428571,0.0078125,0.00333333333333333,562,0.00571428571428571,0.00889679715302491,0.00333333333333333,0.0078125,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"13","BR","BRMS",2651235,NA,NA,NA,NA,10,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"14","BR","BRMT",3265486,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"15","BR","BRPA",8175113,0.256,0.265,0.02,0.0125,250,0.265,0.256,0.0125,0.02,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"16","BR","BRPB",3972202,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
"17","BR","BRPE",9345173,0.10958904109589,0.0977777777777778,0.0180505415162455,0.02,584,0.0977777777777778,0.10958904109589,0.02,0.0180505415162455,204453710,0.00482315112540193,0.0015,0,0,622,0.034140162146514,0.0350216429771202,0.00429003272629562,0.00365732726054278,11812,0.0333447520384223,0.0326736042524226,0.00347437265574484,0.00407542758267684
