"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"5","BR","BRBA",15203934,NA,NA,NA,NA,20,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"6","BR","BRCE",8904459,0.04,0.04,0,0,200,0.04,0.04,0,0,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"7","BR","BRDF",2914830,0.02,0.02,0,0,100,0.02,0.02,0,0,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"10","BR","BRGO",6610681,0.0145631067961165,0.0883333333333333,0,0,206,0.0145631067961165,0.0883333333333333,0,0,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
"11","BR","BRMA",6904241,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0370579945918268,0.0443684014018831,2720,0.00225197486440472,0.00236471850571244,2720,NA,NA,NA,NA
