"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"5","BR","BRBA",15203934,NA,NA,NA,NA,20,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"6","BR","BRCE",8904459,NA,NA,NA,NA,10,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"7","BR","BRDF",2914830,0.02,0.02,0,0,100,0.02,0.02,0,0,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
"10","BR","BRGO",6610681,0.01,0.01,0,0,200,0.01,0.01,0,0,204453710,NA,NA,NA,NA,622,0.0497726182617961,0.0520137370337051,2216,0.00374928756546436,0.00301191533249792,2216,NA,NA,NA,NA
