"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"5","BR","BRBA",15203934,NA,NA,NA,NA,20,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"6","BR","BRCE",8904459,NA,NA,NA,NA,10,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"7","BR","BRDF",2914830,0.0207852193995381,0.0165079365079365,0.00233100233100233,0.001,433,0.0207852193995381,0.0165079365079365,0.00233100233100233,0.001,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"10","BR","BRGO",6610681,0.00847457627118644,0.00333333333333333,0,0,236,0.00847457627118644,0.00333333333333333,0,0,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"11","BR","BRMA",6904241,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"12","BR","BRMG",20869101,0.00842696629213483,0.00583333333333333,0.00604229607250755,0.00285714285714286,712,0.00842696629213483,0.00583333333333333,0.00604229607250755,0.00285714285714286,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"13","BR","BRMS",2651235,NA,NA,NA,NA,10,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"14","BR","BRMT",3265486,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"15","BR","BRPA",8175113,0.256,0.265,0.02,0.0125,250,0.256,0.265,0.02,0.0125,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"16","BR","BRPB",3972202,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"17","BR","BRPE",9345173,0.10958904109589,0.0977777777777778,0.0180505415162455,0.02,584,0.10958904109589,0.0977777777777778,0.0180505415162455,0.02,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"18","BR","BRPI",3204028,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"19","BR","BRPR",11163018,0.0360576923076923,0.0717142857142857,0.00240384615384615,0.00285714285714286,416,0.0360576923076923,0.0717142857142857,0.00240384615384615,0.00285714285714286,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"20","BR","BRRJ",16550024,0.134782608695652,0.102627450980392,0.00869565217391304,0.004,230,0.134782608695652,0.102627450980392,0.00869565217391304,0.004,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"21","BR","BRRN",3442175,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"22","BR","BRRO",1768204,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"23","BR","BRRR",505665,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"24","BR","BRRS",11247972,0.0131086142322097,0.0085,0,0,534,0.0131086142322097,0.0085,0,0,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
"25","BR","BRSC",6819190,0,0,0,0,180,0,0,0,0,204453710,0.00482315112540193,0.0015,0,0,622,0.0342321056004757,0.0352907688770898,0.0042118324252112,0.00374059614587226,12443,0.0328320007643872,0.0336820541245793,0.0040113150299964,0.00356251342082576
