"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","2020/03/23",55,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"2","2020/03/24",55,60,0,NA,NA,NA,NA,0.0833333333333333,0.05,0,0,NA,NA,NA,NA
"3","2020/03/25",55,60,0,NA,NA,NA,NA,0.0833333333333333,0.05,0,0,NA,NA,NA,NA
"4","2020/03/26",175,62,0,NA,NA,NA,NA,0.0161290322580645,0.01,0,0,NA,NA,NA,NA
"5","2020/03/27",175,80,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"6","2020/03/30",175,80,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"7","2020/03/31",410,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"8","2020/04/01",410,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"9","2020/04/02",410,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"10","2020/04/07",410,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"11","2020/04/08",510,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"12","2020/04/09",510,100,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"13","2020/04/11",700,100,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"14","2020/04/12",700,100,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"15","2020/04/13",700,100,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"16","2020/04/14",700,100,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"17","2020/04/15",700,250,0,0,0,NA,NA,0.00731850858715911,0.00731850858715911,0,0,0.00192592331241029,0.00192592331241029,NA,NA
"18","2020/04/16",832,250,0,0.0180288461538462,0.0281547619047619,NA,NA,0.00731850858715911,0.00731850858715911,0,0,0.0155541840543344,0.0233404704727834,NA,NA
"19","2020/04/17",674,250,0,0.0281899109792285,0.0400595238095238,NA,NA,0.00731850858715911,0.00731850858715911,0,0,0.0225428865224998,0.031201024019923,NA,NA
"20","2020/04/18",724,250,0,0.0290055248618785,0.042047619047619,NA,NA,0.00975801144954548,0.00975801144954548,0,0,0.0240651980106636,0.0337597320871279,NA,NA
"21","2020/04/19",724,250,0,0.0290055248618785,0.042047619047619,NA,NA,0.00975801144954548,0.00975801144954548,0,0,0.0240651980106636,0.0337597320871279,NA,NA
"22","2020/04/20",668,250,0,0.0389221556886228,0.0534112554112554,NA,NA,0.00975801144954548,0.00975801144954548,0,0,0.0309798506126213,0.0415231170774564,NA,NA
"23","2020/04/23",710,250,0,0.0436619718309859,0.0593781975600157,NA,NA,0.00975801144954548,0.00975801144954548,0,0,0.0348328154816525,0.0464562740937474,NA,NA
"24","2020/04/25",710,250,0,0.0436619718309859,0.0593781975600157,NA,NA,0.00975801144954548,0.00975801144954548,0,0,0.0348328154816525,0.0464562740937474,NA,NA
