"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/27 10:27:33 AM GMT+1","Comunidad Foral de Navarra","200","4"
"2020/03/27 11:26:58 AM GMT+1","Todo el país","50","10"
"2020/03/27 11:54:45 AM GMT+1","Comunidad de Madrid","25","8"
"2020/03/27 12:09:59 PM GMT+1","Castilla y León","1","0"
"2020/03/27 12:14:30 PM GMT+1","Cataluña","100","50"
"2020/03/27 12:39:26 PM GMT+1","País Vasco","200","10"
"2020/03/27 12:40:43 PM GMT+1","Andalucía","100","1"
"2020/03/27 1:03:06 PM GMT+1","Comunidad Valenciana","8","0"
"2020/03/27 1:49:40 PM GMT+1","Comunidad de Madrid","30","5"
"2020/03/27 2:29:56 PM GMT+1","Andalucía","100","4"
"2020/03/27 3:18:15 PM GMT+1","Canarias","100","0"
"2020/03/27 4:31:32 PM GMT+1","Andalucía","100","78"
"2020/03/27 5:34:52 PM GMT+1","Andalucía","100","1"
"2020/03/27 5:50:46 PM GMT+1","Cataluña","100","1"
"2020/03/27 7:22:09 PM GMT+1","País Vasco","100","2"
"2020/03/27 7:39:00 PM GMT+1","Cataluña","200","1"
"2020/03/27 7:42:10 PM GMT+1","Galicia","10","0"
"2020/03/27 9:14:19 PM GMT+1","Comunidad de Madrid","50","4"
"2020/03/27 9:59:59 PM GMT+1","Aragón","200","10"
"2020/03/28 7:50:36 AM GMT+1","Andalucía","60","0"
"2020/03/28 8:10:30 AM GMT+1","Comunidad de Madrid","300","20"
"2020/03/28 10:13:27 AM GMT+1","Comunidad Valenciana","100","8"
"2020/03/28 10:37:10 AM GMT+1","Comunidad de Madrid","30","5"
"2020/03/28 11:11:22 AM GMT+1","Aragón","100","0"
"2020/03/28 12:05:06 PM GMT+1","Comunidad de Madrid","30","7"
"2020/03/28 12:07:56 PM GMT+1","Comunidad de Madrid","10","0"
"2020/03/28 1:23:44 PM GMT+1","Comunidad de Madrid","50","4"
"2020/03/28 2:02:28 PM GMT+1","Extremadura","5","0"
"2020/03/28 2:03:07 PM GMT+1","Extremadura","300","8"
"2020/03/28 2:06:04 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 2:06:16 PM GMT+1","Castilla y León","300","20"
"2020/03/28 2:06:20 PM GMT+1","Comunidad de Madrid","60","6"
"2020/03/28 2:10:36 PM GMT+1","País Vasco","150","0"
"2020/03/28 2:14:10 PM GMT+1","Comunidad de Madrid","40","5"
"2020/03/28 2:14:13 PM GMT+1","Extremadura","100","4"
"2020/03/28 2:18:23 PM GMT+1","Andalucía","1000","1"
"2020/03/28 2:35:41 PM GMT+1","País Vasco","200","0"
"2020/03/28 2:41:03 PM GMT+1","Comunidad de Madrid","50","3"
"2020/03/28 3:04:56 PM GMT+1","País Vasco","100","5"
"2020/03/28 3:05:00 PM GMT+1","Comunidad de Madrid","400","9"
"2020/03/28 3:09:06 PM GMT+1","País Vasco","250","5"
"2020/03/28 3:09:32 PM GMT+1","Castilla-La Mancha","50","0"
"2020/03/28 3:12:15 PM GMT+1","Todo el país","50","3"
"2020/03/28 3:14:05 PM GMT+1","Extremadura","50","3"
"2020/03/28 3:17:13 PM GMT+1","Comunidad de Madrid","100","30"
"2020/03/28 3:17:32 PM GMT+1","Comunidad de Madrid","30","10"
"2020/03/28 3:19:34 PM GMT+1","Cantabria","30","0"
"2020/03/28 3:21:38 PM GMT+1","Castilla y León","150","90"
"2020/03/28 3:23:50 PM GMT+1","Comunidad de Madrid","40","4"
"2020/03/28 3:24:29 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 3:24:33 PM GMT+1","Comunidad de Madrid","60","0"
"2020/03/28 3:27:06 PM GMT+1","Baleares","140","1"
"2020/03/28 3:32:44 PM GMT+1","Comunidad de Madrid","500","10"
"2020/03/28 3:33:05 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 3:33:18 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/28 3:34:05 PM GMT+1","Comunidad de Madrid","120","10"
"2020/03/28 3:35:19 PM GMT+1","Comunidad Foral de Navarra","500","6"
"2020/03/28 3:40:45 PM GMT+1","Principado de Asturias","30","3"
"2020/03/28 3:43:18 PM GMT+1","Comunidad de Madrid","50","7"
"2020/03/28 3:45:13 PM GMT+1","Comunidad de Madrid","300","10"
"2020/03/28 3:54:59 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 4:02:26 PM GMT+1","Comunidad de Madrid","10","0"
"2020/03/28 4:03:22 PM GMT+1","Galicia","150","0"
"2020/03/28 4:12:00 PM GMT+1","Cataluña","20","2"
"2020/03/28 4:13:57 PM GMT+1","Comunidad de Madrid","200","10"
"2020/03/28 4:29:45 PM GMT+1","Andalucía","30","4"
"2020/03/28 4:49:20 PM GMT+1","Todo el país","500","20"
"2020/03/28 5:02:50 PM GMT+1","Comunidad de Madrid","40","6"
"2020/03/28 5:24:06 PM GMT+1","Castilla y León","20","3"
"2020/03/28 5:36:42 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/28 6:21:11 PM GMT+1","Castilla-La Mancha","100","4"
"2020/03/28 6:23:35 PM GMT+1","Todo el país","100","5"
"2020/03/28 6:23:55 PM GMT+1","Castilla y León","100","5"
"2020/03/28 6:24:49 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/28 6:24:51 PM GMT+1","Comunidad de Madrid","30","0"
"2020/03/28 6:25:19 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/28 6:25:44 PM GMT+1","Castilla-La Mancha","300","16"
"2020/03/28 6:27:47 PM GMT+1","Comunidad de Madrid","200","8"
"2020/03/28 6:30:49 PM GMT+1","Andalucía","100","3"
"2020/03/28 6:30:56 PM GMT+1","Todo el país","100","15"
"2020/03/28 6:32:49 PM GMT+1","Andalucía","100","0"
"2020/03/28 6:35:50 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/28 6:37:22 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/28 6:37:25 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/28 6:39:06 PM GMT+1","Todo el país","200","3"
"2020/03/28 6:39:11 PM GMT+1","Todo el país","150","07"
"2020/03/28 6:39:26 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/28 6:39:51 PM GMT+1","Todo el país","200","2"
"2020/03/28 6:40:22 PM GMT+1","Todo el país","100","0"
"2020/03/28 6:40:37 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/28 6:40:51 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/28 6:41:05 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/28 6:41:09 PM GMT+1","Extremadura","50","6"
"2020/03/28 6:42:17 PM GMT+1","Comunidad de Madrid","100","12"
"2020/03/28 6:43:09 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 6:49:31 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 6:51:46 PM GMT+1","Castilla-La Mancha","100","2"
"2020/03/28 6:52:18 PM GMT+1","Comunidad de Madrid","200","25"
"2020/03/28 6:52:22 PM GMT+1","Comunidad de Madrid","80","0"
"2020/03/28 6:52:37 PM GMT+1","Comunidad de Madrid","150","1"
"2020/03/28 6:56:32 PM GMT+1","Comunidad de Madrid","200","30"
"2020/03/28 6:56:59 PM GMT+1","País Vasco","10","0"
"2020/03/28 6:57:57 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/28 7:01:13 PM GMT+1","Todo el país","100","4"
"2020/03/28 7:04:17 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 7:04:40 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 7:06:15 PM GMT+1","Comunidad de Madrid","175","8"
"2020/03/28 7:07:23 PM GMT+1","Comunidad de Madrid","3","3"
"2020/03/28 7:10:31 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/28 7:14:54 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/28 7:16:41 PM GMT+1","Comunidad de Madrid","200","40"
"2020/03/28 7:16:52 PM GMT+1","Andalucía","30","0"
"2020/03/28 7:16:59 PM GMT+1","Comunidad de Madrid","30","0"
"2020/03/28 7:18:07 PM GMT+1","Comunidad de Madrid","100","12"
"2020/03/28 7:18:08 PM GMT+1","Región de Murcia","50","0"
"2020/03/28 7:24:20 PM GMT+1","Comunidad de Madrid","300","20"
