"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/29 1:15:03 AM GMT+2","Comunidad de Madrid","30","1"
"2020/03/29 1:35:03 AM GMT+2","Comunidad de Madrid","500","10"
"2020/03/29 1:53:38 AM GMT+2","Comunidad de Madrid","50","4"
"2020/03/29 2:14:20 AM GMT+2","Aragón","120","1"
"2020/03/29 2:38:27 AM GMT+2","Todo el país","1000","1"
"2020/03/29 9:29:08 AM GMT+2","Andalucía","300","5"
"2020/03/29 10:00:04 AM GMT+2","Comunidad de Madrid","15","0"
"2020/03/29 10:06:51 AM GMT+2","Cataluña","100","3"
"2020/03/29 10:19:49 AM GMT+2","Andalucía","100","0"
"2020/03/29 10:38:16 AM GMT+2","Castilla-La Mancha","1000","5"
"2020/03/29 10:45:05 AM GMT+2","Comunidad de Madrid","500","5"
"2020/03/29 11:00:00 AM GMT+2","Cataluña","100","0"
"2020/03/29 11:04:32 AM GMT+2","Comunidad de Madrid","50","2"
"2020/03/29 11:53:43 AM GMT+2","Castilla y León","100","0"
"2020/03/29 11:58:12 AM GMT+2","País Vasco","100","20"
"2020/03/29 12:05:25 PM GMT+2","Comunidad de Madrid","100","7"
"2020/03/29 12:06:32 PM GMT+2","Comunidad de Madrid","50","3"
"2020/03/29 12:18:29 PM GMT+2","Cataluña","70","0"
"2020/03/29 1:09:38 PM GMT+2","Comunidad de Madrid","100","5"
"2020/03/29 1:36:32 PM GMT+2","Comunidad de Madrid","100","4"
"2020/03/29 1:37:50 PM GMT+2","Comunidad de Madrid","30","0"
"2020/03/29 2:12:43 PM GMT+2","Comunidad de Madrid","100","10"
"2020/03/29 2:18:07 PM GMT+2","Canarias","100","1"
"2020/03/29 2:18:29 PM GMT+2","Comunidad de Madrid","350","0"
"2020/03/29 2:39:46 PM GMT+2","Andalucía","10","0"
"2020/03/29 3:08:45 PM GMT+2","Comunidad Valenciana","30","6"
