"","countrycode","regioncode","population_region","estprop_regs","meanprop_regs","sumreach_regs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"1","EC","ECA",881394,0,0,394,0,0,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"2","EC","ECB",209933,0,0,10,0,0,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"3","EC","ECC",186869,0,0,158,0,0,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"4","EC","ECD",161338,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"5","EC","ECE",643654,0,0,10,0,0,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"6","EC","ECF",281396,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"7","EC","ECG",4387434,0.157142857142857,0.16,140,0.16,0.157142857142857,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"8","EC","ECH",524004,0.0188679245283019,0.0144927536231884,53,0.0144927536231884,0.0188679245283019,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"9","EC","ECI",476257,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"10","EC","ECL",521154,0.00256410256410256,0.0025,780,0.0025,0.00256410256410256,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"11","EC","ECM",1562079,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"12","EC","ECN",133705,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"13","EC","ECO",715751,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"14","EC","ECP",3228233,0.0158959537572254,0.0137037037037037,7612,0.0137037037037037,0.0158959537572254,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"15","EC","ECR",921763,0,0,30,0,0,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"16","EC","ECS",196535,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"17","EC","ECSD",458580,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"18","EC","ECSE",401178,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"19","EC","ECT",590600,0.0163466116489446,0.0184598573729009,6301,0.0184598573729009,0.0163466116489446,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"20","EC","ECU",230503,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"21","EC","ECW",33042,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"22","EC","ECX",488716,0.0735294117647059,0.0555555555555556,136,0.0555555555555556,0.0735294117647059,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"23","EC","ECY",114202,0.166666666666667,0.166666666666667,6,0.166666666666667,0.166666666666667,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
"24","EC","ECZ",120416,NA,NA,0,NA,NA,17468736,0.0213953488372093,0.0286507936507937,2150,0.046747279969771,0.0464951947128902,15630,0.0443374071828841,0.043681664000423
