Timestamp,Region,Reach,Cases
2020/03/23 7:47:49 AM GMT+1,,80,0
2020/03/23 7:48:18 AM GMT+1,,20,0
2020/03/23 7:49:46 AM GMT+1,,300,1
2020/03/23 7:50:21 AM GMT+1,,50,0
2020/03/23 7:51:58 AM GMT+1,,30,0
2020/03/23 7:55:06 AM GMT+1,,20,0
2020/03/23 7:55:27 AM GMT+1,,20,0
2020/03/23 8:01:32 AM GMT+1,,30,0
2020/03/23 8:08:19 AM GMT+1,,20,0
2020/03/23 8:08:37 AM GMT+1,,200,0
2020/03/23 8:12:31 AM GMT+1,,500,2
2020/03/23 8:13:03 AM GMT+1,,200000,0
2020/03/23 8:15:45 AM GMT+1,,12,0
2020/03/23 8:16:58 AM GMT+1,,33,0
2020/03/23 8:17:17 AM GMT+1,,150,1
2020/03/23 8:32:58 AM GMT+1,,50,0
2020/03/23 8:37:33 AM GMT+1,,35,0
2020/03/23 8:37:48 AM GMT+1,,70,0
2020/03/23 8:42:07 AM GMT+1,,50,0
2020/03/23 9:11:57 AM GMT+1,,300,0
2020/03/23 9:16:49 AM GMT+1,,52,0
2020/03/23 9:41:07 AM GMT+1,,50,0
2020/03/23 9:56:51 AM GMT+1,,60,2
2020/03/23 9:57:28 AM GMT+1,,70,3
2020/03/23 11:02:11 AM GMT+1,,100,6
2020/03/23 11:54:59 AM GMT+1,,20,0
2020/03/23 12:00:03 PM GMT+1,,25,0
2020/03/23 12:22:53 PM GMT+1,,10,0
2020/03/23 12:48:41 PM GMT+1,,15,0
2020/03/23 3:18:54 PM GMT+1,,100,0
2020/03/23 3:42:54 PM GMT+1,,100,0
2020/03/23 3:50:00 PM GMT+1,,60,0
2020/03/23 3:50:23 PM GMT+1,,40,0
2020/03/23 3:56:50 PM GMT+1,,30,1
2020/03/23 4:00:52 PM GMT+1,,20,0
2020/03/23 4:02:06 PM GMT+1,,20,0
2020/03/23 4:44:37 PM GMT+1,,15,0
2020/03/23 4:55:16 PM GMT+1,,40,0
2020/03/23 4:59:07 PM GMT+1,,70,0
