region,iso31662,pop_district
all_country,IT,60359546
Abruzzo,IT65,1311580
Basilicata,IT77,562869
Calabria,IT78,1947131
Campania,IT72,5801692
Emilia-Romagna,IT45,4459477
Friuli-Venezia Giulia,IT36,1215220
Lazio,IT62,5879082
Liguria,IT42,1550640
Lombardia,IT25,10060574
Marche,IT57,1525271
Molise,IT67,305617
Piemonte,IT21,4356406
Puglia,IT75,4029053
Sardegna,IT88,1639591
Sicilia,IT82,4999891
Toscana,IT52,3729641
Trentino-Alto Adige,IT32,1072276
Umbria,IT55,882015
Valle d'Aosta,IT23,125666
Veneto,IT34,4905854
