"","date","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop","estimated_cases","estimate_cases_low","estimate_cases_high","prop_cases","prop_cases_low","prop_cases_high"
"1","2020/04/07",0.00235632697132994,-0.00076646867156563,0.00547912261422551,0.0023032839280322,106758.63155096,-34726.5670251378,248243.830127058,104355.398559671,-134540.391390899,343251.18851024
"2","2020/04/08",0.00773521427473137,0.00361066482252684,0.0118597637269359,0.00796428105062823,350461.078098038,163589.196292479,537332.959903596,360839.457595488,154131.132184475,567547.783006501
"3","2020/04/09",0.00967955181215233,0.00604894775943256,0.0133101558648721,0.0105697130106789,438553.61249324,274061.025051961,603046.199934518,478884.344420831,306357.768549572,651410.92029209
"4","2020/04/10",0.00982323546061462,0.00661884511346735,0.0130276258077619,0.0108137273615061,445063.519595574,299881.491558326,590245.547632823,489939.95702896,340405.884310693,639474.029747226
"5","2020/04/11",0.00646046368131856,0.00487339354984871,0.00804753381278842,0.00582612191777574,292705.668692901,220799.928329757,364611.409056045,263965.404953853,191466.448913919,336464.360993787
"6","2020/04/12",0.00311886309306786,0.000990890449372708,0.00524683573676302,0.00461199823149758,141307.025664095,44894.4945582995,237719.556769891,208956.832350066,110967.19122486,306946.473475273
"7","2020/04/13",0.00356068658170654,0.00127131933334534,0.00585005383006773,0.00546373630420663,161324.820990486,57599.9485400886,265049.693440883,247546.719147886,142763.873688111,352329.56460766
"8","2020/04/14",0.00353919688107372,0.00129207307698979,0.00578632068515765,0.00541062751475746,160351.182331711,58540.2430314725,262162.12163195,245140.507381052,142282.358084648,347998.656677457
"9","2020/04/15",0.00351918597396844,0.00129017371683208,0.00574819823110481,0.00539340772020136,159444.54370106,58454.1882972497,260434.899104871,244360.326309085,142362.822350138,346357.830268031
"10","2020/04/16",0.00352246801489507,0.00131064922184707,0.00573428680794308,0.00539542068299291,159593.243861218,59381.8765690015,259804.611153435,244451.528063172,143271.322106656,345631.734019688
"11","2020/04/17",0.00352354656799254,0.00131815127124543,0.00572894186473965,0.00539469540787701,159642.110106923,59721.7735940501,259562.446619795,244418.667861759,143542.855086433,345294.480637085
"12","2020/04/18",0.00352829040257353,0.00133317244293296,0.00572340836221409,0.00539724639343175,159857.040078159,60402.3411694186,259311.738986899,244534.245933158,144145.947198419,344922.544667897
"13","2020/04/19",0.00351832981185556,0.00135251933731408,0.00568414028639705,0.0053628565401441,159405.753373288,61278.895227501,257532.611519075,242976.137181317,143950.941659007,342001.332703627
"14","2020/04/20",0.00351915343313951,0.00135940599605718,0.00567890087022183,0.00536012550768763,159443.069366467,61590.9106108999,257295.228122034,242852.401684792,144113.165518967,341591.637850617
"15","2020/04/21",0.00352033324770714,0.00136819532924014,0.00567247116617414,0.00536204108770107,159496.523488182,61989.1308894415,257003.916086922,242939.191295635,144561.782962513,341316.599628756
"16","2020/04/23",0.00351991467931987,0.00136975058910071,0.00567007876953903,0.00536048505517387,159477.559316919,62059.5953947674,256895.52323907,242868.69178293,144584.363027644,341153.020538216
"17","2020/04/24",0.00351966467499374,0.0013714692209221,0.00566786012906537,0.00535894540193644,159466.232315164,62137.4618299539,256795.002800374,242798.934370359,144607.359073762,340990.509666956
"18","2020/04/25",0.00352105030005601,0.00137642038868489,0.00566568021142714,0.00536387685188061,159529.011138855,62361.7854918928,256696.236785817,243022.364672693,145002.05634624,341042.672999145
"19","2020/04/26",0.00352105030005601,0.00137642038868489,0.00566568021142714,0.00536387685188061,159529.011138855,62361.7854918928,256696.236785817,243022.364672693,145002.05634624,341042.672999145
"20","2020/04/29",0.0035208036705857,0.00137812346593967,0.00566348387523173,0.00536234355700072,159517.837042445,62438.9471928614,256596.726892028,242952.895339645,145024.414247873,340881.376431417
"21","2020/04/30",0.00352250549452872,0.00138172025450635,0.0056632907345511,0.00536476634586451,159594.941959338,62601.9076945358,256587.976224141,243062.665174979,145224.483150559,340900.847199398
"22","2020/05/02",0.00352213902746102,0.00138329293904987,0.00566098511587218,0.00536389756058391,159578.33835418,62673.1616638581,256483.515044501,243023.302926531,145276.838777833,340769.767075229
"23","2020/05/12",0.00352396897733448,0.00138683699728177,0.00566110095738719,0.00536888774497339,159661.248301175,62833.7331004956,256488.763501855,243249.394323476,145586.040864865,340912.747782088
"24","2020/05/17",0.00490930286171834,0.00255324149646537,0.00726536422697132,0.00641135149297224,222426.879530411,115680.28185321,329173.477207612,290480.531823476,182815.664866658,398145.398780295
