"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","IT","IT21","ITAL",421284,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"2","IT","IT21","ITVC",170911,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"3","IT","IT21","ITAT",214638,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"4","IT","IT21","ITTO",2259523,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"5","IT","IT21","ITCN",587089,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"6","IT","IT21","ITVB",158349,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"7","IT","IT21","ITNO",369018,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"8","IT","IT21","ITBI",175585,NA,NA,0,4356397,0.06,0.06,50,0,0,0,0.06,0.06,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"9","IT","IT23","ITAO",125666,NA,NA,0,125666,NA,NA,0,0,0,0,NA,NA,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"10","IT","IT25","ITBS",1265954,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"11","IT","IT25","ITBG",1114590,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
