"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","PT","PT01",714200,0,0,100,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"2","PT","PT02",152758,0,0,100,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"3","PT","PT03",848185,0,0,30,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"4","PT","PT04",136252,0,0,20,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"5","PT","PT05",196264,0,0,40,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"6","PT","PT06",430104,0.04,0.04,100,0.04,0.04,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"7","PT","PT07",166706,0,0,100,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"8","PT","PT08",451006,0,0,100,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"9","PT","PT09",160939,0.05,0.05,100,0.05,0.05,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"10","PT","PT10",470930,0,0,60,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"11","PT","PT11",2250533,0,0,70,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"12","PT","PT12",118506,0,0,20,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"13","PT","PT13",1817117,0.02,0.02,100,0.02,0.02,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"14","PT","PT14",453638,0,0,50,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"15","PT","PT15",851258,0,0,13,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"16","PT","PT16",244836,0,0,50,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"17","PT","PT17",206661,0,0,20,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"18","PT","PT18",377653,0,0,50,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"19","PT","PT20",245766,0,0,75,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
"20","PT","PT30",267785,0,0,50,0,0,10561097,0.00458715596330275,0.00480769230769231,4796,0.00583210721386235,0.00583210721386235,1248,0.00484422068214762,0.0050192194094296
