"Timestamp","Por favor, escolha um distrito/região.","Quantas pessoas conhece nessa área geográfica?","De acordo com o seu conhecimento, quantas destas pessoas apresentam sintomas compatíveis com COVID-19 (ou foram diagnosticadas com esta doença)?"
"2020/03/22 7:16:23 PM GMT+1","Braga","15","0"
"2020/03/22 7:37:30 PM GMT+1","Faro","30","0"
"2020/03/22 7:39:39 PM GMT+1","Porto","100","0"
"2020/03/22 7:42:32 PM GMT+1","Porto","100","2"
"2020/03/22 8:10:37 PM GMT+1","Braga","30","0"
"2020/03/22 8:17:51 PM GMT+1","Lisboa","500","1"
"2020/03/22 8:25:50 PM GMT+1","Faro","100","0"
"2020/03/22 8:42:44 PM GMT+1","Viana do Castelo","100","0"
"2020/03/22 9:43:03 PM GMT+1","Lisboa","100","0"
"2020/03/22 9:46:46 PM GMT+1","Beja","20","0"
"2020/03/22 9:57:45 PM GMT+1","Beja","100","0"
"2020/03/22 10:00:41 PM GMT+1","Beja","100","0"
"2020/03/22 10:13:04 PM GMT+1","Braga","50","0"
"2020/03/22 10:16:13 PM GMT+1","Braga","30","1"
"2020/03/22 10:19:01 PM GMT+1","Braga","3","2"
"2020/03/22 10:22:33 PM GMT+1","Braga","20","0"
"2020/03/22 10:23:05 PM GMT+1","Braga","100","3"
"2020/03/22 10:24:41 PM GMT+1","Lisboa","250","3"
"2020/03/22 10:25:15 PM GMT+1","Viana do Castelo","100","0"
"2020/03/22 10:26:58 PM GMT+1","Faro","200","0"
"2020/03/22 10:27:24 PM GMT+1","Braga","300","0"
"2020/03/22 10:31:59 PM GMT+1","Braga","300","5"
"2020/03/22 10:32:30 PM GMT+1","Beja","5","5"
"2020/03/22 10:48:19 PM GMT+1","Beja","100","0"
"2020/03/22 11:18:08 PM GMT+1","Braga","120","0"
"2020/03/22 11:31:31 PM GMT+1","Braga","300","0"
"2020/03/22 11:33:55 PM GMT+1","Beja","100","0"
"2020/03/22 11:46:21 PM GMT+1","Braga","1000","5"
"2020/03/22 11:47:23 PM GMT+1","Porto","50","2"
"2020/03/22 11:49:37 PM GMT+1","Lisboa","20","0"
"2020/03/22 11:49:42 PM GMT+1","Porto","150","0"
"2020/03/22 11:51:22 PM GMT+1","Braga","100","0"
"2020/03/22 11:52:26 PM GMT+1","Porto","200","0"
"2020/03/22 11:59:10 PM GMT+1","Lisboa","50","0"
"2020/03/22 11:59:26 PM GMT+1","Lisboa","60","0"
"2020/03/23 12:00:48 AM GMT+1","Porto","120","0"
"2020/03/23 12:08:10 AM GMT+1","Évora","100","2"
"2020/03/23 12:08:52 AM GMT+1","Beja","1000","1"
"2020/03/23 12:09:19 AM GMT+1","Beja","500","0"
"2020/03/23 12:13:40 AM GMT+1","Lisboa","100","0"
"2020/03/23 12:21:54 AM GMT+1","Braga","70","0"
"2020/03/23 12:25:21 AM GMT+1","Beja","500","0"
"2020/03/23 12:28:31 AM GMT+1","Braga","5000","2"
"2020/03/23 12:49:46 AM GMT+1","Faro","50","0"
"2020/03/23 12:51:23 AM GMT+1","Lisboa","80","0"
"2020/03/23 1:10:19 AM GMT+1","Todo o país","150","0"
"2020/03/23 1:10:43 AM GMT+1","Todo o país","100","0"
"2020/03/23 1:13:16 AM GMT+1","Porto","100","0"
"2020/03/23 1:17:20 AM GMT+1","Todo o país","50","0"
"2020/03/23 1:18:21 AM GMT+1","Beja","80","0"
"2020/03/23 1:31:43 AM GMT+1","Braga","200","0"
"2020/03/23 1:32:47 AM GMT+1","Beja","100","0"
"2020/03/23 1:39:03 AM GMT+1","Beja","500","0"
"2020/03/23 1:46:32 AM GMT+1","Porto","100","0"
"2020/03/23 2:04:26 AM GMT+1","Porto","50","0"
"2020/03/23 2:22:03 AM GMT+1","Faro","50","0"
"2020/03/23 2:49:19 AM GMT+1","Braga","300","0"
"2020/03/23 3:18:37 AM GMT+1","Beja","50","0"
"2020/03/23 3:18:49 AM GMT+1","Todo o país","100","0"
"2020/03/23 3:24:21 AM GMT+1","Porto","25","3"
"2020/03/23 3:28:01 AM GMT+1","Viana do Castelo","500","1"
"2020/03/23 3:38:59 AM GMT+1","Lisboa","60","0"
"2020/03/23 4:06:28 AM GMT+1","Braga","100","0"
"2020/03/23 4:48:54 AM GMT+1","Lisboa","20","0"
"2020/03/23 7:39:36 AM GMT+1","Beja","100","0"
"2020/03/23 9:02:08 AM GMT+1","Lisboa","30","0"
"2020/03/23 9:35:09 AM GMT+1","Todo o país","100","0"
"2020/03/23 9:39:25 AM GMT+1","Braga","500","0"
"2020/03/23 9:50:47 AM GMT+1","Madeira","100","0"
"2020/03/23 10:12:59 AM GMT+1","Todo o país","3000","0"
"2020/03/23 10:20:09 AM GMT+1","Braga","100","0"
"2020/03/23 10:37:25 AM GMT+1","Porto","100","0"
"2020/03/23 11:21:47 AM GMT+1","Lisboa","100","0"
"2020/03/23 11:33:25 AM GMT+1","Todo o país","100","0"
"2020/03/23 11:35:29 AM GMT+1","Beja","100","0"
"2020/03/23 11:41:01 AM GMT+1","Lisboa","100","0"
"2020/03/23 11:59:50 AM GMT+1","Braga","200","3"
"2020/03/23 12:01:10 PM GMT+1","Lisboa","100","0"
"2020/03/23 12:04:31 PM GMT+1","Braga","100","0"
"2020/03/23 12:29:36 PM GMT+1","Lisboa","30","0"
