"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"22","ES","ESCL","ESBU",356958,NA,NA,NA,NA,0,0,2399548,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"23","ES","ESCL","ESSO",88636,NA,NA,NA,NA,0,0,2399548,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"24","ES","ESCM","ESCU",196329,NA,NA,NA,NA,0,0,2032863,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"25","ES","ESCM","ESTO",694844,0.0571428571428571,0.0655555555555556,0,0,210,3,2032863,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"26","ES","ESCM","ESCR",495761,NA,NA,NA,NA,0,0,2032863,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"27","ES","ESCM","ESGU",257762,NA,NA,NA,NA,0,0,2032863,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"28","ES","ESCM","ESAB",388167,NA,NA,NA,NA,0,0,2032863,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"29","ES","ESCN","ESTF",1032983,NA,NA,NA,NA,0,0,2153389,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"30","ES","ESCN","ESGC",1120406,NA,NA,NA,NA,0,0,2153389,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"31","ES","ESCT","ESB",5664579,0.012987012987013,0.00555555555555556,0,0,77,3,7675217,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"32","ES","ESCT","ESL",434930,NA,NA,NA,NA,0,0,7675217,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"33","ES","ESCT","EST",804664,NA,NA,NA,NA,0,0,7675217,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"34","ES","ESCT","ESGI",771044,NA,NA,NA,NA,0,0,7675217,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"35","ES","ESEX","ESCC",394151,NA,NA,NA,NA,0,0,1067710,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"36","ES","ESEX","ESBA",673559,NA,NA,NA,NA,0,0,1067710,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"37","ES","ESGA","ESLU",329587,0.025,0.025,0,0,40,1,2699499,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"38","ES","ESGA","ESPO",942665,NA,NA,NA,NA,0,0,2699499,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"39","ES","ESGA","ESC",1119596,0.15,0.15,0,0,40,1,2699499,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"40","ES","ESGA","ESOR",307651,NA,NA,NA,NA,0,0,2699499,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"41","ES","ESIB","ESPM",1149460,NA,NA,NA,NA,0,0,1149460,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"42","ES","ESMC","ESMU",1493898,NA,NA,NA,NA,0,0,1493898,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"43","ES","ESMD","ESM",6663394,0.105678233438486,0.0983217151754701,0.000794912559618442,0.000952380952380952,1268,22,6663394,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"44","ES","ESML","ESML",86487,NA,NA,NA,NA,0,0,86487,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"45","ES","ESNC","ESNA",654214,0.0428571428571429,0.06,0,0,70,2,654214,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"46","ES","ESPV","ESSS",723576,NA,NA,NA,NA,0,0,2207776,0.25,0.25,0,0,40,1,0.101365539446307,0.130740344347407,0.0280366186891819,0.0194153584422585,327,327,0.11756548065107,0.143738671938971,0.0249808564342302,0.0172992430807044,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"47","ES","ESPV","ESVI",331549,0.14,0.14,0,0,50,1,2207776,0.25,0.25,0,0,40,1,0.101365539446307,0.130740344347407,0.0280366186891819,0.0194153584422585,327,327,0.11756548065107,0.143738671938971,0.0249808564342302,0.0172992430807044,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"48","ES","ESPV","ESBI",1152651,0.0902527075812274,0.12807689324906,0.036101083032491,0.025,277,4,2207776,0.25,0.25,0,0,40,1,0.101365539446307,0.130740344347407,0.0280366186891819,0.0194153584422585,327,327,0.11756548065107,0.143738671938971,0.0249808564342302,0.0172992430807044,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"49","ES","ESRI","ESLO",316798,0.08,0.08,0,0,50,1,316798,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"50","ES","ESVC","ESA",1858683,NA,NA,NA,NA,0,0,5003769,0.00869565217391304,0.00869565217391304,0,0,115,1,0.00857843137254902,0.00760869565217391,0,0,816,816,0.00859291084854995,0.00774295988418251,0,0,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"51","ES","ESVC","ESCS",579962,NA,NA,NA,NA,0,0,5003769,0.00869565217391304,0.00869565217391304,0,0,115,1,0.00857843137254902,0.00760869565217391,0,0,816,816,0.00859291084854995,0.00774295988418251,0,0,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
"52","ES","ESVC","ESV",2565124,0.00857843137254902,0.00760869565217391,0,0,816,8,5003769,0.00869565217391304,0.00869565217391304,0,0,115,1,0.00857843137254902,0.00760869565217391,0,0,816,816,0.00859291084854995,0.00774295988418251,0,0,47026208,0.06,0,100,1,0.0419542812994488,155,0.00764775582693292,155,0.0490310337310375,0.00464863589480236
