"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"5","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"7","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,0,8414240,0.0347034211174009,0.0376298769659104,NA,NA,8126,116,0,0,0,0,0,0,0.0347034211174009,0.0376298769659104,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,0,1319291,0.0416901408450704,0.0480434782608696,NA,NA,1775,23,0,0,0,0,0,0,0.0416901408450704,0.0480434782608696,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,0,1319291,0.0416901408450704,0.0480434782608696,NA,NA,1775,23,0,0,0,0,0,0,0.0416901408450704,0.0480434782608696,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"11","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,0,1319291,0.0416901408450704,0.0480434782608696,NA,NA,1775,23,0,0,0,0,0,0,0.0416901408450704,0.0480434782608696,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"12","ES","ESAS","ESO",1022800,0.0301282051282051,0.0285964504378827,NA,NA,1560,23,1022800,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"13","ES","ESCB","ESS",581078,0.0571428571428571,0.0527777777777778,NA,NA,560,6,581078,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"14","ES","ESCE","ESCE",84777,NA,NA,NA,NA,0,0,84777,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,0,2399548,0.055408095554081,0.0707656926406926,NA,NA,3014,44,0,0,0,0,0,0,0.055408095554081,0.0707656926406926,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"16","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,0,2399548,0.055408095554081,0.0707656926406926,NA,NA,3014,44,0,0,0,0,0,0,0.055408095554081,0.0707656926406926,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"17","ES","ESCL","ESP",160980,NA,NA,NA,NA,0,0,2399548,0.055408095554081,0.0707656926406926,NA,NA,3014,44,0,0,0,0,0,0,0.055408095554081,0.0707656926406926,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
"18","ES","ESCL","ESSG",153129,NA,NA,NA,NA,0,0,2399548,0.055408095554081,0.0707656926406926,NA,NA,3014,44,0,0,0,0,0,0,0.055408095554081,0.0707656926406926,NA,NA,47026208,0.0716670947855125,NA,7786,81,0.0436346378130932,29714,0,0,0.0494549234127534,0
