"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"5","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"7","ES","ESAN","ESMA",1661785,0.1,0.1,0.02,0.02,50,1,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,0,8414240,0.0392857142857143,0.0456060606060606,0,0,280,4,0.1,0.1,0.02,0.02,50,50,0.0484848484848485,0.0538475665748393,0.00303030303030303,0.00303030303030303,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,0,1319291,0.04,0.04,0,0,50,1,0,0,0,0,0,0,0.04,0.04,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,0,1319291,0.04,0.04,0,0,50,1,0,0,0,0,0,0,0.04,0.04,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"11","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,0,1319291,0.04,0.04,0,0,50,1,0,0,0,0,0,0,0.04,0.04,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"12","ES","ESAS","ESO",1022800,0,0,0,0,50,1,1022800,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"13","ES","ESCB","ESS",581078,0.0636363636363636,0.08,0,0,110,2,581078,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"14","ES","ESCE","ESCE",84777,NA,NA,NA,NA,0,0,84777,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,0,2399548,0.0153846153846154,0.01,0,0,130,2,0,0,0,0,0,0,0.0153846153846154,0.01,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"16","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,0,2399548,0.0153846153846154,0.01,0,0,130,2,0,0,0,0,0,0,0.0153846153846154,0.01,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"17","ES","ESCL","ESP",160980,NA,NA,NA,NA,0,0,2399548,0.0153846153846154,0.01,0,0,130,2,0,0,0,0,0,0,0.0153846153846154,0.01,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
"18","ES","ESCL","ESSG",153129,NA,NA,NA,NA,0,0,2399548,0.0153846153846154,0.01,0,0,130,2,0,0,0,0,0,0,0.0153846153846154,0.01,0,0,47026208,0,0,4,4,0.0344147594076768,1325,0.00608417894259602,1325,0.0343111784914762,0.0060658668916025
