"","date","r_c","r_r","I_c_p_w_country","I_c_p_m_country","I_r_p_w_country","I_r_p_m_country","p_w_country","p_m_country"
"1","2020/03/22",120,780,NA,NA,0.00724055526303698,0.00724055526303698,NA,NA
"2","2020/03/23",220,1663,NA,NA,0.0314841131528324,0.0307136882869717,NA,NA
"3","2020/03/24",220,1683,NA,NA,0.0306928844619968,0.0299224595961361,NA,NA
"4","2020/03/25",220,1783,NA,NA,0.0356924275562324,0.0349775781141624,NA,NA
"5","2020/03/26",220,1783,NA,NA,0.0356924275562324,0.0349775781141624,NA,NA
"6","2020/03/27",220,2033,NA,NA,0.0342163171035267,0.0335401611563808,NA,NA
"7","2020/03/29",220,2228,NA,NA,0.0308133360106799,0.0266324783763716,NA,NA
"8","2020/03/30",220,2371,NA,NA,0.0188826050298529,0.0231769283084366,NA,NA
"9","2020/03/31",221,2481,NA,NA,0.0189170254513386,0.0242193429831058,NA,NA
"10","2020/04/01",221,2511,NA,NA,0.0193843816498807,0.0249292243341841,NA,NA
"11","2020/04/02",221,2641,NA,NA,0.01488037075617,0.0206559113314018,NA,NA
"12","2020/04/03",221,2696,NA,NA,0.0188534994344204,0.0292482920125191,NA,NA
"13","2020/04/04",221,2756,NA,NA,0.0184956124887245,0.0282468168177093,NA,NA
"14","2020/04/05",221,2695,NA,NA,0.0201229629655728,0.0289435910941962,NA,NA
"15","2020/04/06",221,2775,NA,NA,0.0193452086686411,0.027710836605027,NA,NA
"16","2020/04/07",221,2879,NA,NA,0.0211333935785528,0.0279187962909582,NA,NA
"17","2020/04/08",321,2856,NA,NA,0.0210933371833508,0.0278704772604299,NA,NA
"18","2020/04/09",421,2873,NA,NA,0.0213019370767614,0.035016326015016,NA,NA
"19","2020/04/10",679,2989,NA,NA,0.0223417025164194,0.0353665048834431,NA,NA
"20","2020/04/11",679,3259,NA,NA,0.0225909796605583,0.038405424012919,NA,NA
"21","2020/04/12",698,3191,NA,NA,0.0209261634127639,0.0353026137602135,NA,NA
"22","2020/04/13",698,3092,NA,NA,0.028103877164162,0.0415461274374703,NA,NA
"23","2020/04/14",698,3192,NA,NA,0.027751216237731,0.0402526848602887,NA,NA
"24","2020/04/15",698,3232,NA,NA,0.0286270218969233,0.0404013431173406,NA,NA
"25","2020/04/16",698,3272,NA,NA,0.0309812054487719,0.041811052852085,NA,NA
"26","2020/04/17",698,3301,NA,NA,0.0242334959471694,0.0342751017875062,NA,NA
"27","2020/04/18",698,3260,NA,NA,0.0264548738038194,0.0352856061770251,NA,NA
"28","2020/04/19",774,3295,NA,NA,0.0221174302314558,0.0320375013037717,NA,NA
"29","2020/04/20",774,3324,NA,NA,0.0215217573415753,0.0341917825983179,NA,NA
"30","2020/04/21",774,3262,NA,NA,0.0229858487097433,0.0369255335411246,NA,NA
"31","2020/04/22",774,3212,NA,NA,0.0232764813360868,0.0369255335411246,NA,NA
"32","2020/04/23",774,3252,NA,NA,0.0295225070570195,0.0406505363193453,NA,NA
"33","2020/04/24",874,3104,NA,NA,0.024670493610879,0.0364833414613909,NA,NA
"34","2020/04/25",874,3089,NA,NA,0.0245333162511314,0.034616233561716,NA,NA
"35","2020/04/26",874,3089,NA,NA,0.0245333162511314,0.034616233561716,NA,NA
"36","2020/04/27",874,3132,NA,NA,0.0280334836286498,0.0395313243488757,NA,NA
"37","2020/04/28",874,3082,NA,NA,0.0282976406477961,0.0395313243488757,NA,NA
"38","2020/04/29",874,3432,NA,NA,0.0292076150942925,0.0395807152454957,NA,NA
"39","2020/05/01",874,3392,NA,NA,0.0287581413598195,0.0393010426996014,NA,NA
"40","2020/05/03",913,3392,NA,NA,0.0287581413598195,0.0393010426996014,NA,NA
"41","2020/05/06",913,3232,NA,NA,0.0292912232389106,0.0393010426996014,NA,NA
"42","2020/05/07",913,3257,NA,NA,0.029205720647726,0.0391858992101394,NA,NA
"43","2020/05/08",913,3276,NA,NA,0.0294631817841167,0.0409993618821924,NA,NA
"44","2020/05/09",913,3299,NA,NA,0.0298028166928994,0.0429312141619756,NA,NA
"45","2020/05/10",913,3299,NA,NA,0.0298028166928994,0.0429312141619756,NA,NA
"46","2020/05/12",913,3309,NA,NA,0.0308698998417915,0.0425860778171794,NA,NA
"47","2020/05/13",913,3249,NA,NA,0.0311698832132902,0.0425860778171794,NA,NA
"48","2020/05/14",913,3389,NA,NA,0.0305144284492923,0.0404904129979427,NA,NA
"49","2020/05/15",913,3399,NA,NA,0.0304796577908698,0.0403439915183322,NA,NA
"50","2020/05/16",913,3289,NA,NA,0.0291476873181108,0.0399293722790391,NA,NA
"51","2020/05/18",914,3295,NA,NA,0.0291412181395287,0.0398373709685451,NA,NA
"52","2020/05/20",915,3302,NA,NA,0.0290444252270394,0.039705050653605,NA,NA
"53","2020/05/21",915,3289,NA,NA,0.0286006091545137,0.038604701929414,NA,NA
"54","2020/05/23",915,3289,NA,NA,0.0286006091545137,0.038604701929414,NA,NA
"55","2020/05/25",915,3293,NA,NA,0.0285717071672901,0.0384354647375601,NA,NA
"56","2020/05/26",915,3323,NA,NA,0.029607156887174,0.0403581313753234,NA,NA
"57","2020/05/29",915,3323,NA,NA,0.029607156887174,0.0403581313753234,NA,NA
"58","2020/06/02",915,3203,NA,NA,0.0307902189455841,0.0412770035054434,NA,NA
"59","2020/06/03",915,3223,NA,NA,0.0308910325584796,0.0418314783763688,NA,NA
"60","2020/06/05",915,3563,NA,NA,0.0245649223154535,0.0346407237264264,NA,NA
"61","2020/06/06",915,4142,NA,NA,0.0173067377971255,0.023111853797462,NA,NA
"62","2020/06/07",915,4177,NA,NA,0.0189346982484579,0.0267511927420102,NA,NA
"63","2020/06/08",915,4197,NA,NA,0.0195394724037812,0.0271770178772693,NA,NA
