"date" "region" "reach" "cases"
"6" "2020/03/22 12:14:30 PM GMT+1" "Andalucía" 1000 0
"18" "2020/03/22 12:38:41 PM GMT+1" "Comunidad Valenciana" 500 1
"33" "2020/03/22 1:01:52 PM GMT+1" "Comunidad de Madrid" 2000 2
"35" "2020/03/22 1:05:06 PM GMT+1" "Comunidad de Madrid" 1000 50
"68" "2020/03/22 2:46:53 PM GMT+1" "Comunidad de Madrid" 500 0
"74" "2020/03/22 2:51:53 PM GMT+1" "Comunidad de Madrid" 1000 2
"76" "2020/03/22 2:56:19 PM GMT+1" "Castilla-La Mancha" 6000 7
"109" "2020/03/22 4:29:04 PM GMT+1" "Comunidad de Madrid" 500 5
"119" "2020/03/22 4:40:49 PM GMT+1" "Comunidad de Madrid" 1000 10
"121" "2020/03/22 4:42:12 PM GMT+1" "Comunidad de Madrid" 3000 30
"125" "2020/03/22 4:45:13 PM GMT+1" "Comunidad de Madrid" 1000 6
"133" "2020/03/22 4:55:37 PM GMT+1" "Comunidad de Madrid" 500 0
"136" "2020/03/22 5:00:08 PM GMT+1" "Comunidad de Madrid" 1000 10
"154" "2020/03/22 6:37:28 PM GMT+1" "Castilla-La Mancha" 1000 0
"165" "2020/03/22 7:01:56 PM GMT+1" "Comunidad de Madrid" 500 7
"169" "2020/03/22 7:10:17 PM GMT+1" "País Vasco" 10000 1
"170" "2020/03/22 7:12:18 PM GMT+1" "Cataluña" 1000 0
"182" "2020/03/22 7:32:55 PM GMT+1" "Andalucía" 1200 0
"183" "2020/03/22 7:33:01 PM GMT+1" "Extremadura" 1000 1
"194" "2020/03/22 7:56:16 PM GMT+1" "Castilla-La Mancha" 500 0
"196" "2020/03/22 8:06:34 PM GMT+1" "Castilla-La Mancha" 1000 3
"211" "2020/03/22 10:07:29 PM GMT+1" "Comunidad de Madrid" 1000 1
"212" "2020/03/22 10:09:39 PM GMT+1" "Comunidad de Madrid" 1000 20
"215" "2020/03/22 10:25:31 PM GMT+1" "Comunidad de Madrid" 500 500
"217" "2020/03/22 10:37:35 PM GMT+1" "Comunidad de Madrid" 500 4
"222" "2020/03/22 11:52:58 PM GMT+1" "Todo el país" 1000 1
"226" "2020/03/23 12:45:56 AM GMT+1" "Comunidad de Madrid" 30017 17
"date" "region" "reach" "cases"
"6" "2020/03/22 12:14:30 PM GMT+1" "Andalucía" 1000 0
"18" "2020/03/22 12:38:41 PM GMT+1" "Comunidad Valenciana" 500 1
"33" "2020/03/22 1:01:52 PM GMT+1" "Comunidad de Madrid" 2000 2
"35" "2020/03/22 1:05:06 PM GMT+1" "Comunidad de Madrid" 1000 50
"68" "2020/03/22 2:46:53 PM GMT+1" "Comunidad de Madrid" 500 0
"74" "2020/03/22 2:51:53 PM GMT+1" "Comunidad de Madrid" 1000 2
"76" "2020/03/22 2:56:19 PM GMT+1" "Castilla-La Mancha" 6000 7
"109" "2020/03/22 4:29:04 PM GMT+1" "Comunidad de Madrid" 500 5
"119" "2020/03/22 4:40:49 PM GMT+1" "Comunidad de Madrid" 1000 10
"121" "2020/03/22 4:42:12 PM GMT+1" "Comunidad de Madrid" 3000 30
"125" "2020/03/22 4:45:13 PM GMT+1" "Comunidad de Madrid" 1000 6
"133" "2020/03/22 4:55:37 PM GMT+1" "Comunidad de Madrid" 500 0
"136" "2020/03/22 5:00:08 PM GMT+1" "Comunidad de Madrid" 1000 10
"154" "2020/03/22 6:37:28 PM GMT+1" "Castilla-La Mancha" 1000 0
"165" "2020/03/22 7:01:56 PM GMT+1" "Comunidad de Madrid" 500 7
"169" "2020/03/22 7:10:17 PM GMT+1" "País Vasco" 10000 1
"170" "2020/03/22 7:12:18 PM GMT+1" "Cataluña" 1000 0
"182" "2020/03/22 7:32:55 PM GMT+1" "Andalucía" 1200 0
"183" "2020/03/22 7:33:01 PM GMT+1" "Extremadura" 1000 1
"194" "2020/03/22 7:56:16 PM GMT+1" "Castilla-La Mancha" 500 0
"196" "2020/03/22 8:06:34 PM GMT+1" "Castilla-La Mancha" 1000 3
"211" "2020/03/22 10:07:29 PM GMT+1" "Comunidad de Madrid" 1000 1
"212" "2020/03/22 10:09:39 PM GMT+1" "Comunidad de Madrid" 1000 20
"215" "2020/03/22 10:25:31 PM GMT+1" "Comunidad de Madrid" 500 500
"217" "2020/03/22 10:37:35 PM GMT+1" "Comunidad de Madrid" 500 4
"222" "2020/03/22 11:52:58 PM GMT+1" "Todo el país" 1000 1
"226" "2020/03/23 12:45:56 AM GMT+1" "Comunidad de Madrid" 30017 17
"date" "region" "reach" "cases"
"6" "2020/03/22 12:14:30 PM GMT+1" "Andalucía" 1000 0
"18" "2020/03/22 12:38:41 PM GMT+1" "Comunidad Valenciana" 500 1
"33" "2020/03/22 1:01:52 PM GMT+1" "Comunidad de Madrid" 2000 2
"35" "2020/03/22 1:05:06 PM GMT+1" "Comunidad de Madrid" 1000 50
"68" "2020/03/22 2:46:53 PM GMT+1" "Comunidad de Madrid" 500 0
"74" "2020/03/22 2:51:53 PM GMT+1" "Comunidad de Madrid" 1000 2
"76" "2020/03/22 2:56:19 PM GMT+1" "Castilla-La Mancha" 6000 7
"109" "2020/03/22 4:29:04 PM GMT+1" "Comunidad de Madrid" 500 5
"119" "2020/03/22 4:40:49 PM GMT+1" "Comunidad de Madrid" 1000 10
"121" "2020/03/22 4:42:12 PM GMT+1" "Comunidad de Madrid" 3000 30
"125" "2020/03/22 4:45:13 PM GMT+1" "Comunidad de Madrid" 1000 6
"133" "2020/03/22 4:55:37 PM GMT+1" "Comunidad de Madrid" 500 0
"136" "2020/03/22 5:00:08 PM GMT+1" "Comunidad de Madrid" 1000 10
"154" "2020/03/22 6:37:28 PM GMT+1" "Castilla-La Mancha" 1000 0
"165" "2020/03/22 7:01:56 PM GMT+1" "Comunidad de Madrid" 500 7
"169" "2020/03/22 7:10:17 PM GMT+1" "País Vasco" 10000 1
"170" "2020/03/22 7:12:18 PM GMT+1" "Cataluña" 1000 0
"182" "2020/03/22 7:32:55 PM GMT+1" "Andalucía" 1200 0
"183" "2020/03/22 7:33:01 PM GMT+1" "Extremadura" 1000 1
