"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","2020/03/19",4878,0,0,0.0272652726527265,0.0309074410163339,NA,NA,0,0,0,0,0.0272652726527265,0.0309074410163339,NA,NA
"2","2020/03/20",7167,0,0,0.0269289800474397,0.0269857728478418,NA,NA,0,0,0,0,0.0269289800474397,0.0269857728478418,NA,NA
"3","2020/03/22",8137,12162,0,0.0261767236082094,0.026995447081654,NA,NA,0.0237309967826069,0.0251418144673843,0,0,0.0247113839533999,0.0258848564193185,NA,NA
"4","2020/03/23",8137,13072,0,0.0261767236082094,0.026995447081654,NA,NA,0.0252025538727838,0.0271341096727064,0,0,0.0255763017692974,0.027080910676837,NA,NA
"5","2020/03/24",9071,19772,0,0.0291037371844339,0.0293342787480719,NA,NA,0.0264614555697177,0.0305788169313726,0,0,0.0272924418238206,0.03018741500159,NA,NA
"6","2020/03/25",9671,31946,0,0.0296763519801468,0.0295648604269294,NA,NA,0.0314457755042018,0.0318899534399883,0,0,0.0310345950995322,0.0313496460048225,NA,NA
"7","2020/03/26",9771,35018,0,0.0296796643127623,0.0295673756845772,NA,NA,0.0320399192617219,0.0333019586771888,0,0,0.031525014907834,0.032487236079658,NA,NA
"8","2020/03/27",9821,35917,0,0.0305467874961817,0.0305468735254704,NA,NA,0.0310719225887223,0.0323758569258057,0,0,0.030959164012837,0.0319831321460888,NA,NA
"9","2020/03/28",10621,43641,0,0.0325769701534695,0.0317682563741677,NA,NA,0.0326405531329119,0.0348507710000976,0,0,0.0326281076862889,0.0342474134415483,NA,NA
"10","2020/03/29",11360,51991,0,0.0336267605633803,0.0324017798603749,NA,NA,0.0326062560719496,0.0357204265640408,0,0,0.0327892513052159,0.0351253321447949,NA,NA
"11","2020/03/30",11840,57976,0,0.0356418918918919,0.0336287752721,NA,NA,0.0315172672319491,0.0346813703007018,0,0,0.0322167566895766,0.0345028621487217,NA,NA
"12","2020/03/31",13070,62855,0,0.0395562356541699,0.036391392068019,NA,NA,0.0321393805786366,0.0365787707306506,0,0,0.0334161444355641,0.0365465147000863,NA,NA
"13","2020/04/01",14645,71096,0,0.0431546602936156,0.0391286005915594,NA,NA,0.0342029589361465,0.0388327720721179,0,0,0.0357319551734207,0.038883301091691,NA,NA
"14","2020/04/02",15795,78106,0,0.0451408673630896,0.0409952458372944,NA,NA,0.0343206577154956,0.0388802577323653,0,0,0.0361407151311115,0.0392360179172127,NA,NA
"15","2020/04/03",16245,79730,0,0.0468451831332718,0.0419352144847704,NA,NA,0.034571732318603,0.0391085065005914,0,0,0.0366491713233885,0.0395869630903595,NA,NA
"16","2020/04/04",17005,82492,0,0.0485151426051161,0.0430113452418677,NA,NA,0.0343738417406005,0.0384859750574364,0,0,0.0367907268848872,0.039259404607938,NA,NA
"17","2020/04/05",17674,85599,0,0.0505261966730791,0.0445235401788422,NA,NA,0.0344134722543696,0.0389118146420263,0,0,0.0371709818781461,0.039872197676679,NA,NA
"18","2020/04/06",18504,87710,0,0.050853869433636,0.0445996567814599,NA,NA,0.0344945311106909,0.0388592890145005,0,0,0.0373445621454677,0.0398593432932191,NA,NA
"19","2020/04/07",19093,91769,0,0.0512229612947153,0.0450012348959222,NA,NA,0.0343766120898089,0.0390358001491101,0,0,0.0372779429819927,0.0400631859586831,NA,NA
"20","2020/04/08",19988,93229,0,0.052231338803282,0.0455335565935531,NA,NA,0.0348027721599253,0.039543214690073,0,0,0.0378797145808286,0.0406007851429799,NA,NA
"21","2020/04/09",21268,119046,0,0.0515328192589806,0.0454549586967004,NA,NA,0.0399346891583271,0.0444936517829749,0,0,0.0416926679129824,0.0446393612306502,NA,NA
"22","2020/04/10",21718,123671,0,0.0514780366516254,0.045507957178053,NA,NA,0.0403848190155863,0.0447518443063567,0,0,0.0420419079330387,0.0448647913611373,NA,NA
"23","2020/04/11",22692,127021,0,0.0527939361889653,0.0465110608997849,NA,NA,0.0405433296424134,0.044915415196904,0,0,0.0424001541249524,0.0451572672223779,NA,NA
"24","2020/04/12",24229,139143,0,0.0532419827479467,0.0467827572158701,NA,NA,0.0401238915232939,0.0447021283332236,0,0,0.0420693793197468,0.0450106974711275,NA,NA
"25","2020/04/13",24619,142709,0,0.054185791461879,0.0473118932653291,NA,NA,0.0399881435199306,0.0446383630060822,0,0,0.0420770461225006,0.0450317200141885,NA,NA
"26","2020/04/14",25269,147531,0,0.0540979065257826,0.0473672366392782,NA,NA,0.0401017852589116,0.0447087387933673,0,0,0.0421484750059751,0.0450974979488553,NA,NA
"27","2020/04/15",25599,149083,0,0.0540255478729638,0.0473687803992866,NA,NA,0.0401999538684477,0.0448391428478305,0,0,0.042226043453646,0.0452098518600912,NA,NA
"28","2020/04/16",26269,153057,0,0.0549316685066047,0.0481097638861004,NA,NA,0.0404111756465392,0.0451338063785839,0,0,0.0425382449334304,0.0455697466647942,NA,NA
"29","2020/04/17",26919,155001,0,0.0561685055165497,0.048944520422095,NA,NA,0.040427523390891,0.0451004377799893,0,0,0.042756742266444,0.0456692529770146,NA,NA
"30","2020/04/18",27219,156645,0,0.0570924721701752,0.0496709086778368,NA,NA,0.0405223498028193,0.0452863489005368,0,0,0.0429753703001274,0.0459354337272475,NA,NA
"31","2020/04/19",22666,157145,0,0.0648989676166946,0.0557464399771656,NA,NA,0.0405941830049736,0.0453407208444108,0,0,0.0436579124097891,0.0466524093944051,NA,NA
"32","2020/04/20",20577,157395,0,0.0692520775623269,0.0658974246551646,NA,NA,0.0405964618890915,0.0453540782186343,0,0,0.0439096044267276,0.0477292857772642,NA,NA
"33","2020/04/21",20807,158550,0,0.0689671745085788,0.0654632367708735,NA,NA,0.0407787924586835,0.045654582564591,0,0,0.0440488943521818,0.0479525618353757,NA,NA
"34","2020/04/22",19937,146908,0,0.0712745147213723,0.0673995113493638,NA,NA,0.0420301905138515,0.0471551067102034,0,0,0.0455247159220168,0.0495741944580588,NA,NA
"35","2020/04/23",20117,146748,0,0.07178008649401,0.0680473712234923,NA,NA,0.0420288264038077,0.0471674643661414,0,0,0.0456155947448894,0.0496847153549607,NA,NA
"36","2020/04/24",19463,141330,0,0.0736268817756769,0.0690647773783267,NA,NA,0.0423322873584021,0.0472174868747815,0,0,0.0461203048165217,0.0498619665167466,NA,NA
"37","2020/04/25",18863,129794,0,0.0747495096220114,0.0702511129089152,NA,NA,0.0431732251937237,0.0486668345565405,0,0,0.0471799215024801,0.0514056510438962,NA,NA
"38","2020/04/26",19043,127957,0,0.0759859265871974,0.0711511137462537,NA,NA,0.0433297807901975,0.0488646536026271,0,0,0.0475601956501449,0.0517517356469473,NA,NA
"39","2020/04/27",18993,127828,0,0.0756594534828621,0.0705100745111604,NA,NA,0.0437317054368497,0.0494399181788064,0,0,0.0478619301229499,0.0521655873897531,NA,NA
"40","2020/04/28",18343,120664,0,0.0760508095731342,0.070696709282444,NA,NA,0.0441117712884354,0.0497558199973296,0,0,0.0483263632101101,0.0525191249543235,NA,NA
"41","2020/04/29",17604,112582,0,0.07719836400818,0.0719297904131371,NA,NA,0.045635214093723,0.0511246720701774,0,0,0.049903243613749,0.0539379799781665,NA,NA
"42","2020/04/30",17124,107137,0,0.0770263957019388,0.071693044291953,NA,NA,0.0470406855449782,0.0525409644948336,0,0,0.0511729177073445,0.0551802496643226,NA,NA
"43","2020/05/01",16184,102868,0,0.0772985664854177,0.0716780110886766,NA,NA,0.0473740870964,0.0523836300171125,0,0,0.0514420387010086,0.0550065197061744,NA,NA
"44","2020/05/02",14709,94887,0,0.0781834251138759,0.0719842083267082,NA,NA,0.0467964036567072,0.0518899099447647,0,0,0.0510088904136463,0.054586787886478,NA,NA
"45","2020/05/03",13699,88467,0,0.0792758595517921,0.0721868494946685,NA,NA,0.0471987186398361,0.0525259453443273,0,0,0.0514998046503767,0.0551621915118931,NA,NA
"46","2020/05/04",13249,87373,0,0.0783455355121141,0.0714234485066783,NA,NA,0.0474081301092102,0.0527496665517607,0,0,0.0514816894121764,0.0552084622139489,NA,NA
"47","2020/05/05",12489,85051,0,0.0779886299943951,0.0711499672771183,NA,NA,0.0482884043183048,0.0540067521546248,0,0,0.0520912146368274,0.0562017656225848,NA,NA
"48","2020/05/06",11820,82254,41124,0.0766497461928934,0.0695541628965473,NA,NA,0.0487371303620178,0.0539227285593369,0,0,0.0522442324212578,0.0558867521350945,NA,NA
"49","2020/05/07",11290,82067,57951,0.0797165633303809,0.0731422134678247,0.05,0.05,0.0491398444726417,0.0546940443883294,0.00306025769923784,0.0051235918584814,0.0528375977841649,0.0569250482649268,0.0107139555166524,0.0124408554438968
"50","2020/05/08",10701,78757,57360,0.0806466685356509,0.073962065902021,0.05,0.05,0.0504286306360611,0.055640586739238,0.00236836521575508,0.00365760161126967,0.0540433238279892,0.057832209048265,0.00985732546944228,0.010943859602745
"51","2020/05/09",9806,78067,59640,0.0812767693249031,0.0750567470712982,0.05,0.05,0.0503004922052754,0.0553293662880035,0.0016455804629292,0.00243337630646994,0.0537572237773746,0.0575308012675876,0.008473381027116,0.00914993754741623
"52","2020/05/10",8526,53010,41229,0.0873797794980061,0.0801351986986302,0.05,0.05,0.0483960938068035,0.0551266927918295,0.00141742300563539,0.00218514005906899,0.0537974020524352,0.0585916973641348,0.00974251699526362,0.010378678313644
"53","2020/05/11",8231,49239,40450,0.0907544648280889,0.0827183986515927,0.028169014084507,0.025,0.0496737030800684,0.0567181995374757,0.00219985047290436,0.00274469712492668,0.0555573945703756,0.0604420143784065,0.00659072546904458,0.00650763128742803
"54","2020/05/12",7317,47420,45467,0.0919775864425311,0.0837375142081024,0.0240963855421687,0.02,0.0483002786168542,0.0562034647186032,0.00174264592102711,0.00204230195491764,0.0541388678957785,0.0598840946419578,0.0048413559999884,0.00453162592801304
"55","2020/05/13",5780,36378,35053,0.100519031141869,0.092465706707086,0.0240963855421687,0.02,0.0515872780692557,0.0605753356879689,0.00156873284284286,0.00177965902367141,0.0582959818208497,0.0649476100959222,0.00475757110116586,0.00435878793516896
"56","2020/05/14",5542,49125,48495,0.0977986286539156,0.089117151853994,0.017636684303351,0.0125,0.0571010737467481,0.065810615966746,0.00232963988347748,0.00358868634994696,0.0612268872959738,0.0681733726917744,0.00389952052405596,0.00450262495217495
"57","2020/05/15",4984,65497,65497,0.104133226324238,0.0923838551385721,0.0151745068285281,0.00909090909090909,0.0565939649783463,0.0653086663604341,0.00164847107226712,0.00247914579488484,0.0599556607339105,0.0672232637820121,0.00260495242481894,0.00294669064055083
"58","2020/05/16",4654,65151,65151,0.108079071766223,0.0960478433131494,0.0151745068285281,0.00909090909090909,0.0569303347256971,0.0653851106121262,0.00160566318737297,0.00240228761933508,0.0603404947742123,0.0674294392130941,0.00251031755748881,0.00284822765699292
"59","2020/05/17",3984,61858,61858,0.111194779116466,0.0979685156113728,0.0151745068285281,0.00909090909090909,0.0575730450674438,0.0658267200106295,0.00195018031195513,0.00257124020687609,0.0608176152270881,0.0677715715290123,0.00275036434102512,0.00296573552648952
"60","2020/05/18",3334,60535,60535,0.112177564487103,0.0980003052503052,0.0151745068285281,0.00909090909090909,0.058194970025426,0.0662452185711886,0.00192323575141245,0.00252268611565987,0.0610128937432739,0.0679028530885315,0.00261496002721297,0.00286555128341701
"61","2020/05/19",3034,60153,60153,0.109426499670402,0.0945356865356865,0.0151745068285281,0.00909090909090909,0.058288824491344,0.0657032530581099,0.00188251036366116,0.00245729524817877,0.0607442616302059,0.0670876771195619,0.00252074160227679,0.00277581621608109
